source,target,weight,source_freq,target_freq
Hamano Hirofumi,Zamami Yoshito,2,2,2
Tsumura Shinsuke,Yokoyama Toshihide,2,2,2
Okada Asuka,Sakagami Takuro,2,2,2
Matsumoto Hirotaka,Yokoyama Toshihide,2,3,2
Otsuki Taiichiro,Yokoyama Toshihide,2,2,2
Sato Yuki,Yokoyama Toshihide,2,2,2
Uchida Junji,Yokoyama Toshihide,2,2,2
Tsukita Yoko,Yokoyama Toshihide,2,2,2
Inaba Megumi,Yokoyama Toshihide,2,2,2
Ikeda Hideki,Yokoyama Toshihide,2,2,2
Arai Daisuke,Yokoyama Toshihide,2,2,2
Maruyama Hirotaka,Yokoyama Toshihide,2,2,2
Hara Satoshi,Yokoyama Toshihide,2,2,2
Sakagami Takuro,Yokoyama Toshihide,2,2,2
Hara Satoshi,Suzuki Hidekazu,2,2,2
Matsumoto Hirotaka,Otsuki Taiichiro,2,3,2
Matsumoto Hirotaka,Sato Yuki,2,3,2
Matsumoto Hirotaka,Uchida Junji,2,3,2
Matsumoto Hirotaka,Tsukita Yoko,2,3,2
Inaba Megumi,Matsumoto Hirotaka,2,2,3
Ikeda Hideki,Matsumoto Hirotaka,2,2,3
Arai Daisuke,Matsumoto Hirotaka,2,2,3
Maruyama Hirotaka,Matsumoto Hirotaka,2,2,3
Hara Satoshi,Matsumoto Hirotaka,2,2,3
Matsumoto Hirotaka,Tsumura Shinsuke,2,3,2
Matsumoto Hirotaka,Sakagami Takuro,2,3,2
Okada Asuka,Tsumura Shinsuke,2,2,2
Hara Satoshi,Okada Asuka,2,2,2
Maruyama Hirotaka,Okada Asuka,2,2,2
Arai Daisuke,Okada Asuka,2,2,2
Sakagami Takuro,Suzuki Hidekazu,2,2,2
Okada Asuka,Shibaki Ryota,2,2,2
Shibaki Ryota,Yokoyama Toshihide,2,2,2
Matsumoto Hirotaka,Shibaki Ryota,2,3,2
Otsuki Taiichiro,Shibaki Ryota,2,2,2
Sato Yuki,Shibaki Ryota,2,2,2
Shibaki Ryota,Uchida Junji,2,2,2
Shibaki Ryota,Tsukita Yoko,2,2,2
Inaba Megumi,Shibaki Ryota,2,2,2
Ikeda Hideki,Shibaki Ryota,2,2,2
Arai Daisuke,Shibaki Ryota,2,2,2
Maruyama Hirotaka,Shibaki Ryota,2,2,2
Hara Satoshi,Shibaki Ryota,2,2,2
Shibaki Ryota,Tsumura Shinsuke,2,2,2
Sakagami Takuro,Shibaki Ryota,2,2,2
Okada Asuka,Yokoyama Toshihide,2,2,2
Matsumoto Hirotaka,Okada Asuka,2,3,2
Okada Asuka,Otsuki Taiichiro,2,2,2
Okada Asuka,Sato Yuki,2,2,2
Okada Asuka,Uchida Junji,2,2,2
Okada Asuka,Tsukita Yoko,2,2,2
Inaba Megumi,Okada Asuka,2,2,2
Ikeda Hideki,Okada Asuka,2,2,2
Otsuki Taiichiro,Sato Yuki,2,2,2
Otsuki Taiichiro,Uchida Junji,2,2,2
Otsuki Taiichiro,Tsukita Yoko,2,2,2
Arai Daisuke,Tsukita Yoko,2,2,2
Hara Satoshi,Tsukita Yoko,2,2,2
Tsukita Yoko,Tsumura Shinsuke,2,2,2
Sakagami Takuro,Tsukita Yoko,2,2,2
Ikeda Hideki,Inaba Megumi,2,2,2
Arai Daisuke,Inaba Megumi,2,2,2
Inaba Megumi,Maruyama Hirotaka,2,2,2
Hara Satoshi,Inaba Megumi,2,2,2
Inaba Megumi,Tsumura Shinsuke,2,2,2
Inaba Megumi,Sakagami Takuro,2,2,2
Arai Daisuke,Ikeda Hideki,2,2,2
Ikeda Hideki,Maruyama Hirotaka,2,2,2
Hara Satoshi,Ikeda Hideki,2,2,2
Ikeda Hideki,Tsumura Shinsuke,2,2,2
Ikeda Hideki,Sakagami Takuro,2,2,2
Arai Daisuke,Maruyama Hirotaka,2,2,2
Arai Daisuke,Hara Satoshi,2,2,2
Arai Daisuke,Tsumura Shinsuke,2,2,2
Arai Daisuke,Sakagami Takuro,2,2,2
Hara Satoshi,Maruyama Hirotaka,2,2,2
Maruyama Hirotaka,Tsumura Shinsuke,2,2,2
