pmid,title,year,journal,authors,institutions,countries,keywords,doi
41510372,Diagnostic challenge of systemic amyloidosis mimicking EGFR-TKI toxicity in lung adenocarcinoma: a case report.,2025,Translational lung cancer research,Kim So-Yun; Kang Hyeong Seok; Lee Joo-Eun; Kim Hyun-Yi; Yeo Min-Kyung; Chung Chaeuk,NGeneS Inc; Chungnam National University Hospital; Chungnam National University,South Korea,Amyloidosis; Cardiotoxicity; case report; epidermal growth factor receptor-tyrosine kinase inhibitor (EGFR-TKI); renal toxicity,10.21037/tlcr-2025-913
41145893,Cardiotoxicity Profiles of Osimertinib Compared with Other EGFR Tyrosine Kinase Inhibitors: A Real-World Comparative Incidence Analysis.,2025,Targeted oncology,Muhanna Zaid; Al Zyoud Muntaser; Issa Ahmad; Awidi Muhammad,Roswell Park Cancer Center; University of Jordan,United States,"Aniline Compounds; therapeutic use; pharmacology; adverse effects; Acrylamides; Protein Kinase Inhibitors; Incidence; Cardiotoxicity; etiology; epidemiology; pathology; ErbB Receptors; antagonists & inhibitors; Carcinoma, Non-Small-Cell Lung; drug therapy; Lung Neoplasms; Tyrosine Kinase Inhibitors; Indoles; Pyrimidines",10.1007/s11523-025-01180-2
41035623,Long-term Survival in Lung Cancer With Brain Metastases and Coronary Artery Stenosis: A Case Report.,2025,Journal of the Saudi Heart Association,Alharbi Raghad O; AlShammary Shahad J; Alotaibi Nasser E; Aljohani Ruba M; Alotaibi Bader A; Suliman Ihab F,Taibah University; Princess Nourah Bint Abdulrahman University; King Abdulaziz Cardiac Center; King Saud bin Abdulaziz University for Health Sciences; Prince Sattam bin Abdulaziz University,Saudi Arabia,Advanced non-small cell lung cancer; Cardiotoxicity; Osimertinib; Percutaneous coronary intervention,10.37616/2212-5043.1452
40996941,Differences in Safety Signal Detection between Osimertinib and First- and Second-Generation EGFR-TKIs: A Pharmacovigilance Study Using a Spontaneous Reporting System.,2026,Oncology,Sugimoto Tomoya; Noguchi Yoshihiro; Masuda Rikuto; Harada Tomohiko; Toyama Yukio; Saguchi Mitsuru; Yoshimura Tomoaki,Gifu Pharmaceutical University; Kanagawa Prefectural Ashigarakami Hospital; Toyota Memorial Hospital,Japan,Epidermal growth factor receptor tyrosine kinase inhibitor; Osimertinib; Pharmacoepidemiology; Volcano plot; Indoles; Aniline Compounds; adverse effects; Pyrimidines; Acrylamides; ErbB Receptors; antagonists & inhibitors; Protein Kinase Inhibitors; Adverse Drug Reaction Reporting Systems; statistics & numerical data; Pharmacovigilance; Gefitinib; Afatinib; Erlotinib Hydrochloride; Antineoplastic Agents,10.1159/000548593
40938238,Risk of Heart Failure Hospitalization in Patients Treated With Osimertinib: A Population-Based Retrospective Cohort Study.,2025,JACC. CardioOncology,Tatebe Yasuhisa; Tanaka Yuta; Manabe Yohei; Okano Shinobu; Higashionna Tsukasa; Hamano Hirofumi; Murakawa Kiminaka; Zamami Yoshito,Okayama University Hospital,Japan,adverse events; Cardiotoxicity; Epidermal growth factor receptor tyrosine kinase inhibitor; heart failure; lung cancer; pharmacotherapy; propensity score matching,10.1016/j.jaccao.2025.06.011
40919674,Lazertinib: A Cardio-Safer Alternative to Osimertinib for Epidermal Growth Factor Receptor L858R/T790M Double-Mutant Tyrosine Kinase Resistant Non-Small Cell Lung Cancer.,2025,Drug development research,Gawli Chandrakant S; Nagpure Narendra R; Patil Bhatu R; Ochi Nobuaki; Takigawa Nagio; Patel Harun M,R. C. Patel Institute of Pharmaceutical Education and Research; Kawasaki Medical School,India; Japan,"CNS penetration; EGFR‐TKI; Lazertinib; Osimertinib; T790M mutation; Cardiotoxicity; non‐small cell lung cancer; Carcinoma, Non-Small-Cell Lung; drug therapy; genetics; ErbB Receptors; antagonists & inhibitors; Acrylamides; adverse effects; pharmacology; therapeutic use; Lung Neoplasms; Aniline Compounds; Protein Kinase Inhibitors; Drug Resistance, Neoplasm; drug effects; Mutation; Antineoplastic Agents; Indoles; Pyrimidines",10.1002/ddr.70153
40820655,Cardiotoxicity Assessment of EGFR Tyrosine Kinase Inhibitors Using Human iPS Cell-Derived Cardiomyocytes and FDA Adverse Events Reporting System.,2025,Clinical and translational science,Yanagida Shota; Kawagishi Hiroyuki; Saito Mitsuo; Hamano Hirofumi; Zamami Yoshito; Kanda Yasunari,National Institute of Health Sciences (NIHS); Okayama University Hospital; Japan Pharmaceutical Information Center (JAPIC),Japan,"EGFR‐tyrosine kinase inhibitor; FAERS; cardiomyocytes; Cardiotoxicity; contractility; human iPS cell; Induced Pluripotent Stem Cells; drug effects; cytology; Protein Kinase Inhibitors; adverse effects; Myocytes, Cardiac; etiology; diagnosis; ErbB Receptors; antagonists & inhibitors; United States Food and Drug Administration; Myocardial Contraction; Antineoplastic Agents; Aniline Compounds; Acrylamides; Gefitinib; Afatinib; Tyrosine Kinase Inhibitors; Indoles; Pyrimidines",10.1111/cts.70325
40789497,Targeting PDK4 to mitigate osimertinib-induced cardiotoxicity: Insights into mitochondria-endoplasmic reticulum crosstalk and necroptosis.,2025,Free radical biology & medicine,Deng Jingwen; Wang Dan; Jiang Keyi; Lang Xueyan; Sun Yue; Li Yilan,Harbin Medical University; The Second Affiliated Hospital of Harbin Medical University,China,"Cardiotoxicity; Mitochondria-associated endoplasmic reticulum membranes; Necroptosis; Osimertinib; PDK4; Acrylamides; adverse effects; toxicity; drug effects; Myocytes, Cardiac; metabolism; pathology; Aniline Compounds; etiology; Pyruvate Dehydrogenase Acetyl-Transferring Kinase; genetics; antagonists & inhibitors; Endoplasmic Reticulum; Mitochondria; Calcium; Cell Line; Indoles; Pyrimidines",10.1016/j.freeradbiomed.2025.08.017
40769633,Osimertinib-Related Cardiotoxicity: Risk Factors and Clinical Implications.,2025,Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer,Matsumoto Hirotaka; Shimamura Yushi,Hyogo Prefectural Amagasaki General Medical Center,Japan,,10.1016/j.jtho.2025.03.043
40750174,Unmasking the Heart of Osimertinib: A Closer Look at Drug-Induced Cardiotoxicity.,2025,JACC. Case reports,Sabri Muhammad Salman; Javaid Aheed; Al Hennawi Hussam; Muhammadzai Hamza; Mallavarapu Vamshi,Jefferson Abington Hospital,United States,cardiomyopathy; guideline-directed medical therapy; heart failure; Osimertinib,10.1016/j.jaccas.2025.104401
