source,target,weight,source_freq,target_freq
Aniline Compounds,Indoles,10,10,10
Acrylamides,Aniline Compounds,10,10,10
Acrylamides,Indoles,10,10,10
Acrylamides,Pyrimidines,10,10,10
Aniline Compounds,Pyrimidines,10,10,10
Indoles,Pyrimidines,10,10,10
Cardiotoxicity,Osimertinib,9,13,12
Protein Kinase Inhibitors,adverse effects,8,9,9
Cardiotoxicity,adverse effects,8,13,9
Protein Kinase Inhibitors,Pyrimidines,8,9,10
Indoles,Protein Kinase Inhibitors,8,10,9
Acrylamides,adverse effects,8,10,9
Cardiotoxicity,Indoles,8,13,10
Cardiotoxicity,Pyrimidines,8,13,10
Indoles,adverse effects,8,10,9
Pyrimidines,adverse effects,8,10,9
Acrylamides,Protein Kinase Inhibitors,8,10,9
Acrylamides,Cardiotoxicity,8,10,13
Antineoplastic Agents,Protein Kinase Inhibitors,8,8,9
Aniline Compounds,Cardiotoxicity,8,10,13
Aniline Compounds,Protein Kinase Inhibitors,8,10,9
Aniline Compounds,adverse effects,8,10,9
ErbB Receptors,Indoles,7,7,10
Antineoplastic Agents,Pyrimidines,7,8,10
ErbB Receptors,Pyrimidines,7,7,10
Antineoplastic Agents,adverse effects,7,8,9
ErbB Receptors,Protein Kinase Inhibitors,7,7,9
Lung Neoplasms,Protein Kinase Inhibitors,7,7,9
Protein Kinase Inhibitors,drug therapy,7,9,7
"Carcinoma, Non-Small-Cell Lung",Protein Kinase Inhibitors,7,7,9
"Carcinoma, Non-Small-Cell Lung",Lung Neoplasms,7,7,7
Cardiotoxicity,Protein Kinase Inhibitors,7,13,9
Acrylamides,ErbB Receptors,7,10,7
"Carcinoma, Non-Small-Cell Lung",drug therapy,7,7,7
Lung Neoplasms,drug therapy,7,7,7
drug therapy,therapeutic use,7,7,7
Lung Neoplasms,therapeutic use,7,7,7
Aniline Compounds,Osimertinib,7,10,12
Osimertinib,Pyrimidines,7,12,10
Acrylamides,Osimertinib,7,10,12
Indoles,Osimertinib,7,10,12
"Carcinoma, Non-Small-Cell Lung",therapeutic use,7,7,7
Protein Kinase Inhibitors,therapeutic use,7,9,7
Osimertinib,adverse effects,7,12,9
Antineoplastic Agents,Indoles,7,8,10
Aniline Compounds,Antineoplastic Agents,7,10,8
Aniline Compounds,ErbB Receptors,7,10,7
Acrylamides,Antineoplastic Agents,7,10,8
Antineoplastic Agents,Osimertinib,6,8,12
Antineoplastic Agents,Cardiotoxicity,6,8,13
Antineoplastic Agents,"Carcinoma, Non-Small-Cell Lung",6,8,7
Osimertinib,Protein Kinase Inhibitors,6,12,9
Antineoplastic Agents,ErbB Receptors,6,8,7
Acrylamides,Lung Neoplasms,6,10,7
"Carcinoma, Non-Small-Cell Lung",Pyrimidines,6,7,10
Cardiotoxicity,etiology,6,13,6
"Carcinoma, Non-Small-Cell Lung",Indoles,6,7,10
"Carcinoma, Non-Small-Cell Lung",Cardiotoxicity,6,7,13
Antineoplastic Agents,drug therapy,6,8,7
Cardiotoxicity,drug therapy,6,13,7
Cardiotoxicity,Lung Neoplasms,6,13,7
Lung Neoplasms,Pyrimidines,6,7,10
Indoles,Lung Neoplasms,6,10,7
Pyrimidines,drug therapy,6,10,7
Antineoplastic Agents,Lung Neoplasms,6,8,7
Antineoplastic Agents,therapeutic use,6,8,7
Indoles,drug therapy,6,10,7
Acrylamides,"Carcinoma, Non-Small-Cell Lung",6,10,7
Acrylamides,drug therapy,6,10,7
Aniline Compounds,therapeutic use,6,10,7
Acrylamides,therapeutic use,6,10,7
Pyrimidines,therapeutic use,6,10,7
Aniline Compounds,"Carcinoma, Non-Small-Cell Lung",6,10,7
adverse effects,etiology,6,9,6
ErbB Receptors,adverse effects,6,7,9
Aniline Compounds,drug therapy,6,10,7
Indoles,therapeutic use,6,10,7
"Carcinoma, Non-Small-Cell Lung",adverse effects,6,7,9
adverse effects,drug therapy,6,9,7
Lung Neoplasms,adverse effects,6,7,9
Aniline Compounds,Lung Neoplasms,6,10,7
adverse effects,therapeutic use,6,9,7
Cardiotoxicity,therapeutic use,6,13,7
Protein Kinase Inhibitors,genetics,5,9,6
Lung Neoplasms,genetics,5,7,6
genetics,therapeutic use,5,6,7
adverse effects,genetics,5,9,6
Pyrimidines,etiology,5,10,6
Aniline Compounds,genetics,5,10,6
Pyrimidines,genetics,5,10,6
Antineoplastic Agents,genetics,5,8,6
Indoles,genetics,5,10,6
Acrylamides,genetics,5,10,6
ErbB Receptors,therapeutic use,5,7,7
Pyrimidines,antagonists & inhibitors,5,10,5
Indoles,antagonists & inhibitors,5,10,5
Indoles,pathology,5,10,5
