topic,frontier_score,growth_rate,burst_score,novelty_score,centrality,evidence
Aniline Compounds,0.5,1.0,0,1.0,0.074,近期快速增长（100%）；相对新颖的主题
Acrylamides,0.5,1.0,0,1.0,0.074,近期快速增长（100%）；相对新颖的主题
Indoles,0.5,1.0,0,1.0,0.074,近期快速增长（100%）；相对新颖的主题
Pyrimidines,0.5,1.0,0,1.0,0.074,近期快速增长（100%）；相对新颖的主题
Protein Kinase Inhibitors,0.483,1.0,0,1.0,0.065,近期快速增长（100%）；相对新颖的主题
adverse effects,0.4,1.0,0,1.0,0.025,近期快速增长（100%）；相对新颖的主题
Antineoplastic Agents,0.375,1.0,0,1.0,0.013,近期快速增长（100%）；相对新颖的主题
ErbB Receptors,0.36,1.0,0,1.0,0.005,近期快速增长（100%）；相对新颖的主题
"Carcinoma, Non-Small-Cell Lung",0.355,1.0,0,1.0,0.003,近期快速增长（100%）；相对新颖的主题
therapeutic use,0.355,1.0,0,1.0,0.003,近期快速增长（100%）；相对新颖的主题
Lung Neoplasms,0.355,1.0,0,1.0,0.003,近期快速增长（100%）；相对新颖的主题
drug therapy,0.355,1.0,0,1.0,0.003,近期快速增长（100%）；相对新颖的主题
genetics,0.353,1.0,0,1.0,0.001,近期快速增长（100%）；相对新颖的主题
antagonists & inhibitors,0.351,1.0,0,1.0,0.001,近期快速增长（100%）；相对新颖的主题
etiology,0.351,1.0,0,1.0,0.001,近期快速增长（100%）；相对新颖的主题
diagnosis,0.35,1.0,0,1.0,0.0,近期快速增长（100%）；相对新颖的主题
epidemiology,0.35,1.0,0,1.0,0.0,近期快速增长（100%）；相对新颖的主题
chemically induced,0.35,1.0,0,1.0,0.0,近期快速增长（100%）；相对新颖的主题
"Myocytes, Cardiac",0.35,1.0,0,1.0,0.0,近期快速增长（100%）；相对新颖的主题
pharmacology,0.35,1.0,0,1.0,0.0,近期快速增长（100%）；相对新颖的主题
