institutions,count
Hyogo Prefectural Amagasaki General Medical Center,3
Okayama University Hospital,2
R. C. Patel Institute of Pharmaceutical Education and Research,2
Saiseikai Kumamoto Hospital,2
Tohoku University Graduate School of Medicine,2
Kobe City Medical Center General Hospital,2
Aichi Cancer Center Hospital,2
Kumamoto Regional Medical Center,2
Osaka City General Hospital,2
Kumamoto Chuo Hospital,2
Osaka International Cancer Institute,2
Wakayama Medical University,2
Osaka Habikino Medical Center,2
Graduate School of Medicine,2
Kurashiki Central Hospital,2
Itami City Hospital,2
Kumamoto Rosai Hospital,2
Kumamoto University Hospital,2
Hyogo Medical University,2
Saiseikai Utsunomiya Hospital,2
