journal,count
Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer,3
"Lung cancer (Amsterdam, Netherlands)",2
Translational lung cancer research,1
Targeted oncology,1
Journal of the Saudi Heart Association,1
Oncology,1
JACC. CardioOncology,1
Drug development research,1
Clinical and translational science,1
Free radical biology & medicine,1
JACC. Case reports,1
Heart rhythm,1
Frontiers in oncology,1
Clinical lung cancer,1
Cardiovascular toxicology,1
Journal of clinical medicine,1
International journal of molecular sciences,1
