keywords_merged,count
Cardiotoxicity,13
Osimertinib,12
Aniline Compounds,10
Acrylamides,10
Indoles,10
Pyrimidines,10
adverse effects,9
Protein Kinase Inhibitors,9
Antineoplastic Agents,8
therapeutic use,7
ErbB Receptors,7
"Carcinoma, Non-Small-Cell Lung",7
drug therapy,7
Lung Neoplasms,7
etiology,6
genetics,6
pathology,5
antagonists & inhibitors,5
epidemiology,4
drug effects,4
pharmacology,3
Mutation,3
"Myocytes, Cardiac",3
diagnosis,3
chemically induced,3
Tyrosine Kinase Inhibitors,2
Epidermal growth factor receptor tyrosine kinase inhibitor,2
Adverse Drug Reaction Reporting Systems,2
Pharmacovigilance,2
Gefitinib,2
