id	label	x	y	cluster	weight<Occurrences>	weight<Total link strength>
1	Maruyama Hirotaka	-0.146703	0.318974	1	2	40
2	Okada Asuka	-0.073653	0.114372	1	2	40
3	Hamano Hirofumi	0.205346	-0.873583	3	2	2
4	Tsumura Shinsuke	-0.501044	0.077685	1	2	40
5	Patil Bhatu R	1.000000	0.211721	2	2	6
6	Shibaki Ryota	-0.392960	0.268714	1	2	40
7	Zamami Yoshito	0.899525	-0.708822	3	2	2
8	Yokoyama Toshihide	-0.422093	-0.128820	1	2	40
9	Sakata Shinya	-0.215402	0.144857	1	2	40
10	Arai Daisuke	-0.176339	0.024297	1	2	40
11	Ikeda Hideki	-0.095581	-0.127871	1	2	40
12	Inaba Megumi	-0.338691	-0.018348	1	2	40
13	Gawli Chandrakant S	0.792580	0.361355	2	2	6
14	Sakata Yoshihiko	-0.367706	0.118499	1	2	40
15	Saito Go	-0.173974	-0.213823	1	2	40
16	Nagpure Narendra R	0.980383	-0.280913	2	2	6
17	Otsuki Taiichiro	-0.297253	0.343020	1	2	40
18	Sakagami Takuro	0.037600	0.136104	1	2	40
19	Uchida Junji	-0.309227	-0.187316	1	2	40
20	Tamiya Motohiro	-0.004008	-0.082148	1	2	40
21	Hara Satoshi	-0.482655	-0.031015	1	2	40
22	Sato Yuki	-0.476180	0.192493	1	2	40
23	Matsumoto Hirotaka	-0.242150	0.251544	1	3	40
24	Patel Harun M	0.986313	-0.073070	2	2	6
25	Suzuki Hidekazu	-0.212073	-0.095557	1	2	40
26	Yamaguchi Teppei	0.047328	0.013623	1	2	40
27	Tsukita Yoko	-0.021380	0.244028	1	2	40
