id	label	x	y	cluster	weight<Occurrences>	weight<Total link strength>
1	Kumamoto University Hospital	0.348722	0.964259	1	2	34
2	Aichi Cancer Center Hospital	0.981205	0.124594	1	2	34
3	Osaka International Cancer Institute	-0.735474	-0.712438	1	2	34
4	Saiseikai Utsunomiya Hospital	-0.928116	0.285665	1	2	34
5	Saiseikai Kumamoto Hospital	0.412738	0.367386	1	2	34
6	Tohoku University Graduate School of Medicine	-0.696802	0.683574	1	2	34
7	Kumamoto Rosai Hospital	0.934475	-0.373496	1	2	34
8	Osaka City General Hospital	-0.287669	-0.940690	1	2	34
9	Kurashiki Central Hospital	-0.302255	0.182940	1	2	34
10	Graduate School of Medicine	0.023550	-0.464643	1	2	34
11	Itami City Hospital	0.626546	-0.744492	1	2	34
12	Hyogo Medical University	-0.506806	-0.286766	1	2	34
13	Hyogo Prefectural Amagasaki General Medical Center	-0.043713	0.628735	1	3	34
14	Kumamoto Regional Medical Center	-0.998466	-0.198092	1	2	34
15	Wakayama Medical University	0.210414	-0.987279	1	2	34
16	Kumamoto Chuo Hospital	0.436480	-0.154228	1	2	34
17	Osaka Habikino Medical Center	-0.290916	1.000000	1	2	34
18	Kobe City Medical Center General Hospital	0.816086	0.624970	1	2	34
