id	label	x	y	cluster	weight<Occurrences>	weight<Total link strength>
1	Protein Kinase Inhibitors	0.099733	0.139358	1	9	152
2	Afatinib	0.403190	0.526662	2	2	31
3	Cardiotoxicity	0.064593	-0.062528	2	13	151
4	adverse effects	0.041980	0.229992	2	9	149
5	QT prolongation	0.530586	0.208032	1	2	41
6	ErbB Receptors	-0.162354	-0.096724	1	7	123
7	Acrylamides	0.185113	0.066248	2	10	165
8	Aged, 80 and over	-0.206296	-0.716658	1	2	39
9	Pharmacovigilance	-0.688777	0.198341	2	2	32
10	etiology	0.398889	-0.059537	2	6	99
11	drug therapy	-0.091694	-0.271797	1	7	121
12	Indoles	0.163868	-0.104444	2	10	165
13	Myocytes, Cardiac	0.258493	0.564313	2	3	41
14	Osimertinib	-0.080903	0.200982	2	12	129
15	diagnosis	-0.199771	-0.433601	2	3	58
16	Epidermal growth factor receptor tyrosine kinase inhibitor	-0.000614	-0.816568	2	2	17
17	Antineoplastic Agents	-0.196250	0.059107	1	8	135
18	Lung Neoplasms	0.269992	-0.025792	1	7	121
19	antagonists & inhibitors	0.088112	-0.395072	2	5	79
20	drug effects	0.599091	0.052580	2	4	59
21	EGFR mutation	-0.589580	-0.367508	1	2	39
22	Gefitinib	-0.444850	0.523621	2	2	31
23	heart failure	-0.897484	1.000000	2	2	4
24	therapeutic use	0.046016	-0.278839	1	7	121
25	epidemiology	-0.303137	-0.297840	1	4	76
26	pharmacology	0.631741	-0.281181	2	3	46
27	Induced Pluripotent Stem Cells	0.533933	0.677940	2	2	28
28	Adverse Drug Reaction Reporting Systems	-0.283242	0.617366	2	2	32
29	Pyrimidines	-0.047356	-0.019241	2	10	165
30	Tyrosine Kinase Inhibitors	-0.560080	-0.124006	2	2	34
31	adverse events	-0.703765	-0.696184	1	2	19
32	metabolism	0.908195	0.270416	2	2	24
33	Aniline Compounds	0.028648	0.059996	2	10	165
34	pathology	-0.313619	-0.135794	1	5	87
35	NSCLC	0.070829	0.692795	1	2	29
36	Mutation	0.233497	-0.603193	1	3	57
37	chemically induced	-0.315539	0.284713	2	3	52
38	Carcinoma, Non-Small-Cell Lung	0.184083	-0.289002	1	7	121
39	genetics	0.344728	-0.296951	1	6	99
