source,target,weight,source_freq,target_freq
Kim Seung Joon,Lee Kye Young,5,5,5
Jang Seung Hun,Lee Jeong Eun,5,7,6
Lee Sang Hoon,Lee Shin Yup,5,5,5
Kim Seung Joon,Lee Jeong Eun,5,5,6
Kim Seung Joon,Lee Shin Yup,5,5,5
Lee Jeong Eun,Lee Sung Yong,5,6,6
Lee Shin Yup,Lee Sung Yong,5,5,6
Kim Seung Joon,Lee Sang Hoon,5,5,5
Kim Seung Joon,Lee Sung Yong,5,5,6
Lee Jeong Eun,Lee Shin Yup,5,6,5
Lee Jeong Eun,Lee Kye Young,5,6,5
Lee Kye Young,Lee Shin Yup,5,5,5
Jang Seung Hun,Lee Sung Yong,5,7,6
Lee Kye Young,Lee Sang Hoon,5,5,5
Lee Sang Hoon,Lee Sung Yong,5,5,6
Lee Jeong Eun,Lee Sang Hoon,5,6,5
Lee Kye Young,Lee Sung Yong,5,5,6
Lee Kye Young,Yang Sei Hoon,4,5,4
Jang Tae Won,Lee Sung Yong,4,4,6
Chang Yoon Soo,Yoon Seong Hoon,4,4,4
Jang Tae Won,Kim Seung Joon,4,4,5
Jang Tae Won,Yoon Seong Hoon,4,4,4
Chang Yoon Soo,Jang Tae Won,4,4,4
Jang Tae Won,Lee Kye Young,4,4,5
Jang Seung Hun,Kim Seung Joon,4,7,5
Kim Seung Joon,Yoon Seong Hoon,4,5,4
Jang Seung Hun,Lee Shin Yup,4,7,5
Lee Shin Yup,Yoon Seong Hoon,4,5,4
Chang Yoon Soo,Lee Sung Yong,4,4,6
Lee Jeong Eun,Park Chan Kwon,4,6,4
Lee Sung Yong,Yoon Seong Hoon,4,6,4
Lee Shin Yup,Park Chan Kwon,4,5,4
Lee Jeong Eun,Yoon Seong Hoon,4,6,4
Lee Jeong Eun,Yang Sei Hoon,4,6,4
Kim Seung Joon,Yang Sei Hoon,4,5,4
Lee Kye Young,Yoon Seong Hoon,4,5,4
Jang Seung Hun,Lee Kye Young,4,7,5
Lee Sang Hoon,Yang Sei Hoon,4,5,4
Lee Sang Hoon,Park Chan Kwon,4,5,4
Lee Shin Yup,Yang Sei Hoon,4,5,4
Lee Sang Hoon,Yoon Seong Hoon,4,5,4
Jang Seung Hun,Lee Sang Hoon,4,7,5
Jang Tae Won,Lee Jeong Eun,4,4,6
Jang Tae Won,Lee Shin Yup,4,4,5
Kim Seung Joon,Park Chan Kwon,4,5,4
Jang Tae Won,Lee Sang Hoon,4,4,5
Jang Seung Hun,Park Chan Kwon,4,7,4
Chang Yoon Soo,Lee Shin Yup,4,4,5
Chang Yoon Soo,Lee Jeong Eun,4,4,6
Chang Yoon Soo,Lee Kye Young,4,4,5
Lee Kye Young,Park Chan Kwon,4,5,4
Chang Yoon Soo,Lee Sang Hoon,4,4,5
Lee Sung Yong,Park Chan Kwon,4,6,4
Lee Sung Yong,Yang Sei Hoon,4,6,4
Chang Yoon Soo,Kim Seung Joon,4,4,5
Chang Yoon Soo,Yang Sei Hoon,3,4,4
Chang Yoon Soo,Ryu Jeong Seon,3,4,3
Jang Tae Won,Yang Sei Hoon,3,4,4
Jang Seung Hun,Yoon Seong Hoon,3,7,4
Jang Tae Won,Ryu Jeong Seon,3,4,3
Chang Yoon Soo,Jang Seung Hun,3,4,7
Lee Shin Yup,Ryu Jeong Seon,3,5,3
Lee Jeong Eun,Ryu Jeong Seon,3,6,3
Lee Sung Yong,Ryu Jeong Seon,3,6,3
Jang Tae Won,Park Chan Kwon,3,4,4
Lee Kye Young,Ryu Jeong Seon,3,5,3
Ryu Jeong Seon,Yang Sei Hoon,3,3,4
Jang Seung Hun,Jang Tae Won,3,7,4
Park Chan Kwon,Yoon Seong Hoon,3,4,4
Ryu Jeong Seon,Yoon Seong Hoon,3,3,4
Lee Sang Hoon,Ryu Jeong Seon,3,5,3
Choi Chang Min,Jang Seung Hun,3,3,7
Chang Yoon Soo,Park Chan Kwon,3,4,4
Hara Satoshi,Tamiya Motohiro,3,3,4
Jang Seung Hun,Yang Sei Hoon,3,7,4
Hamano Hirofumi,Zamami Yoshito,3,3,3
Choi Chang Min,Lee Jeong Eun,3,3,6
Choi Chang-Min,Lee Shin Yup,3,3,5
Choi Chang-Min,Lee Jeong Eun,3,3,6
Park Chan Kwon,Yang Sei Hoon,3,4,4
