pmid,title,year,journal,authors,institutions,countries,keywords,doi
42469944,Osimertinib-induced acute decompensated heart failure: a case report and review of the literature.,2026,Journal of medical case reports,Lee Hou-Chen; Hsieh Meng-Heng; Lin Horng-Chyuan,Chang Gung Memorial Hospital Keelung Branch; Chang Gung University; Chang Gung Memorial Hospital at Linkou,Taiwan,Cardiotoxicity; Case report; heart failure; non-small cell lung cancer; Osimertinib,10.1186/s13256-026-06378-0
42460015,"Roles of myeloperoxidase and the AMPK/PI3K/AKT/eNOS pathway in osimertinib-induced cardiotoxicity: multilevel evidence from disequilibrium analysis, network pharmacology, mendelian randomization, and animal experiments.",2026,Frontiers in pharmacology,Shi Jing; Liu Xinya; Yu Jian; Wu Li; Jiang Yun; Gao Mengjiao; Zhang Yuanming,The Fifth Affiliated Hospital of Xinjiang Medical University; Xinjiang Medical University; Affiliated Cancer Hospital of Xinjiang Medical University,China,FAERS database; animal experiments; disproportionality analysis; epidermal growth factor receptor; mendelian randomization; network pharmacology; Osimertinib,10.3389/fphar.2026.1776465
42398475,Clonal divergence with acquired BRAF V600E in NSCLC with compound EGFR G719X/S768I after prolonged EGFR-TKI therapy.,2026,"Lung cancer (Amsterdam, Netherlands)",Hviid Camilla; Melchior Linea C; Berger Siv M S; Löfgren Johan O; Santoni-Rugiu Eric; Urbanska Edyta M,Copenhagen University Hospital; University of Copenhagen,Denmark,"ErbB Receptors; genetics; Carcinoma, Non-Small-Cell Lung; drug therapy; diagnosis; pathology; Proto-Oncogene Proteins B-raf; Lung Neoplasms; Protein Kinase Inhibitors; therapeutic use; Mutation; Drug Resistance, Neoplasm; Pyrimidines; Indoles; Clonal Evolution; Aniline Compounds; Erlotinib Hydrochloride",10.1016/j.lungcan.2026.109517
42386709,Osimertinib-induced cardiotoxicity is driven by HDAC-dependent epigenetic repression and rescued by vorinostat.,2026,Signal transduction and targeted therapy,Toro Cora Angelica; Bhati Arvind Singh; Titus Allen Sam; Jaiswal Ashish; Singh Baldeep; Umbarkar Prachi; Li Daniel Y; Dutta Roshan; Zhang Qinkun; Verma Suresh K; Tousif Sultan; Lal Hind,The University of Alabama at Birmingham,United States,"Vorinostat; pharmacology; Indoles; Pyrimidines; Aniline Compounds; adverse effects; Histone Deacetylases; genetics; metabolism; Cardiotoxicity; drug therapy; pathology; Acrylamides; toxicity; Epigenesis, Genetic; drug effects; Lung Neoplasms; Apoptosis; Carcinoma, Non-Small-Cell Lung; Tumor Suppressor Protein p53; Histone Deacetylase Inhibitors",10.1038/s41392-026-02814-1
42369562,Cost-effectiveness of neoadjuvant and adjuvant novel cancer therapies in stage II-III non-small cell lung cancer in Sri Lanka.,2026,BMJ oncology,Joseph Nuradh; Kularatna Sanjeewa; Senanayake Sameera,Queensland University of Technology; NUS Medical School; National Heart Research Institute; Government of Sri Lanka Ministry of Health,Australia; Singapore,Health economics; Immunotherapy; Lung cancer (non-small cell); Medical oncology,10.1136/bmjonc-2025-001046
42326026,Case reports of a double threat: when cancer and hidden congenital heart defects collide: malignant tamponade unveils a hidden pulmonary venous anomaly.,2026,European heart journal. Case reports,Rodriguez Alexis Phyllip; Vicenty-Rivera Sonia I,VA Healthcare System Department of Veterans Affairs,United States,Advanced non-small-cell lung cancer; Cardiac tamponade; Case report; Malignant pericardial effusion; Multiimaging modalities; Partial anomalous pulmonary venous return; Percutaneous balloon pericardiotomy,10.1093/ehjcr/ytag396
42307163,REPLY: Reframing Mechanistic and Clinical Paradigms of Osimertinib-Associated Cardiotoxicity.,2026,JACC. CardioOncology,Tanaka Yuta; Tatebe Yasuhisa; Hamano Hirofumi; Zamami Yoshito,,,,10.1016/j.jaccao.2026.03.007
42307162,Reframing Mechanistic and Clinical Paradigms of Osimertinib-Associated Cardiotoxicity.,2026,JACC. CardioOncology,Zhao Defeng; Li Danni,,,,10.1016/j.jaccao.2025.12.011
42306727,Are lazertinib and osimertinib comparable for treating advanced EGFR-mutant non-small cell lung cancer?-insights and limitations from the MARIPOSA study.,2026,Journal of thoracic disease,Urbanska Edyta Maria; Santoni-Rugiu Eric; Grauslund Morten; Sørensen Jens Benn,Center for Cancer and Organ Diseases; Institute for Clinical Medicine; Copenhagen University Hospital,Denmark,Epidermal growth factor receptor-mutant non-small cell lung cancer (EGFR-mutant NSCLC); Cardiotoxicity; Lazertinib; Osimertinib,10.21037/jtd-2026-1-0485
42229338,Cardiovascular adverse events in non-small cell lung cancer patients receiving osimertinib therapy: a systematic review and meta-analysis.,2026,"Lung cancer (Amsterdam, Netherlands)",Liu Wei-He; Cheng Yun-Jiu; Kang Jin; Chen Jian; An Zhen-Jie; Li Ting-Hui; Tan Ning; Zhong Wen-Zhao; Wu Yi-Long; Jiang Lei,Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences); Guangdong Lung Cancer Institute,China,"Cardiotoxicity; EGFR-mutated NSCLC; Meta-analysis; Osimertinib; Indoles; Aniline Compounds; adverse effects; therapeutic use; Pyrimidines; Lung Neoplasms; drug therapy; complications; Carcinoma, Non-Small-Cell Lung; Acrylamides; Cardiovascular Diseases; chemically induced; epidemiology; etiology; Antineoplastic Agents; Protein Kinase Inhibitors; ErbB Receptors; genetics; Incidence",10.1016/j.lungcan.2026.109413
