source,target,weight,source_freq,target_freq
China,United States,5,44,24
Germany,Japan,5,7,43
China,Japan,4,44,43
France,Japan,4,5,43
United Kingdom,United States,4,16,24
Canada,United Kingdom,4,5,16
Japan,United States,4,43,24
Malaysia,South Korea,3,3,20
China,Malaysia,3,44,3
China,Germany,3,44,7
China,South Korea,3,44,20
France,Germany,3,5,7
South Korea,United States,3,20,24
Japan,South Korea,3,43,20
Japan,Malaysia,3,43,3
Singapore,United States,3,6,24
Germany,Netherlands,3,7,3
Japan,Netherlands,3,43,3
Japan,Singapore,3,43,6
Japan,United Kingdom,3,43,16
Canada,Japan,3,5,43
Canada,China,3,5,44
Switzerland,United Kingdom,3,3,16
Canada,United States,3,5,24
China,United Kingdom,3,44,16
China,France,3,44,5
China,Taiwan,3,44,5
Japan,Spain,2,43,4
Germany,Spain,2,7,4
Japan,Thailand,2,43,3
Germany,South Korea,2,7,20
South Korea,United Kingdom,2,20,16
China,Thailand,2,44,3
China,Spain,2,44,4
Australia,Singapore,2,3,6
France,Spain,2,5,4
France,South Korea,2,5,20
South Korea,Thailand,2,20,3
South Korea,Spain,2,20,4
Germany,Malaysia,2,7,3
Malaysia,Thailand,2,3,3
France,Malaysia,2,5,3
Malaysia,Spain,2,3,4
Italy,Japan,2,5,43
France,Netherlands,2,5,3
Germany,United States,2,7,24
Germany,Singapore,2,7,6
China,Singapore,2,44,6
Netherlands,United States,2,3,24
Italy,Netherlands,2,5,3
Canada,Singapore,2,5,6
Singapore,United Kingdom,2,6,16
China,Netherlands,2,44,3
Germany,United Kingdom,2,7,16
Netherlands,Singapore,2,3,6
Germany,Italy,2,7,5
Malaysia,United States,2,3,24
France,Singapore,2,5,6
Switzerland,United States,2,3,24
France,United States,2,5,24
Germany,Taiwan,1,7,5
Spain,Thailand,1,4,3
Germany,Thailand,1,7,3
Canada,South Korea,1,5,20
France,Thailand,1,5,3
Spain,Taiwan,1,4,5
Taiwan,Thailand,1,5,3
South Korea,Taiwan,1,20,5
Malaysia,Taiwan,1,3,5
France,Taiwan,1,5,5
India,Japan,1,4,43
Japan,Taiwan,1,43,5
Malaysia,United Kingdom,1,3,16
Canada,Malaysia,1,5,3
Thailand,United States,1,3,24
Italy,Malaysia,1,5,3
Italy,Singapore,1,5,6
China,Italy,1,44,5
Italy,United States,1,5,24
Italy,Spain,1,5,4
France,Italy,1,5,5
Taiwan,United States,1,5,24
Canada,Thailand,1,5,3
Thailand,United Kingdom,1,3,16
Italy,South Korea,1,5,20
Netherlands,Spain,1,3,4
Malaysia,Singapore,1,3,6
Singapore,South Korea,1,6,20
Malaysia,Netherlands,1,3,3
Spain,United States,1,4,24
Singapore,Spain,1,6,4
Netherlands,United Kingdom,1,3,16
Netherlands,South Korea,1,3,20
Canada,Germany,1,5,7
France,United Kingdom,1,5,16
Canada,Netherlands,1,5,3
Canada,France,1,5,5
South Korea,Switzerland,1,20,3
Singapore,Switzerland,1,6,3
Japan,Switzerland,1,43,3
Canada,Switzerland,1,5,3
Australia,Switzerland,1,3,3
Australia,United States,1,3,24
Australia,United Kingdom,1,3,16
Australia,Japan,1,3,43
Australia,Canada,1,3,5
Denmark,Norway,1,4,2
