source,target,weight,source_freq,target_freq
Hallym University Sacred Heart Hospital,Korea University Guro Hospital,6,8,6
Hallym University Sacred Heart Hospital,Yeouido St. Mary's Hospital,5,8,5
Asan Medical Center,Hallym University Sacred Heart Hospital,5,5,8
Korea University Guro Hospital,Pusan National University Yangsan Hospital,5,6,5
Inha University Hospital,Korea University Guro Hospital,5,6,6
Asan Medical Center,Yeouido St. Mary's Hospital,5,5,5
Inha University Hospital,Pusan National University Yangsan Hospital,5,6,5
Hallym University Sacred Heart Hospital,Pusan National University Yangsan Hospital,5,8,5
Hallym University Sacred Heart Hospital,Inha University Hospital,5,8,6
Asan Medical Center,Seoul St. Mary's Hospital,4,5,4
Hallym University Sacred Heart Hospital,Seoul St. Mary's Hospital,4,8,4
Seoul St. Mary's Hospital,Yeouido St. Mary's Hospital,4,4,5
Asan Medical Center,Korea University Guro Hospital,4,5,6
Korea University Guro Hospital,Yeouido St. Mary's Hospital,4,6,5
Chungnam National University,Pusan National University Yangsan Hospital,3,5,5
Hallym University Sacred Heart Hospital,Wonkwang University Hospital,3,8,3
Chungnam National University,Inha University Hospital,3,5,6
Hallym University Sacred Heart Hospital,Samsung Medical Center,3,8,7
Hallym University Sacred Heart Hospital,Konkuk University Medical Center,3,8,3
Chonnam National University Hwasun Hospital,Inha University Hospital,3,3,6
Wonkwang University Hospital,Yonsei University Gangnam Severance Hospital,3,3,3
Graduate School of Medicine,Osaka International Cancer Institute,3,4,7
Itami City Hospital,Osaka International Cancer Institute,3,3,7
Pusan National University Hospital,Yeouido St. Mary's Hospital,3,3,5
Pusan National University Yangsan Hospital,Wonkwang University Hospital,3,5,3
Konkuk University Medical Center,Wonkwang University Hospital,3,3,3
Konkuk University Medical Center,Korea University Guro Hospital,3,3,6
Korea University Guro Hospital,Wonkwang University Hospital,3,6,3
Konkuk University Medical Center,Pusan National University Yangsan Hospital,3,3,5
Graduate School of Medicine,Hyogo Prefectural Amagasaki General Medical Center,3,4,4
Asan Medical Center,Pusan National University Yangsan Hospital,3,5,5
Hyogo Prefectural Amagasaki General Medical Center,Osaka International Cancer Institute,3,4,7
Pusan National University Hospital,Seoul St. Mary's Hospital,3,3,4
Daegu Catholic University Medical Center,Hallym University Sacred Heart Hospital,3,3,8
Samsung Medical Center,Seoul St. Mary's Hospital,3,7,4
Asan Medical Center,Samsung Medical Center,3,5,7
Samsung Medical Center,Yonsei Cancer Center,3,7,3
Inha University Hospital,Yeouido St. Mary's Hospital,3,6,5
Asan Medical Center,Pusan National University Hospital,3,5,3
Chungnam National University,Hallym University Sacred Heart Hospital,3,5,8
Inha University Hospital,Wonkwang University Hospital,3,6,3
Chungnam National University,Korea University Guro Hospital,3,5,6
Inha University Hospital,Konkuk University Medical Center,3,6,3
Kosin University Gospel Hospital,Pusan National University Yangsan Hospital,3,3,5
Pusan National University Yangsan Hospital,Yeouido St. Mary's Hospital,3,5,5
Hallym University Sacred Heart Hospital,Kosin University Gospel Hospital,3,8,3
Samsung Medical Center,Seoul National University Bundang Hospital,3,7,3
Korea University Guro Hospital,Seoul St. Mary's Hospital,3,6,4
Pusan National University Yangsan Hospital,Yonsei University Gangnam Severance Hospital,3,5,3
Samsung Medical Center,Yeouido St. Mary's Hospital,3,7,5
Hallym University Sacred Heart Hospital,Yonsei University Gangnam Severance Hospital,3,8,3
Asan Medical Center,Inha University Hospital,3,5,6
Inha University Hospital,Yonsei University Gangnam Severance Hospital,3,6,3
Korea University Guro Hospital,Yonsei University Gangnam Severance Hospital,3,6,3
Konkuk University Medical Center,Yonsei University Gangnam Severance Hospital,3,3,3
Hallym University Sacred Heart Hospital,Pusan National University Hospital,3,8,3
Korea University Guro Hospital,Kosin University Gospel Hospital,3,6,3
Inha University Hospital,Kosin University Gospel Hospital,3,6,3
Korea University Guro Hospital,Yonsei University College of Medicine,2,6,2
Hallym University Sacred Heart Hospital,Yonsei University College of Medicine,2,8,2
Hallym University Sacred Heart Hospital,Kyungpook National University,2,8,3
Konkuk University School of Medicine,Kyungpook National University,2,2,3
Korea University Guro Hospital,Kyungpook National University,2,6,3
Asan Medical Center,Kyungpook National University,2,5,3
Kyungpook National University,Yeouido St. Mary's Hospital,2,3,5
Pusan National University Hospital,Samsung Medical Center,2,3,7
Konkuk University School of Medicine,Pusan National University Yangsan Hospital,2,2,5
Konkuk University School of Medicine,Yeouido St. Mary's Hospital,2,2,5
Chungnam National University,Kyungpook National University,2,5,3
Inha University Hospital,Kyungpook National University,2,6,3
Inha University Hospital,Konkuk University School of Medicine,2,6,2
Asan Medical Center,Chungnam National University,2,5,5
Kyungpook National University,Pusan National University Yangsan Hospital,2,3,5
Guangdong Lung Cancer Institute,Hospital Umum Sarawak,2,5,2
Ulsan University Asan Medical Center,Yonsei University Gangnam Severance Hospital,2,2,3
Kyungpook National University Chilgok Hospital,Ulsan University Asan Medical Center,2,2,2
Konkuk University Medical Center,Ulsan University Asan Medical Center,2,3,2
Inha University Hospital,Ulsan University Asan Medical Center,2,6,2
Pusan National University Yangsan Hospital,Ulsan University Asan Medical Center,2,5,2
Inha University Hospital,Yonsei University Severance Hospital,2,6,2
Ulsan University Asan Medical Center,Wonkwang University Hospital,2,2,3
Hallym University Sacred Heart Hospital,Kyungpook National University Chilgok Hospital,2,8,2
Korea University Guro Hospital,Kyungpook National University Chilgok Hospital,2,6,2
Daegu Catholic University Medical Center,Korea University Guro Hospital,2,3,6
Korea University Guro Hospital,Yonsei University Severance Hospital,2,6,2
Korea University Guro Hospital,Ulsan University Asan Medical Center,2,6,2
Ulsan University Asan Medical Center,Yonsei University Severance Hospital,2,2,2
Hallym University Sacred Heart Hospital,Ulsan University Asan Medical Center,2,8,2
Kyungpook National University Chilgok Hospital,Yonsei University Gangnam Severance Hospital,2,2,3
Pusan National University Yangsan Hospital,Yonsei University Severance Hospital,2,5,2
Asan Medical Center,Yonsei University College of Medicine,2,5,2
Chungnam National University,Yonsei University College of Medicine,2,5,2
Inha University Hospital,Yonsei University College of Medicine,2,6,2
Pusan National University Yangsan Hospital,Yonsei University College of Medicine,2,5,2
Yeouido St. Mary's Hospital,Yonsei University College of Medicine,2,5,2
Guangdong Lung Cancer Institute,Netherlands Cancer Institute,2,5,2
Pusan National University Hospital,Pusan National University Yangsan Hospital,2,3,5
Inha University Hospital,Samsung Medical Center,2,6,7
Kyungpook National University,Yonsei University College of Medicine,2,3,2
National Health Service,School of Life Sciences,2,6,2
Chungnam National University Hospital,Wonkwang University Hospital,2,3,3
Konkuk University School of Medicine,Yonsei University College of Medicine,2,2,2
Hallym University Sacred Heart Hospital,Yonsei University Severance Hospital,2,8,2
Hospital Umum Sarawak,Kanagawa Cancer Center,2,2,3
Guangdong Lung Cancer Institute,Kanagawa Cancer Center,2,5,3
Chonnam National University Hwasun Hospital,Samsung Medical Center,2,3,7
Chungnam National University Hospital,Pusan National University Yangsan Hospital,2,3,5
Osaka City General Hospital,Wakayama Medical University,2,2,2
Kobe City Medical Center General Hospital,Osaka City General Hospital,2,2,2
Hyogo Prefectural Amagasaki General Medical Center,Osaka City General Hospital,2,4,2
Kumamoto Regional Medical Center,Osaka City General Hospital,2,2,2
Osaka City General Hospital,Osaka International Cancer Institute,2,2,7
Itami City Hospital,Saiseikai Utsunomiya Hospital,2,3,2
Daegu Catholic University Medical Center,Inha University Hospital,2,3,6
Inha University Hospital,Kyungpook National University Chilgok Hospital,2,6,2
Konkuk University Medical Center,Kyungpook National University Chilgok Hospital,2,3,2
Chungnam National University,Daegu Catholic University Medical Center,2,5,3
Konkuk University Medical Center,Yonsei University Severance Hospital,2,3,2
Kyungpook National University Chilgok Hospital,Yonsei University Severance Hospital,2,2,2
Wonkwang University Hospital,Yonsei University Severance Hospital,2,3,2
Kumamoto University Hospital,Osaka City General Hospital,2,2,2
Chungnam National University Hospital,Hallym University Sacred Heart Hospital,2,3,8
Asan Medical Center,Seoul National University Bundang Hospital,2,5,3
Inha University Hospital,Severance Hospital,2,6,2
Korea University Guro Hospital,Samsung Medical Center,2,6,7
Chungnam National University Hospital,Korea University Guro Hospital,2,3,6
Pusan National University Yangsan Hospital,Seoul St. Mary's Hospital,2,5,4
Huaihe Hospital of Henan University,Scope Research Institute of Electrophysiology,2,2,2
Henan University,Huaihe Hospital of Henan University,2,2,2
Henan University,Scope Research Institute of Electrophysiology,2,2,2
Chungnam National University Hospital,Inha University Hospital,2,3,6
Inha University Hospital,Pusan National University Hospital,2,6,3
Chonnam National University Hwasun Hospital,Wonkwang University Hospital,2,3,3
Kosin University Gospel Hospital,Yeouido St. Mary's Hospital,2,3,5
Severance Hospital,Yeouido St. Mary's Hospital,2,2,5
Chonnam National University Hwasun Hospital,Yonsei University Gangnam Severance Hospital,2,3,3
Chonnam National University Hwasun Hospital,Hallym University Sacred Heart Hospital,2,3,8
Chonnam National University Hwasun Hospital,Korea University Guro Hospital,2,3,6
Inha University Hospital,Seoul St. Mary's Hospital,2,6,4
Chonnam National University Hwasun Hospital,Chungnam National University Hospital,2,3,3
Chonnam National University Hwasun Hospital,Konkuk University Medical Center,2,3,3
Seoul National University Bundang Hospital,Yeouido St. Mary's Hospital,2,3,5
Hallym University Sacred Heart Hospital,Seoul National University Bundang Hospital,2,8,3
Asan Medical Center,Chonnam National University Medical School,2,5,2
Chonnam National University Medical School,Yeouido St. Mary's Hospital,2,2,5
Seoul National University Bundang Hospital,Seoul St. Mary's Hospital,2,3,4
Asan Medical Center,Daegu Catholic University Medical Center,2,5,3
Daegu Catholic University Medical Center,Yeouido St. Mary's Hospital,2,3,5
Yonsei University Gangnam Severance Hospital,Yonsei University Severance Hospital,2,3,2
Chungnam National University Hospital,Konkuk University Medical Center,2,3,3
Korea University Guro Hospital,Pusan National University Hospital,2,6,3
Chonnam National University Medical School,Daegu Catholic University Medical Center,2,2,3
Chonnam National University Medical School,Hallym University Sacred Heart Hospital,2,2,8
Kumamoto Rosai Hospital,Saiseikai Utsunomiya Hospital,2,2,2
Kurashiki Central Hospital,Osaka City General Hospital,2,2,2
Saiseikai Utsunomiya Hospital,Wakayama Medical University,2,2,2
Kobe City Medical Center General Hospital,Saiseikai Utsunomiya Hospital,2,2,2
Hyogo Prefectural Amagasaki General Medical Center,Saiseikai Utsunomiya Hospital,2,4,2
Kumamoto Regional Medical Center,Saiseikai Utsunomiya Hospital,2,2,2
