source,target,weight,source_freq,target_freq
Aniline Compounds,Pyrimidines,69,69,71
Acrylamides,Pyrimidines,69,70,71
Indoles,Pyrimidines,69,69,71
Aniline Compounds,Indoles,69,69,69
Acrylamides,Aniline Compounds,68,70,69
Acrylamides,Indoles,68,70,69
Lung Neoplasms,drug therapy,60,66,65
"Carcinoma, Non-Small-Cell Lung",Lung Neoplasms,59,59,66
Lung Neoplasms,Pyrimidines,57,66,71
Pyrimidines,drug therapy,57,71,65
Acrylamides,drug therapy,57,70,65
Acrylamides,Lung Neoplasms,56,70,66
Indoles,drug therapy,56,69,65
Aniline Compounds,drug therapy,56,69,65
Indoles,Lung Neoplasms,55,69,66
Aniline Compounds,Lung Neoplasms,55,69,66
"Carcinoma, Non-Small-Cell Lung",drug therapy,54,59,65
"Carcinoma, Non-Small-Cell Lung",Pyrimidines,52,59,71
Acrylamides,"Carcinoma, Non-Small-Cell Lung",51,70,59
Aniline Compounds,"Carcinoma, Non-Small-Cell Lung",50,69,59
"Carcinoma, Non-Small-Cell Lung",Indoles,50,59,69
ErbB Receptors,Lung Neoplasms,48,53,66
ErbB Receptors,Pyrimidines,47,53,71
Acrylamides,ErbB Receptors,46,70,53
"Carcinoma, Non-Small-Cell Lung",ErbB Receptors,46,59,53
Aniline Compounds,ErbB Receptors,45,69,53
ErbB Receptors,Indoles,45,53,69
ErbB Receptors,drug therapy,44,53,65
Lung Neoplasms,Protein Kinase Inhibitors,44,66,49
Protein Kinase Inhibitors,drug therapy,43,49,65
Protein Kinase Inhibitors,Pyrimidines,43,49,71
Pyrimidines,adverse effects,42,71,51
Aniline Compounds,adverse effects,42,69,51
Acrylamides,Protein Kinase Inhibitors,42,70,49
Acrylamides,adverse effects,42,70,51
Indoles,adverse effects,42,69,51
Indoles,Protein Kinase Inhibitors,41,69,49
adverse effects,drug therapy,41,51,65
Aniline Compounds,Protein Kinase Inhibitors,41,69,49
"Carcinoma, Non-Small-Cell Lung",Protein Kinase Inhibitors,40,59,49
Lung Neoplasms,genetics,40,66,44
Lung Neoplasms,Mutation,39,66,39
ErbB Receptors,genetics,39,53,44
"Carcinoma, Non-Small-Cell Lung",genetics,39,59,44
ErbB Receptors,Protein Kinase Inhibitors,38,53,49
Lung Neoplasms,adverse effects,38,66,51
drug therapy,genetics,37,65,44
Pyrimidines,genetics,37,71,44
Indoles,genetics,36,69,44
Acrylamides,genetics,36,70,44
"Carcinoma, Non-Small-Cell Lung",Mutation,36,59,39
Aniline Compounds,genetics,36,69,44
Mutation,drug therapy,35,39,65
Mutation,Pyrimidines,35,39,71
"Carcinoma, Non-Small-Cell Lung",adverse effects,34,59,51
drug therapy,therapeutic use,34,65,36
ErbB Receptors,Mutation,34,53,39
Indoles,Osimertinib,33,69,82
Indoles,Mutation,33,69,39
Aniline Compounds,Mutation,33,69,39
Acrylamides,Osimertinib,33,70,82
Aniline Compounds,Osimertinib,33,69,82
Acrylamides,Mutation,33,70,39
Protein Kinase Inhibitors,adverse effects,33,49,51
Lung Neoplasms,therapeutic use,33,66,36
Osimertinib,Pyrimidines,33,82,71
Antineoplastic Agents,adverse effects,31,36,51
"Carcinoma, Non-Small-Cell Lung",therapeutic use,31,59,36
Pyrimidines,therapeutic use,31,71,36
Mutation,genetics,30,39,44
Aniline Compounds,therapeutic use,30,69,36
Acrylamides,therapeutic use,30,70,36
Acrylamides,Antineoplastic Agents,30,70,36
Indoles,therapeutic use,30,69,36
Mutation,Protein Kinase Inhibitors,30,39,49
Aniline Compounds,Antineoplastic Agents,29,69,36
ErbB Receptors,adverse effects,29,53,51
ErbB Receptors,therapeutic use,29,53,36
Antineoplastic Agents,Indoles,29,36,69
Protein Kinase Inhibitors,therapeutic use,29,49,36
Antineoplastic Agents,Pyrimidines,29,36,71
Antineoplastic Agents,drug therapy,28,36,65
Protein Kinase Inhibitors,genetics,27,49,44
Cardiotoxicity,Osimertinib,27,47,82
Osimertinib,drug therapy,27,82,65
genetics,therapeutic use,27,44,36
Pyrimidines,pathology,26,71,30
Antineoplastic Agents,"Carcinoma, Non-Small-Cell Lung",26,36,59
Antineoplastic Agents,Lung Neoplasms,26,36,66
Lung Neoplasms,pathology,26,66,30
Osimertinib,adverse effects,26,82,51
Lung Neoplasms,Osimertinib,26,66,82
Cardiotoxicity,Indoles,25,47,69
Aniline Compounds,Cardiotoxicity,25,69,47
"Carcinoma, Non-Small-Cell Lung",pathology,25,59,30
Cardiotoxicity,adverse effects,25,47,51
"Carcinoma, Non-Small-Cell Lung",Osimertinib,25,59,82
Acrylamides,pathology,25,70,30
Acrylamides,Cardiotoxicity,25,70,47
Cardiotoxicity,Pyrimidines,25,47,71
Antineoplastic Agents,Protein Kinase Inhibitors,25,36,49
Aniline Compounds,pathology,25,69,30
Indoles,pathology,25,69,30
Osimertinib,Protein Kinase Inhibitors,24,82,49
Antineoplastic Agents,ErbB Receptors,24,36,53
drug therapy,pathology,23,65,30
adverse effects,chemically induced,22,51,26
chemically induced,drug therapy,22,26,65
genetics,pathology,22,44,30
adverse effects,genetics,22,51,44
ErbB Receptors,Osimertinib,22,53,82
adverse effects,therapeutic use,21,51,36
Mutation,adverse effects,21,39,51
Indoles,chemically induced,21,69,26
Aniline Compounds,chemically induced,21,69,26
Pyrimidines,chemically induced,21,71,26
Acrylamides,chemically induced,21,70,26
Cardiotoxicity,drug therapy,21,47,65
ErbB Receptors,pathology,20,53,30
Mutation,therapeutic use,20,39,36
Osimertinib,genetics,20,82,44
Cardiotoxicity,etiology,19,47,20
Lung Neoplasms,chemically induced,19,66,26
Antineoplastic Agents,Osimertinib,19,36,82
Antineoplastic Agents,chemically induced,18,36,26
Cardiotoxicity,Lung Neoplasms,18,47,66
"Carcinoma, Non-Small-Cell Lung",chemically induced,18,59,26
adverse effects,etiology,18,51,20
Antineoplastic Agents,therapeutic use,18,36,36
Antineoplastic Agents,Cardiotoxicity,18,36,47
Mutation,Osimertinib,18,39,82
Protein Kinase Inhibitors,chemically induced,17,49,26
Antineoplastic Agents,genetics,17,36,44
Osimertinib,heart failure,17,82,31
Cardiotoxicity,heart failure,17,47,31
"Carcinoma, Non-Small-Cell Lung",Cardiotoxicity,17,59,47
Acrylamides,antagonists & inhibitors,17,70,18
"Aged, 80 and over",Pyrimidines,16,17,71
"Aged, 80 and over",Aniline Compounds,16,17,69
ErbB Receptors,antagonists & inhibitors,16,53,18
Acrylamides,"Aged, 80 and over",16,70,17
Cardiotoxicity,Protein Kinase Inhibitors,16,47,49
Pyrimidines,antagonists & inhibitors,16,71,18
"Aged, 80 and over",Indoles,16,17,69
Indoles,antagonists & inhibitors,15,69,18
Indoles,etiology,15,69,20
"Aged, 80 and over",Lung Neoplasms,15,17,66
"Carcinoma, Non-Small-Cell Lung",epidemiology,15,59,16
Acrylamides,etiology,15,70,20
"Aged, 80 and over","Carcinoma, Non-Small-Cell Lung",15,17,59
Aniline Compounds,etiology,15,69,20
Pyrimidines,etiology,15,71,20
Cardiotoxicity,chemically induced,15,47,26
Lung Neoplasms,epidemiology,15,66,16
Aniline Compounds,antagonists & inhibitors,15,69,18
Acrylamides,pharmacology,15,70,18
adverse effects,antagonists & inhibitors,15,51,18
Osimertinib,therapeutic use,15,82,36
Pyrimidines,pharmacology,14,71,18
"Aged, 80 and over",ErbB Receptors,14,17,53
Protein Kinase Inhibitors,pathology,14,49,30
pathology,therapeutic use,14,30,36
antagonists & inhibitors,drug therapy,14,18,65
"Aged, 80 and over",drug therapy,14,17,65
Osimertinib,pathology,14,82,30
Mutation,pathology,14,39,30
ErbB Receptors,chemically induced,14,53,26
adverse effects,pathology,14,51,30
drug therapy,epidemiology,14,65,16
Indoles,metabolism,13,69,16
Pyrimidines,metabolism,13,71,16
Aniline Compounds,metabolism,13,69,16
Aniline Compounds,heart failure,13,69,31
Acrylamides,metabolism,13,70,16
Indoles,heart failure,13,69,31
Acrylamides,heart failure,13,70,31
Pyrimidines,epidemiology,13,71,16
Aniline Compounds,epidemiology,13,69,16
drug therapy,etiology,13,65,20
Pyrimidines,heart failure,13,71,31
adverse effects,epidemiology,13,51,16
Acrylamides,epidemiology,13,70,16
Indoles,pharmacology,13,69,18
"Carcinoma, Non-Small-Cell Lung",antagonists & inhibitors,13,59,18
Cardiotoxicity,ErbB Receptors,13,47,53
Lung Neoplasms,antagonists & inhibitors,13,66,18
Indoles,epidemiology,13,69,16
Aniline Compounds,pharmacology,13,69,18
Osimertinib,non-small cell lung cancer,13,82,19
chemically induced,therapeutic use,12,26,36
Cardiotoxicity,genetics,12,47,44
adverse effects,heart failure,12,51,31
Antineoplastic Agents,etiology,12,36,20
ErbB Receptors,epidemiology,12,53,16
Antineoplastic Agents,Mutation,12,36,39
"Aged, 80 and over",adverse effects,12,17,51
Protein Kinase Inhibitors,antagonists & inhibitors,12,49,18
Acrylamides,drug effects,12,70,14
Antineoplastic Agents,epidemiology,12,36,16
"Aged, 80 and over",genetics,11,17,44
"Carcinoma, Non-Small-Cell Lung",pharmacology,11,59,18
Cardiotoxicity,drug effects,11,47,14
chemically induced,heart failure,11,26,31
metabolism,pharmacology,11,16,18
Lung Neoplasms,pharmacology,11,66,18
