institutions,count
Hallym University Sacred Heart Hospital,8
Samsung Medical Center,7
Osaka International Cancer Institute,7
National Health Service,6
Inha University Hospital,6
Korea University Guro Hospital,6
Guangdong Lung Cancer Institute,5
Chungnam National University,5
Asan Medical Center,5
Yeouido St. Mary's Hospital,5
Pusan National University Yangsan Hospital,5
Hyogo Prefectural Amagasaki General Medical Center,4
Graduate School of Medicine,4
AstraZeneca,4
Mayo Clinic,4
Seoul St. Mary's Hospital,4
University of Copenhagen,3
Kyungpook National University,3
Chungnam National University Hospital,3
University of California,3
