journal,count
JACC. CardioOncology,10
"Lung cancer (Amsterdam, Netherlands)",9
Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer,7
Frontiers in oncology,7
Journal of oncology pharmacy practice : official publication of the International Society of Oncology Pharmacy Practitioners,6
Frontiers in pharmacology,5
Frontiers in cardiovascular medicine,5
Respiratory medicine case reports,4
"Cardio-oncology (London, England)",4
JACC. Case reports,4
Anti-cancer drugs,4
Cardiovascular toxicology,3
Thoracic cancer,3
Cureus,3
Cancer research and treatment,3
Journal of clinical oncology : official journal of the American Society of Clinical Oncology,3
European heart journal. Case reports,2
Journal of thoracic disease,2
Translational lung cancer research,2
Discover oncology,2
