id	label	x	y	cluster	weight<Occurrences>	weight<Total link strength>
1	Hara Satoshi	-0.471076	0.090983	1	3	7
2	Lee Shin Yup	0.457755	0.189223	2	5	61
3	Kato Terufumi	-0.935365	-0.540636	3	3	3
4	Choi Chang-Min	0.034173	0.096016	2	3	35
5	Kim Young-Chul	0.435188	0.443563	2	3	29
6	Wu Yi-Long	-0.944152	0.173106	3	5	4
7	Kim Seung Joon	0.487283	-0.000508	2	5	61
8	Zamami Yoshito	-0.704779	-0.246815	4	3	4
9	Imamura Fumio	-0.506763	-0.358041	1	3	5
10	Cho Byoung Chul	-0.139277	-0.476729	3	4	5
11	Ryu Jeong Seon	0.529700	-0.127866	2	3	39
12	Chang Yoon Soo	0.279188	0.159090	2	4	52
13	Jang Seung Hun	0.427659	0.285812	2	7	54
14	Kanda Yasunari	-1.000000	-0.095325	4	3	2
15	Tamiya Motohiro	-0.396444	-0.626346	1	4	9
16	Lee Kye Young	0.395896	0.088751	2	5	61
17	Park Chan Kwon	0.310847	0.335700	2	4	48
18	Lee Sang Hoon	0.571725	0.196042	2	5	61
19	Matsumoto Hirotaka	-0.568169	-0.847445	1	3	4
20	Kunimasa Kei	0.244683	-0.539078	1	4	5
21	Yoon Seong Hoon	0.206374	0.034901	2	4	52
22	Jang Tae Won	0.183685	0.200894	2	4	52
23	Jung Chi Young	0.133096	0.382874	2	3	29
24	Popat Sanjay	-0.454029	0.388820	3	3	1
25	Lee Sung Yong	0.353919	-0.031148	2	6	64
26	Lee Jeong Eun	0.563527	0.085759	2	6	64
27	Choi Chang Min	0.666809	0.300190	2	3	29
28	Hamano Hirofumi	-0.365801	0.531456	4	3	4
29	Yang Sei Hoon	0.204348	-0.093243	2	4	48
