id	label	x	y	cluster	weight<Occurrences>	weight<Total link strength>
1	Osaka International Cancer Institute	-0.666011	0.119733	1	7	9
2	Konkuk University Medical Center	0.541815	0.245844	2	3	25
3	Itami City Hospital	-1.000000	-0.556872	1	3	7
4	Asan Medical Center	0.022820	-0.056872	3	5	33
5	Yeouido St. Mary's Hospital	0.254961	-0.245135	3	5	33
6	Guangdong Lung Cancer Institute	-0.568621	0.687047	3	5	2
7	Hyogo Prefectural Amagasaki General Medical Center	-0.209157	-0.488327	1	4	8
8	Inha University Hospital	0.148592	0.132112	2	6	40
9	Chonnam National University Hwasun Hospital	-0.005134	0.428242	2	3	20
10	Samsung Medical Center	-0.179350	0.027311	3	7	24
11	Chungnam National University	0.458099	-0.320407	2	5	20
12	Wonkwang University Hospital	0.143894	0.332169	2	3	25
13	Yonsei University Gangnam Severance Hospital	0.385043	0.395561	2	3	25
14	Graduate School of Medicine	-0.939931	-0.329940	1	4	8
15	Korea University Guro Hospital	0.171983	-0.077867	2	6	43
16	AstraZeneca	0.741676	-0.154713	3	4	2
17	Pusan National University Yangsan Hospital	0.371975	0.132506	2	5	38
18	Hallym University Sacred Heart Hospital	0.342360	-0.017080	3	8	47
19	Seoul St. Mary's Hospital	-0.015014	-0.253312	3	4	27
