reaction,source,a,b,c,d,N,ROR,ROR_lo,ROR_hi,PRR,PRR_lo,PRR_hi,chi2,IC,IC025,EBGM,EB05,expected_count,haldane_anscombe_applied,gps_prior_id,is_signal
rhabdomyolysis,user-specified,"2,200","244,152","38,267","20,043,956","20,328,575",4.720,4.520,4.928,4.687,4.490,4.891,6045.045,2.165,2.104,4.485,4.329,490.400,no,,yes
pain,top-pt,"37,853","208,499","2,139,529","17,942,694","20,328,575",1.523,1.506,1.539,1.442,1.429,1.456,5648.923,0.521,0.505,1.434,1.422,26386.621,no,,yes
fatigue,top-pt,"14,341","232,011","744,483","19,337,740","20,328,575",1.606,1.578,1.633,1.570,1.545,1.596,3027.113,0.641,0.617,1.559,1.538,9195.815,no,,yes
drug ineffective,top-pt,"13,458","232,894","1,318,073","18,764,150","20,328,575",0.823,0.808,0.837,0.832,0.819,0.846,481.495,-0.262,-0.287,0.834,0.822,16136.169,no,,no
nausea,top-pt,"12,755","233,597","751,851","19,330,372","20,328,575",1.404,1.379,1.429,1.383,1.360,1.407,1381.940,0.461,0.435,1.376,1.356,9265.884,no,,yes
dyspnoea,top-pt,"12,219","234,133","565,829","19,516,394","20,328,575",1.800,1.767,1.833,1.760,1.730,1.791,4043.330,0.803,0.776,1.744,1.718,7005.079,no,,yes
diarrhoea,top-pt,"11,407","234,945","619,184","19,463,039","20,328,575",1.526,1.497,1.555,1.502,1.475,1.529,1938.003,0.578,0.551,1.492,1.469,7641.822,no,,yes
type 2 diabetes mellitus,top-pt,"11,290","235,062","21,836","20,060,387","20,328,575",44.124,43.118,45.155,42.148,41.216,43.101,299451.402,4.814,4.782,28.116,27.684,401.438,no,,yes
dizziness,top-pt,"10,255","236,097","481,104","19,601,119","20,328,575",1.770,1.735,1.805,1.738,1.705,1.771,3221.837,0.784,0.756,1.722,1.694,5954.538,no,,yes
headache,top-pt,"10,121","236,231","609,019","19,473,204","20,328,575",1.370,1.343,1.398,1.355,1.329,1.381,953.700,0.432,0.403,1.349,1.327,7503.053,no,,yes
myalgia,top-pt,"9,953","236,399","155,352","19,926,871","20,328,575",5.400,5.290,5.513,5.223,5.120,5.327,32196.816,2.313,2.283,4.968,4.887,2003.250,no,,yes
