source_id,row_type,dimension_or_role,jurisdiction,product_version,findings,limitations,evidence_access,retrieved_at
DIM-indication,label_dimension,mismatch（PCOS 代谢与月经周期改善 vs 说明书适应证（2 型糖尿病））,中国（NMPA）,盐酸二甲双胍片 0.5 g 普通片（锚定品规：美迪康）,拟用超出核准适应证；6 条 NMPA 品规记录均无 PCOS 用途,索引副本无批准文号与修订日期字段；官方现行性未核,,
DIM-population,label_dimension,mismatch（18–40 岁 BMI≥24 伴 IR 未合并糖尿病的 PCOS 女性 vs 标签人群（2 型糖尿病患者））,中国（NMPA）,盐酸二甲双胍片 0.5 g 普通片（锚定品规：美迪康）,标签人群不含非糖尿病 PCOS 女性,妊娠哺乳栏目按糖尿病语境书写（旧模板禁用）,,
DIM-dose,label_dimension,unclear（500 mg）,中国（NMPA）,盐酸二甲双胍片 0.5 g 普通片（锚定品规：美迪康）,索引记录未返回【用法用量】小节，无法核实剂量是否落入说明书成人范围,缺失小节不作 match/mismatch 推定；指南层面剂量评估见报告第 3 节,,
DIM-route,label_dimension,match（口服）,中国（NMPA）,盐酸二甲双胍片 0.5 g 普通片（锚定品规：美迪康）,锚定产品为 NMPA 盐酸二甲双胍片（口服片剂），6 条品规均片剂,索引记录未单独呈现给药途径字样，判定基于品名/剂型字段,,
DIM-frequency,label_dimension,unclear（每日三次）,中国（NMPA）,盐酸二甲双胍片 0.5 g 普通片（锚定品规：美迪康）,【用法用量】缺失，无法核实,同 dose 限制,,
DIM-duration,label_dimension,unclear（6 个月）,中国（NMPA）,盐酸二甲双胍片 0.5 g 普通片（锚定品规：美迪康）,无可核验疗程表述,同 dose 限制,,
DIM-formulation,label_dimension,match（普通片（即释片））,中国（NMPA）,盐酸二甲双胍片 0.5 g 普通片（锚定品规：美迪康）,品名均为盐酸二甲双胍片（0.25/0.5/0.85 g），无缓释/肠溶修饰,按 NMPA 品名惯例区分即释与缓释/肠溶剂型,,
SRC-LAB-01,source,NMPA 说明书索引记录（标签证据）,China (NMPA),盐酸二甲双胍片 0.5 g，重庆药友制药有限责任公司,indicationsAndUsage: 本品首选用于单纯饮食控制及体育锻炼控制血糖无效的2 型糖尿病。对于成人，本品可用于单药治疗，也可以与磺脲类药物或胰岛素联合治疗。对于 10 岁及以上的儿童和青少年，本品可用于单药治疗或与胰岛素联合治疗。 | contraindications: ● 严重的肾功能衰竭（eGFR<45 mL/min/1.73m2）； | note: 锚定品规（0.5 g 普通片，新模板）。索引记录未包含【用法用量】小节文本。,锚定品规（0.5 g 普通片，新模板）。索引记录未包含【用法用量】小节文本。,regulatory_record,2026-09-09T06:08:26.993777Z
SRC-LAB-02,source,NMPA 说明书索引记录（标签证据）,China (NMPA),盐酸二甲双胍片 0.25 g，天津太平洋制药有限公司,indicationsAndUsage: 同 SRC-LAB-01（新模板适应证文本） | note: 佐证同模板适应证文本的一致性。,佐证同模板适应证文本的一致性。,regulatory_record,2026-09-09T06:08:26.993830Z
SRC-LAB-03,source,NMPA 说明书索引记录（标签证据）,China (NMPA),盐酸二甲双胍片 0.85 g，默克制药（江苏）有限公司,indicationsAndUsage: 同 SRC-LAB-01（新模板） | adverseReactions: 初始治疗时，最常见的不良反应有恶心、呕吐、腹泻、腹痛和食欲不振，大多数患者通常可以自行缓解。以下不良反应可能在服用二甲双胍时出现。不良反应发生频率定义如下：十分常见（ ≥ 10%）；常见（1%-10%，含 1%），偶见（0.1%-1%，含 0.1%），罕见（0 | note: 含不良反应频率定义与胃肠道反应描述；不含【用法用量】。,含不良反应频率定义与胃肠道反应描述；不含【用法用量】。,regulatory_record,2026-09-09T06:08:26.993848Z
SRC-LAB-04,source,NMPA 说明书索引记录（标签证据）,China (NMPA),盐酸二甲双胍片 0.5 g，Alphapharm Pty Limited（进口分包装）,indicationsAndUsage: 同 SRC-LAB-01（新模板适应证文本） | note: 0.5 g 进口品规佐证。,0.5 g 进口品规佐证。,regulatory_record,2026-09-09T06:12:37.068171Z
SRC-LAB-05,source,NMPA 说明书索引记录（标签证据）,China (NMPA),盐酸二甲双胍片 0.25 g，万全万特制药(厦门)有限公司,indicationsAndUsage: 用于单纯饮食控制不满意的Ⅱ型糖尿病病人，尤其是肥胖和伴高胰岛素血症者，用本药不但有降血糖作用，还可能有减轻体重和高胰岛素血症的效果。对某些磺酰脲类疗效差的患者可奏效，如与磺酰脲类、小肠糖苷酶抑制剂或噻唑烷二酮类降糖药合用，较分别单用的效果更好。亦可用于胰岛素治 | adverseReactions: 1、常见的有：恶心、呕吐、腹泻、口中有金属味。 | pregnancyLactationUse: 妊娠及哺乳期妇女禁用。 | contraindications: 下列情况应禁用： | elderlyUse: 70 岁以上患者可出现乳酸性酸中毒，宜慎用。 | note: 旧模板适应证文本；含妊娠哺乳禁用与老年乳酸性酸中毒警示。,旧模板适应证文本；含妊娠哺乳禁用与老年乳酸性酸中毒警示。,regulatory_record,2026-09-09T06:12:37.068206Z
SRC-LAB-06,source,NMPA 说明书索引记录（标签证据）,China (NMPA),盐酸二甲双胍片 0.25 g，湖南明瑞制药股份有限公司,indicationsAndUsage: 同 SRC-LAB-05（旧模板适应证文本） | pregnancyLactationUse: 妊娠及哺乳期妇女禁用。 | note: 旧模板佐证。,旧模板佐证。,regulatory_record,2026-09-09T06:12:37.068221Z
SRC-GDL-01,source,指南/共识正文（推荐文本与自报证据分级）,中国,中华医学会妇产科学分会（内分泌学组组织制定）,二甲双胍：为胰岛素增敏剂……适应证：(1)PCOS伴胰岛素抵抗的患者；(2)PCOS不孕、枸橼酸氯米酚(CC)抵抗患者促性腺激素促排卵前的预治疗。禁忌证：心肝肾功能不全、酗酒等。 | 胰岛素增敏剂在辅助生殖治疗中的应用：推荐在PCOS患者辅助生殖治疗过程中使用二甲双胍。二甲双胍目前在治疗PCOS中的方案有：(1)单独应用：适用于非肥胖的PCOS患者(BMI<30kg/m²)…… | note: 正文工件为 EviMed 收录副本，个别字符存在 OCR 噪声（如“枸橡酸氯米酚”），引用时按上下文校正并保留原期刊用名克罗米芬/氯米芬。,正文工件为 EviMed 收录副本，个别字符存在 OCR 噪声（如“枸橡酸氯米酚”），引用时按上下文校正并保留原期刊用名克罗米芬/氯米芬。,full_text,2026-09-09T06:09:33.387315Z
SRC-GDL-02,source,指南/共识正文（推荐文本与自报证据分级）,中国,多囊卵巢综合征诊治路径共识专家组,（2）二甲双胍：适用于PCOS合并有胰岛素抵抗、糖调节受损（IGR）或糖尿病，且通过生活方式干预效果欠佳的患者。对于BMI≥25kg/m2的成年PCOS患者以及确诊青春期PCOS患者，除生活方式外，还应考虑使用二甲双胍来管理体质量和代谢水平。……育龄期患者中，非肥胖者推荐剂量1000~1500mg/d，肥胖者推荐剂量2000~2500mg/d，疗程3~6个月及以上。治疗期间可有腹胀腹泻、恶心等不良反应，推荐餐中服用，从小剂量开始逐渐增加耐受性。,,full_text,2026-09-09T06:09:33.391744Z
SRC-GDL-03,source,指南/共识正文（推荐文本与自报证据分级）,中国,中华预防医学会（专家共识）,（五）IR的药物治疗 二甲双胍是经典的胰岛素增敏剂之一……其最佳有效剂量为每天1500～2000mg……主要不良反应是胃肠道不适，二甲双胍缓释片和缓释胶囊的胃肠道反应更小，依从性更高。……研究表明，二甲双胍用于PCOS患者可以改善IR和多种代谢异常，还可以降低高雄激素水平，诱导排卵，恢复月经，改善辅助生殖结局。最新国际指南推荐，BMI≥25kg/m²的PCOS成人患者，应考虑单独使用二甲双胍，以改善IR、血糖和血脂等。 | PCOS患者在妊娠期间是否继续使用二甲双胍仍存在争议，我国尚无二甲双胍在孕妇中应用的适应证推荐，且药物可以通过胎盘……属于妊娠B类药物，建议妊娠期慎用。,,full_text,2026-09-09T06:09:33.393567Z
