claimId,referenceNumber,citationKey,identifier,accessLevel,sourceTitle,sourceUrl,artifactPath,supportQuote,status
CLM-001,3,ref3,PMCID:PMC8287819,full_text,Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol,https://europepmc.org/articles/PMC8287819,.evimed-sources/PMC8287819/fulltext.md,"During the treatment period, eligible patients will be given SJP or placebo pills and they will have to take 5 pills of the study medication three times daily. SJP is composed of tetramethylpyrazine a",verified
CLM-002,3,ref3,PMCID:PMC8287819,full_text,Suxiao Jiuxin Pill stable angina trial protocol (Trials 2021),https://europepmc.org/articles/PMC8287819,.evimed-sources/PMC8287819/fulltext.md,"The trial will enroll 324 participants with chronic stable angina (Qi Stagnation and Blood Stasis syndrome).…Eligible participants will receive either SJP or placebo (five pills administered orally, t",verified
CLM-003,3,ref3,PMCID:PMC8287819,full_text,Suxiao Jiuxin Pill stable angina trial protocol (Trials 2021),https://europepmc.org/articles/PMC8287819,.evimed-sources/PMC8287819/fulltext.md,"SJP can increase coronary blood flow, improve myocardial cell hypoxia, and relieve angina pectoris similar to nitroglycerin",verified
CLM-004,5,ref5,PMCID:PMC3997901,full_text,Suxiao Jiuxin Pill Induces Potent Relaxation and Inhibition on Contraction in Human Artery and the Mechanism (eCAM 2014),https://europepmc.org/articles/PMC3997901,.evimed-sources/PMC3997901/fulltext.md,"We investigated the effect and possible mechanism of SJP in the human internal mammary artery (IMA, n = 78) taken from patients undergoing coronary surgery. SJP caused full relaxation in KCl- (99.4 ± ",verified
CLM-005,5,ref5,PMCID:PMC3997901,full_text,Suxiao Jiuxin Pill human artery relaxation study (eCAM 2014),https://europepmc.org/articles/PMC3997901,.evimed-sources/PMC3997901/fulltext.md,These results show that Suxiao Jiuxin Pill-induced relaxation is mainly endothelium-independent although it also has a small endothelium-dependent component.,verified
CLM-006,8,ref8,PMCID:PMC11451125,full_text,Efficacy and Safety of Suxiao Jiuxin Pills in CCS with intolerance to long-acting nitrates (BMC Complement Med Ther 2024),https://europepmc.org/articles/PMC11451125,.evimed-sources/PMC11451125/fulltext.md,"A total of 174 CCS participants from eight clinical study centers in China were included in the modified intention-to-treat analyses.…Compared to the placebo group, the SJPs group showed a significant",verified
CLM-007,8,ref8,PMCID:PMC11451125,full_text,Suxiao Jiuxin Pills CCS trial (BMC Complement Med Ther 2024),https://europepmc.org/articles/PMC11451125,.evimed-sources/PMC11451125/fulltext.md,"During the 4-week treatment period, all participants were instructed to orally administer the study medication sublingually after meals, three times a day, taking 5 capsules each time (total of 15 cap",verified
CLM-008,8,ref8,PMCID:PMC11451125,full_text,Suxiao Jiuxin Pills CCS trial (BMC Complement Med Ther 2024),https://europepmc.org/articles/PMC11451125,.evimed-sources/PMC11451125/fulltext.md,"Suxiao Jiuxin Pill (SJPs) emerges as a prominent traditional Chinese patent medicine utilized for the treatment of acute ischemic heart disease, which was approved by China Food and Drug Administratio",verified
CLM-009,6,ref6,PMCID:PMC5892298,full_text,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of RCTs (eCAM 2018),https://europepmc.org/articles/PMC5892298,.evimed-sources/PMC5892298/fulltext.md,Forty-one trials involving 6276 patients were included in our analysis. Administration of suxiao jiuxin pill significantly improved electrocardiogram (ECG) results when compared with other therapies (,verified
CLM-010,6,ref6,PMCID:PMC5892298,full_text,Suxiao Jiuxin Pill CHD meta-analysis (eCAM 2018),https://europepmc.org/articles/PMC5892298,.evimed-sources/PMC5892298/fulltext.md,"The most common symptoms were mild headache, dizziness, and facial flushing. Most of these symptoms resolved spontaneously.",verified
CLM-011,10,ref10,PMCID:PMC9088738,full_text,INCODER study protocol (Front Cardiovasc Med 2022),https://europepmc.org/articles/PMC9088738,.evimed-sources/PMC9088738/fulltext.md,"CDDP contains three medicinal herbs, Salvia miltiorrhiza , notoginseng, and borneol at a ratio of 450:141:8 ( 15 ).",verified
CLM-012,10,ref10,PMCID:PMC9088738,full_text,INCODER study protocol (Front Cardiovasc Med 2022),https://europepmc.org/articles/PMC9088738,.evimed-sources/PMC9088738/fulltext.md,"In the Phase II clinical trial of CDDP conducted under the supervision of Food and Drug Administration (FDA) in the United States, 125 patients with moderate chronic stable angina pectoris were random",verified
CLM-013,10,ref10,PMCID:PMC9088738,full_text,INCODER study protocol (Front Cardiovasc Med 2022),https://europepmc.org/articles/PMC9088738,.evimed-sources/PMC9088738/fulltext.md,Patients will be randomized (1:1) to intensive treatment group (CDDP 20 pills three times per day) or standard treatment group (10 pills CDDP and 10 pills placebo three times per day). Patients will h,verified
CLM-014,11,ref11,PMCID:PMC7685822,full_text,The Efficacy and Safety of Compound Danshen Dripping Pill Combined with PCI for Coronary Heart Disease (eCAM 2020),https://europepmc.org/articles/PMC7685822,.evimed-sources/PMC7685822/fulltext.md,"Twenty eligible researches including 2574 sufferers were all published in Chinese databases from 2003 to 2019.…In all studies, the dose of CDDP was 10 pills each time, three times a day by oral admini",verified
CLM-015,11,ref11,PMCID:PMC7685822,full_text,CDDP combined with PCI meta-analysis (eCAM 2020),https://europepmc.org/articles/PMC7685822,.evimed-sources/PMC7685822/fulltext.md,"the combination therapy of CDDP and PCI treatment markedly reduced the incidence of MACE compared to single PCI treatment in treating CHD (RR = 0.53, 95% CI (0.44, 0.65), P < 0.00001)",verified
CLM-016,12,ref12,PMCID:PMC4592726,full_text,Compound Danshen Dripping Pill for Treating Early Diabetic Retinopathy (eCAM 2015),https://europepmc.org/articles/PMC4592726,.evimed-sources/PMC4592726/fulltext.md,"Patients in CDDP group were orally administered 15 CDDP pills at a time, thrice a day, whereas patients in the calcium dobesilate group were orally administered 500 mg calcium dobesilate (Xi'an Lijuns",verified
CLM-017,12,ref12,PMCID:PMC4592726,full_text,CDDP early diabetic retinopathy trial (eCAM 2015),https://europepmc.org/articles/PMC4592726,.evimed-sources/PMC4592726/fulltext.md,Our present study showed that CDDP has a similar improvement and safety to calcium dobesilate for NPDR.,verified
CLM-018,13,ref13,PMCID:PMC5702344,full_text,The Clinical Pharmacokinetics and Pharmacodynamics of Warfarin When Combined with Compound Danshen (Front Pharmacol 2017),https://europepmc.org/articles/PMC5702344,.evimed-sources/PMC5702344/fulltext.md,"10 dripping pills of CDDP (Tianjin Tasly Group Co., Ltd, China) were added orally to patients three times per day for at least 4 weeks. … The INR value, fixed warfarin doses and trough concentration o",verified
CLM-019,14,ref14,PMCID:PMC10717272,full_text,Efficacy and safety of oral Chinese patent medicines for CHD combined with hyperlipidemia: NMA of 78 trials (Chin Med 2023),https://europepmc.org/articles/PMC10717272,.evimed-sources/PMC10717272/fulltext.md,"A total of 78 RCTs were included, involving 7,955 cases and 8 types of Chinese patent medicines, which were Tongxinluo Capsule, Naoxintong Capsule, Compound Danshen Dripping Pill, Shexiangbaoxin Pill,",verified
CLM-020,6,ref6,full_text; full_text,synthesized,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease met; Network meta-analysis of 78 RCTs of oral Chinese patent medi,https://europepmc.org/articles/PMC5892298; https://europepmc.org/articles/PMC10717272,.evimed-sources/PMC5892298/fulltext.md; .evimed-sources/PMC10717272/fulltext.md,The majority of the included studies received low Jadad scores due to the lack o | The overall quality of evidence was rated low because of the high risk of bias d,verified-synthesized
CLM-021,14,ref14,full_text; full_text,synthesized,Network meta-analysis of 78 RCTs (Chin Med 2023); CDDP combined with PCI meta-analysis (eCAM 2020),https://europepmc.org/articles/PMC10717272; https://europepmc.org/articles/PMC7685822,.evimed-sources/PMC10717272/fulltext.md; .evimed-sources/PMC7685822/fulltext.md,"The overall quality of evidence was rated low because of the high risk of bias d | All the included researches did not describe allocation concealment, blinding of",verified-synthesized
CLM-022,11,ref11,full_text; full_text,synthesized,CDDP combined with PCI meta-analysis (eCAM 2020); CDDP early diabetic retinopathy trial (eCAM 2015),https://europepmc.org/articles/PMC7685822; https://europepmc.org/articles/PMC4592726,.evimed-sources/PMC7685822/fulltext.md; .evimed-sources/PMC4592726/fulltext.md,"In all studies, the dose of CDDP was 10 pills each time, three times a day by or | The treatment period was 3 months.",verified-synthesized
CLM-023,8,ref8,full_text; full_text,synthesized,Suxiao Jiuxin Pills CCS trial (BMC Complement Med Ther 2024); CDDP combined with PCI meta-analysis (eCAM 2020),https://europepmc.org/articles/PMC11451125; https://europepmc.org/articles/PMC7685822,.evimed-sources/PMC11451125/fulltext.md; .evimed-sources/PMC7685822/fulltext.md,"all participants were instructed to orally administer the study medication subli | In all studies, the dose of CDDP was 10 pills each time, three times a day by or",verified-synthesized
CLM-024,27,ref27,official_page; full_text,synthesized,Chest pain - NHS (official page); Suxiao Jiuxin Pill stable angina trial protocol (Trials 2021,https://www.nhs.uk/symptoms/chest-pain/; https://europepmc.org/articles/PMC8287819,.evimed-sources/official-pages/f60ccb4779eccff7/page.md; .evimed-sources/PMC8287819/fulltext.md,"You could be having a heart attack. Call 999 straight away as you need immediate | Participants will be randomized into two groups, conventional therapy plus SJP g",verified-synthesized
CLM-025,27,ref27,official-page:f60ccb4779eccff7,official_page,"Chest pain - NHS (official page, last reviewed 2023-08-08)",https://www.nhs.uk/symptoms/chest-pain/,.evimed-sources/official-pages/f60ccb4779eccff7/page.md,"Call 999 if:…you get sudden pain or discomfort in your chest that does not go away – the pain can feel like squeezing or pressure inside your chest, burning or indigestion…You could be having a heart ",verified
CLM-028,11,ref11,PMCID:PMC7685822,full_text,The Efficacy and Safety of Compound Danshen Dripping Pill Combined with PCI for Coronary Heart Disease (eCAM 2020),https://europepmc.org/articles/PMC7685822,.evimed-sources/PMC7685822/fulltext.md,Twenty eligible researches including 2574 sufferers were all published in Chinese databases from 2003 to 2019.,verified
CLM-030,12,ref12,PMCID:PMC4592726,full_text,Compound Danshen Dripping Pill for Treating Early Diabetic Retinopathy (eCAM 2015),https://europepmc.org/articles/PMC4592726,.evimed-sources/PMC4592726/fulltext.md,All the 57 type 2 diabetes cases in nonproliferative diabetic retinopathy (NPDR) stage were divided into two groups randomly: 28 cases treated with CDDP as the treated group and 29 cases treated with ,verified
CLM-031,18,ref18,PMCID:PMC9428755,full_text,The comparative effects of oral Chinese patent medicines combined with western medicine in stable angina: NMA of 179 trials (Front Pharmacol 2022),https://europepmc.org/articles/PMC9428755,.evimed-sources/PMC9428755/fulltext.md,"A total of 179 randomized controlled trials with 16,789 patients were included.…Finally, 179 published RCTs with 16,789 patients (9,620 reported male patients; 57.30%) were included in the current ana",verified
CLM-041,10,ref10,PMCID:PMC9088738,full_text,Efficacy of INtensive Treatment vs. Standard Treatment of COmpound Danshen Dripping Pill (INCODER) trial (protocol),https://europepmc.org/articles/PMC9088738,.evimed-sources/PMC9088738/fulltext.md,"Another systematic review analysis including 34,071 patients with CAD (including patients with angina pectoris and acute myocardial infarction) confirmed the benefits of CDDP in these patients ( 19 ).",verified
CLM-042,6,ref6,full_text; full_text; full_text,synthesized,"Huang X, Jiang J, Zhang J. Efficacy of Suxiao Jiuxin Pill on; Li C, et al. Compound Danshen Dripping Pill Combined with PC; The comparative effects of oral Chinese patent medicines com",https://europepmc.org/articles/PMC5892298; https://europepmc.org/articles/PMC7685822; https://europepmc.org/articles/PMC9428755,.evimed-sources/PMC5892298/fulltext.md; .evimed-sources/PMC7685822/fulltext.md; .evimed-sources/PMC9428755/fulltext.md,"Forty-one trials involving 6276 patients were included in our analysis. Administ | the combination therapy of CDDP and PCI treatment markedly reduced the incidence | A total of 179 randomized controlled trials with 16,789 patients were included.…",verified-synthesized
