claimId,referenceNumber,supportQuote,sourceTitle
CLM-001,3,"Twenty-nine studies were included for the statistical analysis. … The meta-analyses with the random-effect model indicated that CDDP could significantly increase the effective rate in symptom improvement compared with nitrates (Pooled 9 RCTs, OR = 1.95, 95% CI: 1.25–3.05, P = 0.003, duration of 4 weeks; Pooled 4 RCTs, OR = 3.45, 95% CI: 1.84–6.48, P = 0.0001, duration of 6 weeks; Pooled 13 RCTs, OR = 4.02, 95% CI: 2.14–7.57, P < 0.0001, duration of 8 weeks). … The meta-analyses with the random-effect model indicated that CDDP could significantly increase the effective rate in electrocardiogram improvement compared with nitrates (Pooled 5 RCTs, OR = 1.60, 95% CI: 1.02–2.52, P = 0.04, duration of 4 weeks; Pooled 3 RCTs, OR = 2.47, 95% CI: 1.60–3.82, P < 0.0001, duration of 6 weeks; Pooled 11 RCTs, OR = 3.43, 95% CI: 2.68–4.38, P < 0.00001, duration of 8 weeks). … The incidence of adverse drug reactions in the CDDP group was lower than that in the nitrates group (Pooled 23 RCTs, OR = 0.15, 95% CI: 0.1–0.21, P < 0.00001). … According to the instruction of CDDP, patients should take CDDP ten pills a time, and three times a day for at least 4 weeks. … After checking full-texts, 29 studies were finally included for the statistical analysis. … They involved 3,185 patients and were published between 1997 and 2013. … The duration of CDDP or nitrates ranged from 4 weeks to 12 weeks.",Compound danshen dripping pills vs. nitrates for stable angina pectoris: a systematic review and meta-analysis
CLM-002,5,"Forty-one trials involving 6276 patients were included in our analysis. Administration of suxiao jiuxin pill significantly improved electrocardiogram (ECG) results when compared with other therapies (RR 1.32, 95% CI 1.26 to 1.38, and P < 0.001). … The majority of the included studies received low Jadad scores due to the lack of a double-blind design ( Table 2 ). … However, there was significant heterogeneity between studies with respect to ECG results ( I 2 = 62.3%). … There was no significant difference in the adverse reaction rates between the treatment and the control groups (RR 1.12, 95% CI 0.50 to 2.51, and P = 0.785) … In this study, we did not analyze cardiovascular death or drug-related complications.",Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials
CLM-003,4,"SJP treatment (54 mg/kg) significantly reduced EF, FS, and LVID values 5–20 min after intraperitoneal injection and 10–20 min after intragastric gavage administration. … Sublingual administration of the Suxiao Jiuxin Pill provides rapid relief from angina ( Duan et al., 2008 ).",Suxiao Jiuxin Pill attenuates acute myocardial ischemia via regulation of coronary artery tone
CLM-004,4,"Indeed, SJP induced coronary artery relaxation via activation of the eNOS-NO pathway. Several of SJP’s main compounds, like senkyunolide A, scopoletin, and borneol, caused concentration-dependent coronary artery relaxation.",Suxiao Jiuxin Pill attenuates acute myocardial ischemia via regulation of coronary artery tone
CLM-005,6,"We employed Version 2 of the Cochrane risk-of-bias tool (ROB2) to assess the overall quality of the selected studies. … A total of 179 randomized controlled trials with 16,789 patients were included. … Overall, 11 OCPMs were included in our study, involving Fufang Danshen dripping pill (FFDS, 30 RCTs) … Suxiao Jiuxin pill (SXJX, 6 RCTs) … with the course of treatment ranging from two to 144 weeks. … Overall, the trials included in this network meta-analysis were rated as “some concerns”. … The results of global inconsistency did not indicate any significant difference for each of the two outcomes ( p = 0.077 and p = 0.081 for effective clinical rate and effective rate in ECG, respectively).",The comparative effects of oral Chinese patent medicines combined with western medicine in stable angina: A systematic review and network meta-analysis of 179 trials
CLM-006,6,"Overall, 11 OCPMs were included in our study, involving Fufang Danshen dripping pill (FFDS, 30 RCTs) … Suxiao Jiuxin pill (SXJX, 6 RCTs) … Based on the ranking probability of each level and SUCRA, QSYQ + WM had the highest effective rate (98.12%), followed by SXJX + WM (71.04%) and TXL + WM (68.40%), whereas WM alone obtained the worst effect (3.09%). … Based on the ranking probability of each level and SUCRA, QSYQ + WM had the highest effective rate (94.21%), followed by SXJX + WM (73.80%) and KXQW + WM (56.70%), whereas WM alone obtained the worst effect (5.63%).",The comparative effects of oral Chinese patent medicines combined with western medicine in stable angina: A systematic review and network meta-analysis of 179 trials
CLM-007,6,"In 81 patients treated with SXJX + WM, the incidences of mild abdominal discomfort, dizziness/headache, rash, and mild chest discomfort, were 2.47%, 17.28%, 7.41%, and 8.64%, separately, with a total adverse reaction rate of 35.80%. The incidence of ADRs in FFDS + WM groups (616 patients) was 7.79%",The comparative effects of oral Chinese patent medicines combined with western medicine in stable angina: A systematic review and network meta-analysis of 179 trials
CLM-008,7,"This network meta-analysis included 47 trials with 5,077 patients evaluating 11 interventions. … Fufang Danshen dripping pill combined with Std showed superiority over other interventions for relieving recurrence angina, which can reduce the risk by 83% (RR 0.17, 95% CI 0.04–0.51, very low to moderate certainty of evidence) compared to Std alone.",Comparative efficacy of different Chinese patent medicines in preventing restenosis after percutaneous coronary intervention: a systematic review and Bayesian network meta-analysis of randomized clinical trials
CLM-009,8,"A total of 174 CCS participants from eight clinical study centers in China were included in the modified intention-to-treat analyses. … Participants with CCS and intolerance to the adverse effects of long-acting nitrates were recruited and randomized to either the SJPs or the placebo group for a duration of 4 weeks. … Specifically, 60.9% of patients treated with SJPs achieved a 20-point or greater improvement in SAQ-SS, while only 39.1% (OR = 2.43, 95% confidence interval [CI] = 1.32 to 4.47, P = 0.004) of patients in the placebo group achieved the same level of improvement","Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study"
CLM-010,8,"According to the Chinese Pharmacopoeia, each pill of SJPs is required to contain a minimum of 15.0 μg of Ligusticum chuanxiong, expressed in terms of ferulic acid (C 10 H 10 O 4 ), and 2.9 to 4.4 mg of Borneolum syntheticum, expressed in terms of Borneol (C 10 H 18 O). … During the 4-week treatment period, all participants were instructed to orally administer the study medication sublingually after meals, three times a day, taking 5 capsules each time (total of 15 capsules per day), continuously for 4 weeks.",Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates
