claimId,referenceNumber,supportQuote
CLM-001,5,"Mannhart et al. conducted a study to evaluate the accuracy of five smart devices in detecting atrial fibrillation compared to a physician-interpreted 12-lead electrocardiogram. They prospectively analyzed 201 patients, among whom 62 had atrial fibrillation. The sensitivity and specificity for atrial fibrillation detection were similar across devices: 85% and 75% for the Apple Watch 6, 85% and 75% for the Samsung Galaxy Watch 3, 58% and 75% for the Withings Scanwatch, 66% and 79% for the Fitbit Sense, and 79% and 69% for the AliveCor KardiaMobile, respectively. In terms of patient preference, the Apple Watch ranked highest (preferred by 39% of participants) [ 59 ]."
CLM-002,5,"Racine et al. wanted to evaluate the precision of the Apple Watch ECG in detecting atrial fibrillation (AF) among 734 patients, of whom 21% were diagnosed with AF and had various ECG abnormalities in their study. Upon excluding unclassified ECGs from the analysis, the sensitivity was found to be 88% (95% CI 82–93%), and specificity was 98% (95% CI 97–99%). However, when unclassified ECGs were considered as false results, the sensitivity and specificity for AF detection were 69% (95% CI 61–76%) and 81% (95% CI 76–84%), respectively [ 60 ]."
CLM-003,5,"Dörr et al. utilized the photoplethysmography algorithm and discovered a sensitivity of 93.7% (95% CI: 89.8% to 96.4%), a specificity of 98.2% (95% CI: 95.8% to 99.4%), and an accuracy of 96.1% (95% CI: 94.0% to 97.5%) for detecting atrial fibrillation with a Samsung Gear Fit 2 [ 72 ]."
CLM-004,5,"Wyat et al. aimed to characterize the assessments of patients who seek medical attention after detecting an abnormal pulse using the Apple Watch. They conducted a retrospective analysis of patients evaluated for an abnormal pulse detected via the Apple Watch over a four-month period. Out of the 264 patients included in the study, clinical documentation explicitly noted an abnormal pulse alert in 41 patients (15.5%). Preexisting atrial fibrillation was identified in 58 patients (22.0%). Only 30 patients (11.4%) received a clinically actionable cardiovascular diagnosis of interest, with 6 out of 41 patients (15%) who received an explicit alert among them [ 66 ]."
CLM-005,6,"Abstract Background Significant morbidity, mortality, and financial burden are associated with cardiac rhythm abnormalities. Conventional investigative tools are often unsuccessful in detecting cardiac arrhythmias because of their episodic nature. Smartwatches have gained popularity in recent years as a health tool for the detection of cardiac rhythms. Objective This study aims to systematically review and meta-analyze the diagnostic accuracy of smartwatches in the detection of cardiac arrhythmias. Methods A systematic literature search of the Embase, MEDLINE, and Cochrane Library databases was performed in accordance with the PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) guidelines to identify studies reporting the use of a smartwatch for the detection of cardiac arrhythmia. Summary estimates of sensitivity, specificity, and area under the curve were attempted using a bivariate model for the diagnostic meta-analysis. Studies were examined for quality using the Quality Assessment of Diagnostic Accuracy Studies 2 tool. Results A total of 18 studies examining atrial fibrillation detection, bradyarrhythmias and tachyarrhythmias, and premature contractions were analyzed, measuring diagnostic accuracy in 424,371 subjects in total. The signals analyzed by smartwatches were based on photoplethysmography. The overall sensitivity, specificity, and accuracy of smartwatches for detecting cardiac arrhythmias were 100% (95% CI 0.99-1.00), 95% (95% CI 0.93-0.97), and 97% (95% CI 0.96-0.99), respectively. The pooled positive predictive value and negative predictive value for detecting cardiac arrhythmias were 85% (95% CI 0.79-0.90) and 100% (95% CI 1.0-1.0), respectively. Conclusions This review demonstrates the evolving field of digital disease detection. The current diagnostic accuracy of smartwatch technology for the detection of cardiac arrhythmias is high. Although the innovative drive of digital devices in health care will continue to gain momentum toward screening, the process of accurate evidence accrual and regulatory standards ready to accept their introduction is strongly needed. Trial Registration PROSPERO International Prospective Register of Systematic Reviews CRD42020213237; https://www.crd.york.ac.uk/prospero/display_record.php?RecordID=213237. Keywords: wearables, smartwatch, cardiac arrhythmia, atrial fibrillation, cardiology, mHealth, wearable devices, screening, diagnostics, accuracy"
CLM-006,6,"The diagnostic accuracy of the smartwatch in detecting cardiac arrhythmias was analyzed, reporting a pooled sensitivity of 100% (95% CI 0.99-1.00; Figure 2 ) in 17 studies with 5074 subjects and a pooled specificity of 95% (95% CI 0.93-0.97; Figure 3 ) in 16 studies with 5050 subjects. The sensitivity ranged from 25% (95% CI 0.14-0.36) to 100% (95% CI 1.00-1.00), whereas the specificity ranged from 68% (95% CI 0.65-0.70) to 100% (95% CI 1.00-1.00). … There was a high degree of variation between studies assessing cardiac arrhythmia detection using a smartwatch. The heterogeneity was statistically significant when all the studies were compared ( P <.05). The lowest variation among studies was seen when reporting the accuracy of smart devices to detect arrhythmias ( I 2 =81.1%), whereas heterogeneity was highest in studies when assessing PPV ( I 2 =98.5%)."
CLM-007,6,"Finally, for smartwatch devices to be used as a screening tool for cardiac arrhythmias, such as AF detection, the value is highly dependent on disease prevalence. The estimated prevalence of AF in adults is between 2% and 4%. The prevalence increases with age, especially for those aged >65 years [ 46 ]. However, only 4.6% of smartwatch users in the United States are aged >65 years, and among those that are current smartwatch users, the prevalence of AF is low [ 47 ]. The studies in this review used estimated disease prevalence rates, which have been age adjusted, when assessing diagnostic accuracy values. Subjects were not limited to age groups, and as a result, some studies overestimated AF prevalence among smartwatch users [ 19 , 22 ]. This means that the PPV value of 85% in our review may be higher than expected for cardiac arrhythmia detection in smartwatch users. Either way, there is a high number of false positives, which leads to unnecessary anxiety among those in whom the device detects AF and may have the downstream consequences of inappropriate initiation of treatment in these patients. Treatment with anticoagulants can cause bleeding, which may be harmful. False positives may improve if the device is targeted to those most at risk of AF, but larger studies are needed to evaluate smartwatches as a tool for long-term AF screening in selected at-risk patient groups."
CLM-008,7,"Atrial fibrillation is the most common persistent arrhythmia that affects 3% of people over 20 years of age, with greater prevalence in older persons ( 1 ). Atrial fibrillation is associated with increased mortality and morbidity, such as stroke or heart failure. Twenty–Thirty percentage of the strokes are caused by atrial fibrillation ( 2 ). The early detection of atrial fibrillation can significantly reduce the risk of stroke through preventive anticoagulation therapy ( 3 ). Undetected silent atrial fibrillation is common due to many people with missing symptoms ( 4 ). The diagnosis is often made after the first thromboembolic event ( 5 ). Because atrial fibrillation has a significant impact on the quality of life and is a major cause of health care expenditure, the introduction of screening programs has been considered ( 6 ). A study by Lowres et al. shows that a chronic form of atrial fibrillation was found in the course of screening programs in 2.3% of the in an average 64-year-old screening population. Previously undiagnosed atrial fibrillation was found in 1.4% of those over 65 years of age, while the majority of this group would benefit from anticoagulation to prevent stroke ( 7 ). Since paroxysmal atrial fibrillation is often overlooked by single measurements, there are concepts for long-term ECG monitoring that increase the sensitivity for the detection of short atrial fibrillation episodes ( 4 ). Holter-ECG and invasive heart monitoring significantly increase the detection rate for atrial fibrillation. Due to inconvenience, invasiveness or cost inefficiency, these screening methods are not applicable to everyone ( 8 ). Innovations in hardware and software development have opened new opportunities for cost-effective and convenient screening methods. A promising example is the screening for atrial fibrillation with smartwatches. These wearable devices could provide long-term, non-invasive, cost-effective and convenient ECG monitoring. The smartwatches are equipped with a photoplethysmography sensor that can record a tachogram with a built-in camera and an electrical sensor that can record a rhythm strip equivalent to a single lead ECG. The signals of the tachogram and the ECG-lead are analyzed and evaluated by an intelligent algorithm that can detect irregular heart rhythms, such as atrial fibrillation with high accuracy. The algorithm, based on photoplethysmography, detects irregular heart rhythms and notifies the users who have activated the function. To measure the electrocardiogram, the user must place his finger on the crown of the watch. The user is informed about the interpretation and the non-diagnostic nature of the results before the measurement. The algorithm has a sensitivity of >98% and a specificity of >99% to classify the results as sinus rhythm, atrial fibrillation, or not conclusive ( 9 ). In 2019 Perez et al. carried out the Apple heart study. Over 400.000 study participants were screened for atrial fibrillation using the Apple watch. The study showed that 84% of the notifications that the users received matched atrial fibrillation. Fifty seven percentage of the notified patients contacted healthcare providers outside of the study ( 10 ). Apple's algorithm for the detection of atrial fibrillation was the first one to be approved for the consumer market by the US Food and Drug Administration ( 11 ). Atrial fibrillation screening using smartwatches has not been included in the clinical guidelines but could become a reality soon."
CLM-009,7,"The studies that evaluated the accuracy of the algorithm for detecting atrial fibrillation were not representative. The participants of the Apple heart study were on average 41 years old and 68% were white ( 10 ). If the algorithms for the detection of atrial fibrillation are not trained and evaluated for a representative group, minorities could not benefit from screening programs due to a lack of algorithmic accuracy and evidence. This could lead to discrimination against ethnic minorities and aggravation of health disparities ( 33 )."
CLM-010,7,"Screening for atrial fibrillation with smartwatches hypothesizes that early detection would prevent adverse events, such as stroke, by treating with anticoagulants ( 13 ). As with any screening program, screening for atrial fibrillation will harm a part of the screening population. False-positive notifications create stress and anxiety for the misdiagnosed person. Follow-up diagnostics, for example with implantable devices and possible treatment with anticoagulants, will decrease the quality of life and can lead to dangerous events, such as iatrogenic bleeding. Although the specificity of the algorithm used by the Apple smartwatch is very high, many people have still been notified of arrhythmia without having atrial fibrillation ( 10 ). It is also important to note that the prevalence of atrial fibrillation is higher in the older population. In the USA only 4,6% of smartwatch users are older than 65 years ( 14 ). This results in a higher number needed to screen and a smaller positive predictive value with a higher potential for unnecessary diagnostics and treatment ( 15 ). Studies show that nearly 1 million per 10 million people screened would get a false-positive result ( 16 ). While unselected screening appears to be ineffective in the general population, systematic opportunistic screening for patients with a high probability of atrial fibrillation could be a cost-effective use of resources ( 17 ). Manish et al. note that the relationship between atrial fibrillation and stroke is not well-enough understood to screen and treat for it. There is still little evidence whether patients with subclinical atrial fibrillation should receive anticoagulation ( 18 ). The U.S. Preventive Services Task Force stated that the current evidence is inadequate to determine the potential harm of unnecessary follow-up diagnostic and treatment caused by ECG screening ( 19 ). The principle of non-maleficence is violated regarding screening."
