pmid,title,year,journal,authors,institutions,countries,keywords,doi
42285472,"Clozapine and obsessive-compulsive symptoms: Integrating clinical outcomes, mechanisms, and precision psychiatry approaches.",2026,Progress in neuro-psychopharmacology & biological psychiatry,Gürcan Gamze; Sılay Ravza Zeynep,TOBB University of Economics and Technology,Turkey,Clozapine; Obsessive-compulsive disorder; Obsessive-compulsive symptoms; Schizophrenia,10.1016/j.pnpbp.2026.111783
41528499,Trimesters induced changes in pharmacokinetic parameters of antipsychotics.,2026,Archives of women's mental health,Adhayanti Ida; Robiyanto Robiyanto; Bahar Muh Akbar; Wahyudin Elly,,,Antipsychotic pharmacokinetics; CYP450 enzymes; Dose adjustment; Maternal-fetal safety; Antipsychotic Agents; pharmacokinetics; therapeutic use; Biological Availability; Pregnancy Complications; drug therapy; Pregnancy Trimesters,10.1007/s00737-025-01665-z
41083916,SARS-CoV-2 vaccination and plasma levels of psychotropic agents: a prospective cohort study.,2025,Expert opinion on drug metabolism & toxicology,Ferrea Stefano; Kuzo Nazar; Giupponi Giancarlo; Messina Ester; Raponi Agnese; Paulzen Michael; Hiemke Christoph; Conca Andreas; Schoretsanitis Georgios,The Hofstra Northwell School of Medicine; University Medical Center of Mainz; Alexianer Centre for Mental Health Aachen/Gangelt; Hospital of Psychiatry; The Zucker Hillside Hospital; RWTH Aachen University,United States; Germany; Switzerland; Italy,Psychotropic medications; SARS-CoV-2; inflammatory reactions; pharmacokinetics; psychopharmacology; therapeutic drug monitoring; vaccination; Psychotropic Drugs; blood; administration & dosage; therapeutic use; COVID-19; prevention & control; COVID-19 Vaccines; Mental Disorders; drug therapy; Antipsychotic Agents; C-Reactive Protein; metabolism,10.1080/17425255.2025.2575386
41034820,"Single- and multiple-dose pharmacokinetics, safety, and tolerability of Aripiprazole once-monthly, long-acting intramuscular injection for Chinese adults with schizophrenia.",2025,BMC psychiatry,Dong Fang; Wang Feifei; Yuan Xiaofei; Zhai Yimin; Uki Motomichi; Jiang Tao; Li Anning,Capital Medical University; The National Clinical Research Center for Mental Disorders and Beijing Key Laboratory of Mental Disorders and Beijing Institute for Brain Disorders Center of Schizophrenia,China; Japan,"Aripiprazole; Aripiprazole once-monthly (AOM); Long-acting intramuscular injection; pharmacokinetics; Safety; Schizophrenia; Tolerability; drug therapy; administration & dosage; adverse effects; blood; Antipsychotic Agents; Injections, Intramuscular; Delayed-Action Preparations; Drug Administration Schedule; Dose-Response Relationship, Drug; East Asian People",10.1186/s12888-025-07407-w
40592790,[Determination of six psychotropic drug metabolites in human plasma by LC-MS/MS method].,2025,Zhonghua lao dong wei sheng zhi ye bing za zhi = Zhonghua laodong weisheng zhiyebing zazhi = Chinese journal of industrial hygiene and occupational diseases,Cui Y X; Li H L; Yu Y; Ma J; Zhou B; Dong F,Beijing Chaoyang Hospital,China,"Blood drug concentration; Chromatography, Liquid; Drug poisoning; Psychotropic drug metabolites; Tandem Mass Spectrometry; methods; Psychotropic Drugs; blood; metabolism; Liquid Chromatography-Mass Spectrometry",10.3760/cma.j.cn121094-20240207-00053
39789135,Influence of ABCB1 polymorphisms on aripiprazole and dehydroaripiprazole plasma concentrations.,2025,Scientific reports,Toja-Camba Francisco José; Vidal-Millares María; Durán-Maseda María José; Hermelo-Vidal Gonzalo; Carracedo Ángel; Maroñas Olalla; Ramudo-Cela Luis; Zarra-Ferro Irene; Fernández-Ferreiro Anxo; Mondelo-García Cristina,Carlos III Health Institute; Hospital Pharmacy Research Group; University Clinical Hospital of Santiago de Compostela (SERGAS); Health Research Institute of Santiago de Compostela (IDIS); Foundation of Health Research Institute of Santiago de Compostela (FIDIS); University Clinical Hospital A Coruña (CHUAC); Galician Foundation of Genomic Medicine; University Clinical Hospital of Santiago de Compostela; University of Santiago de Compostela (USC),Spain,"Aripiprazole; Dehydroaripiprazole; P-glycoprotein; Pharmacogenetics; pharmacokinetics; blood; ATP Binding Cassette Transporter, Subfamily B; genetics; Polymorphism, Single Nucleotide; Antipsychotic Agents; Cytochrome P-450 CYP3A; metabolism; Genotype; Cytochrome P-450 CYP2D6; Piperazines; Quinolones",10.1038/s41598-024-84192-8
39324399,Verification of successful maintenance by serum drug level during a guided antipsychotic reduction to reach minimum effective dose (GARMED) trial.,2024,Psychological medicine,Liu Chun-I; Liu Chih-Min; Chiu Huai-Hsuan; Chuang Chia-Chi; Hwang Tzung-Jeng; Hsieh Ming H; Chien Yi-Ling; Lin Yi-Ting; Yen Ko; Liu Chen-Chung,National Taiwan University Hospital; National Taiwan University,Taiwan,Aripiprazole; concentration; dose tapering; minimum effective dose; Schizophrenia; therapeutic drug monitoring,10.1017/S0033291724002356
38761044,Evidence for Therapeutic Drug Monitoring of Atypical Antipsychotics.,2024,Prague medical report,Krejčí Veronika; Murínová Irena; Slanař Ondřej; Šíma Martin,Charles University and General University Hospital in Prague; Masaryk University; Military University Hospital Prague,Czech Republic,Aripiprazole; Olanzapine; Personalised medicine; pharmacokinetics; Quetiapine; Risperidone; Drug Monitoring; methods; Antipsychotic Agents; therapeutic use; Schizophrenia; drug therapy,10.14712/23362936.2024.10
38648661,Retrospective Analysis of Steady-State Sodium Valproate Plasma Concentrations in Chinese Patients With Bipolar Disorder: Impact of Demographic and Clinical Characteristics.,2024,Therapeutic drug monitoring,Qiming Qian; Ping Zheng; Huiqi Li; Leyu Xu; LIren Li; Ming Lei,Clinical Pharmacy Center; Nanfang Hospital,China,"Anticonvulsants; therapeutic use; blood; pharmacokinetics; Antimanic Agents; Antipsychotic Agents; Bipolar Disorder; drug therapy; Dose-Response Relationship, Drug; East Asian People; Valproic Acid",10.1097/FTD.0000000000001199
38258114,Towards Precision Medicine in Clinical Practice: Alinity C vs. UHPLC-MS/MS in Plasma Aripiprazole Determination.,2024,Pharmaceutics,Toja-Camba Francisco José; Bandín-Vilar Enrique; Hermelo-Vidal Gonzalo; Feitosa-Medeiros Carolina; Cañizo-Outeiriño Antonio; Castro-Balado Ana; Varela-Rey Iria; Zarra-Ferro Irene; Fernández-Ferreiro Anxo; Mondelo-García Cristina,Health Research Institute of Santiago de Compostela (IDIS); University Clinical Hospital of Santiago de Compostela (SERGAS); University of Santiago de Compostela,Spain,Alinity C; TDM; UHPLC-MS/MS; Aripiprazole; monitoring,10.3390/pharmaceutics16010104
