source,target,weight,source_freq,target_freq
Antipsychotic Agents,Aripiprazole,37,54,46
Antipsychotic Agents,drug therapy,32,54,34
Antipsychotic Agents,blood,31,54,40
Antipsychotic Agents,pharmacokinetics,28,54,32
Aripiprazole,blood,28,46,40
Antipsychotic Agents,therapeutic use,27,54,27
Aripiprazole,Piperazines,26,46,26
Aripiprazole,Quinolones,25,46,25
Piperazines,Quinolones,25,26,25
Aripiprazole,drug therapy,23,46,34
Aripiprazole,pharmacokinetics,23,46,32
Antipsychotic Agents,Drug Monitoring,23,54,26
blood,drug therapy,22,40,34
drug therapy,therapeutic use,22,34,27
drug therapy,pharmacokinetics,21,34,32
Antipsychotic Agents,Piperazines,21,54,26
Antipsychotic Agents,Schizophrenia,20,54,24
Antipsychotic Agents,Quinolones,20,54,25
Schizophrenia,drug therapy,20,24,34
Aripiprazole,Schizophrenia,19,46,24
Piperazines,blood,17,26,40
blood,pharmacokinetics,17,40,32
pharmacokinetics,therapeutic use,16,32,27
Aripiprazole,therapeutic use,16,46,27
Quinolones,blood,16,25,40
blood,therapeutic use,15,40,27
Antipsychotic Agents,methods,15,54,22
Piperazines,pharmacokinetics,15,26,32
blood,metabolism,15,40,18
Quinolones,pharmacokinetics,15,25,32
Piperazines,drug therapy,14,26,34
Antipsychotic Agents,metabolism,14,54,18
blood,methods,14,40,22
Quinolones,drug therapy,14,25,34
Drug Monitoring,blood,14,26,40
Drug Monitoring,methods,14,26,22
Aripiprazole,Drug Monitoring,14,46,26
Aripiprazole,methods,14,46,22
Schizophrenia,therapeutic use,13,24,27
Aripiprazole,metabolism,13,46,18
Schizophrenia,blood,12,24,40
Aripiprazole,Risperidone,11,46,11
Drug Monitoring,pharmacokinetics,11,26,32
Antipsychotic Agents,"Dose-Response Relationship, Drug",11,54,12
Drug Monitoring,drug therapy,11,26,34
Drug Monitoring,therapeutic use,11,26,27
Antipsychotic Agents,adverse effects,11,54,11
Schizophrenia,pharmacokinetics,11,24,32
Piperazines,metabolism,10,26,18
Quinolones,metabolism,10,25,18
Quinolones,Schizophrenia,10,25,24
Antipsychotic Agents,administration & dosage,10,54,11
administration & dosage,drug therapy,10,11,34
Piperazines,Schizophrenia,10,26,24
Quinolones,therapeutic use,10,25,27
Piperazines,therapeutic use,10,26,27
Antipsychotic Agents,therapeutic drug monitoring,9,54,11
"Dose-Response Relationship, Drug",pharmacokinetics,9,12,32
administration & dosage,pharmacokinetics,9,11,32
"Dose-Response Relationship, Drug",drug therapy,9,12,34
Antipsychotic Agents,Risperidone,9,54,11
Aripiprazole,administration & dosage,9,46,11
Piperazines,methods,9,26,22
drug therapy,metabolism,9,34,18
Antipsychotic Agents,Olanzapine,9,54,9
metabolism,pharmacokinetics,9,18,32
Aripiprazole,Tandem Mass Spectrometry,8,46,11
Aripiprazole,Olanzapine,8,46,9
Antipsychotic Agents,Benzodiazepines,8,54,8
methods,pharmacokinetics,8,22,32
chemistry,methods,8,9,22
Tandem Mass Spectrometry,methods,8,11,22
Tandem Mass Spectrometry,blood,8,11,40
adverse effects,drug therapy,8,11,34
Drug Monitoring,Piperazines,8,26,26
Quinolones,methods,8,25,22
Reproducibility of Results,methods,8,8,22
Aripiprazole,adverse effects,8,46,11
metabolism,therapeutic use,8,18,27
adverse effects,pharmacokinetics,8,11,32
Cytochrome P-450 CYP2D6,Piperazines,7,7,26
Schizophrenia,metabolism,7,24,18
"Dose-Response Relationship, Drug",blood,7,12,40
Aripiprazole,Benzodiazepines,7,46,8
Piperazines,administration & dosage,7,26,11
Aripiprazole,"Dose-Response Relationship, Drug",7,46,12
Antipsychotic Agents,Cytochrome P-450 CYP2D6,7,54,7
"Chromatography, High Pressure Liquid",blood,7,8,40
blood,chemistry,7,40,9
"Dose-Response Relationship, Drug",administration & dosage,7,12,11
Quinolones,administration & dosage,7,25,11
Drug Monitoring,Quinolones,7,26,25
Aripiprazole,Cytochrome P-450 CYP2D6,7,46,7
Benzodiazepines,Olanzapine,7,8,9
drug therapy,methods,7,34,22
Antipsychotic Agents,Tandem Mass Spectrometry,7,54,11
"Chromatography, High Pressure Liquid",methods,7,8,22
Cytochrome P-450 CYP2D6,Quinolones,7,7,25
"Chromatography, High Pressure Liquid",Drug Monitoring,6,8,26
Aripiprazole,genetics,6,46,6
Aripiprazole,"Chromatography, High Pressure Liquid",6,46,8
pharmacokinetics,pharmacology,6,32,7
Olanzapine,drug therapy,6,9,34
Risperidone,blood,6,11,40
administration & dosage,blood,6,11,40
Drug Monitoring,therapeutic drug monitoring,6,26,11
Antipsychotic Agents,genetics,6,54,6
Drug Interactions,pharmacokinetics,6,6,32
"Chromatography, High Pressure Liquid",Reproducibility of Results,6,8,8
Tandem Mass Spectrometry,chemistry,6,11,9
Olanzapine,Risperidone,6,9,11
Quinolones,Reproducibility of Results,6,25,8
Olanzapine,Schizophrenia,6,9,24
Schizophrenia,adverse effects,6,24,11
Piperazines,genetics,6,26,6
Quinolones,genetics,6,25,6
"Dose-Response Relationship, Drug",Drug Monitoring,6,12,26
Drug Monitoring,Schizophrenia,6,26,24
Piperazines,Reproducibility of Results,6,26,8
Aripiprazole,therapeutic drug monitoring,6,46,11
Reproducibility of Results,blood,6,8,40
Aripiprazole,pharmacology,6,46,7
Aripiprazole,Reproducibility of Results,6,46,8
"Chromatography, Liquid",Tandem Mass Spectrometry,6,7,11
adverse effects,blood,6,11,40
Genotype,genetics,5,5,6
Genotype,Piperazines,5,5,26
Antipsychotic Agents,Genotype,5,54,5
Piperazines,Tandem Mass Spectrometry,5,26,11
therapeutic drug monitoring,therapeutic use,5,11,27
"Dose-Response Relationship, Drug",Piperazines,5,12,26
"Dose-Response Relationship, Drug",Quinolones,5,12,25
Cytochrome P-450 CYP2D6,genetics,5,7,6
Cytochrome P-450 CYP2D6,Genotype,5,7,5
Genotype,Quinolones,5,5,25
Antipsychotic Agents,antipsychotics,5,54,7
Antipsychotic Agents,Asian People,5,54,5
"Dose-Response Relationship, Drug",Schizophrenia,5,12,24
Drug Monitoring,Risperidone,5,26,11
Olanzapine,blood,5,9,40
Aripiprazole,Asian People,5,46,5
Asian People,Piperazines,5,5,26
Antipsychotic Agents,Mental Disorders,5,54,5
Mental Disorders,drug therapy,5,5,34
Asian People,Quinolones,5,5,25
Asian People,Schizophrenia,5,5,24
Drug Monitoring,administration & dosage,5,26,11
Risperidone,drug therapy,5,11,34
methods,therapeutic use,5,22,27
Aripiprazole,chemistry,5,46,9
pharmacokinetics,therapeutic drug monitoring,5,32,11
Schizophrenia,methods,5,24,22
Piperazines,pharmacology,5,26,7
Antipsychotic Agents,pharmacology,5,54,7
blood,therapeutic drug monitoring,5,40,11
Antipsychotic Agents,chemistry,5,54,9
Aripiprazole,Haloperidol,5,46,5
Benzodiazepines,Risperidone,5,8,11
"Dose-Response Relationship, Drug",therapeutic use,5,12,27
Asian People,drug therapy,5,5,34
Aripiprazole,antipsychotics,5,46,7
Drug Interactions,drug therapy,5,6,34
metabolism,methods,5,18,22
Olanzapine,therapeutic use,5,9,27
"Chromatography, High Pressure Liquid",Piperazines,5,8,26
Schizophrenia,administration & dosage,5,24,11
Risperidone,pharmacokinetics,5,11,32
Reproducibility of Results,chemistry,5,8,9
Antipsychotic Agents,Haloperidol,5,54,5
Drug Monitoring,metabolism,5,26,18
Antipsychotic Agents,"Chromatography, Liquid",5,54,7
Quinolones,pharmacology,5,25,7
Cytochrome P-450 CYP2D6,metabolism,5,7,18
Risperidone,therapeutic use,5,11,27
Aripiprazole,Genotype,5,46,5
Drug Monitoring,Olanzapine,4,26,9
Reproducibility of Results,Sensitivity and Specificity,4,8,4
Olanzapine,methods,4,9,22
Antipsychotic Agents,Drug Interactions,4,54,6
Aripiprazole,Sensitivity and Specificity,4,46,4
Reproducibility of Results,Tandem Mass Spectrometry,4,8,11
Cytochrome P-450 CYP2D6,therapeutic use,4,7,27
Drug Monitoring,Reproducibility of Results,4,26,8
Piperazines,chemistry,4,26,9
adverse effects,therapeutic use,4,11,27
