institutions,count
University of the Ryukyus,6
RWTH Aachen University,4
The Zucker Hillside Hospital,3
University Clinical Hospital of Santiago de Compostela (SERGAS),3
University Medical Center of Mainz,2
Health Research Institute of Santiago de Compostela (IDIS),2
Galician Foundation of Genomic Medicine,2
University of Santiago de Compostela,2
Erasmus University Medical Center,2
University of Regensburg,2
Alexianer Hospital Aachen,2
University of Milan,2
National Health Service,2
University of Mainz,2
TOBB University of Economics and Technology,1
The Hofstra Northwell School of Medicine,1
Alexianer Centre for Mental Health Aachen/Gangelt,1
Hospital of Psychiatry,1
Capital Medical University,1
The National Clinical Research Center for Mental Disorders and Beijing Key Laboratory of Mental Disorders and Beijing Institute for Brain Disorders Center of Schizophrenia,1
