journal,count
Therapeutic drug monitoring,17
Clinical pharmacokinetics,4
Journal of clinical psychopharmacology,3
Biomedical chromatography : BMC,3
BMC psychiatry,2
Pharmaceutics,2
British journal of clinical pharmacology,2
The world journal of biological psychiatry : the official journal of the World Federation of Societies of Biological Psychiatry,2
Journal of pharmaceutical and biomedical analysis,2
Progress in neuro-psychopharmacology & biological psychiatry,1
Archives of women's mental health,1
Expert opinion on drug metabolism & toxicology,1
Zhonghua lao dong wei sheng zhi ye bing za zhi = Zhonghua laodong weisheng zhiyebing zazhi = Chinese journal of industrial hygiene and occupational diseases,1
Scientific reports,1
Psychological medicine,1
Prague medical report,1
Neuropsychiatric disease and treatment,1
Basic & clinical pharmacology & toxicology,1
Journal of child and adolescent psychopharmacology,1
Revista de psiquiatria y salud mental,1
