keywords_merged,count
Antipsychotic Agents,54
Aripiprazole,46
blood,40
drug therapy,34
pharmacokinetics,32
therapeutic use,27
Piperazines,26
Drug Monitoring,26
Quinolones,25
Schizophrenia,24
methods,22
metabolism,18
"Dose-Response Relationship, Drug",12
therapeutic drug monitoring,11
administration & dosage,11
adverse effects,11
Tandem Mass Spectrometry,11
Risperidone,11
Olanzapine,9
chemistry,9
Benzodiazepines,8
"Chromatography, High Pressure Liquid",8
Reproducibility of Results,8
"Chromatography, Liquid",7
Cytochrome P-450 CYP2D6,7
antipsychotics,7
pharmacology,7
genetics,6
Drug Interactions,6
Clozapine,5
