id	label	x	y	cluster	weight<Occurrences>	weight<Total link strength>
1	Piperazines	-0.161147	0.011232	1	26	273
2	drug therapy	0.108577	-0.059500	1	34	305
3	Risperidone	0.402523	-0.056954	3	11	101
4	metabolism	-0.264219	0.104845	1	18	169
5	Positron-Emission Tomography	0.440749	0.672723	3	3	33
6	Drug Therapy, Combination	-0.662534	0.040212	1	3	31
7	therapeutic use	0.026363	-0.184648	1	27	235
8	therapeutic drug monitoring	0.044999	-0.396927	2	11	74
9	pharmacokinetics	-0.102797	-0.164528	1	32	281
10	Antidepressive Agents	-0.227852	-0.698995	2	4	27
11	Quetiapine Fumarate	0.726785	-0.219081	3	3	39
12	Aripiprazole	-0.003059	0.025336	1	46	413
13	Cytochrome P-450 CYP3A	-0.595892	0.530731	1	3	35
14	Quinolones	-0.209170	-0.067317	1	25	261
15	Drug Stability	-0.681917	-0.282264	2	4	42
16	East Asian People	0.392116	-0.870493	1	4	26
17	blood	-0.077043	0.070029	2	40	349
18	chemistry	-0.128488	0.541182	2	9	84
19	Clozapine	0.259359	-0.468584	3	5	48
20	Limit of Detection	0.678035	0.392138	2	3	32
21	Sensitivity and Specificity	-0.763946	0.498782	2	4	42
22	Genotype	-0.709745	-0.160250	1	5	55
23	Dose-Response Relationship, Drug	0.291197	0.054901	1	12	105
24	Receptors, Dopamine D2	0.144053	0.902143	3	3	26
25	Antipsychotic Agents	0.023789	-0.051914	1	54	448
26	Antipsychotic	1.000000	0.061083	1	3	20
27	methods	-0.024997	0.241340	2	22	195
28	antipsychotics	0.231425	0.527864	2	7	42
29	Psychotropic Drugs	-0.827566	0.263723	2	4	30
30	adverse effects	-0.080146	-0.377090	1	11	102
31	Asian People	-0.367423	-0.412269	1	5	62
32	Mental Disorders	0.505284	-0.209538	1	5	47
33	Reproducibility of Results	-0.383998	0.338778	2	8	85
34	analysis	-0.348552	0.680215	2	4	40
35	Chromatography, High Pressure Liquid	-0.270553	0.446980	2	8	79
36	administration & dosage	0.253387	-0.241103	1	11	110
37	Schizophrenia	0.162530	-0.147014	1	24	212
38	Drug Monitoring	0.070939	0.138440	2	26	213
39	genetics	-0.488740	-0.467003	1	6	65
40	Paliperidone Palmitate	0.520393	-0.341805	3	4	49
41	Benzodiazepines	0.495560	0.101939	3	8	86
42	Drug Interactions	0.020095	-0.664194	1	6	56
43	Cytochrome P-450 CYP2D6	-0.498187	-0.228103	1	7	75
44	Olanzapine	0.357391	0.202149	3	9	98
45	pharmacology	0.336950	-0.506681	1	7	63
46	Chromatography, Liquid	-0.461065	0.148968	2	7	63
47	Haloperidol	0.427951	0.340114	3	5	50
48	drug effects	0.545719	0.438743	3	4	42
49	Tandem Mass Spectrometry	-0.048232	0.386575	2	11	101
50	Prolactin	-0.078903	-0.884911	3	3	27
