pmid,title,year,journal,authors,institutions,countries,keywords,doi
42515809,Twenty-Year Trends in Antipsychotic Utilization in Serbia: A Nationwide Drug Utilization Study.,2026,"Pharmaceuticals (Basel, Switzerland)",Pavlovic Zorana; Stevanovic Milena; Milic Marija; Filimonovic Jelena; Matejić Bojana; Bogdanovic Mladen; Vukajlovic Ivana; Krstić Aleksandar; Milenović Miodrag; Dunjić Kostić Bojana,University of Belgrade; National Center for Drug and Medical Information; University Clinical Center of Serbia; Emergency Center; University of Pristina Temporarily Settled in Kosovska Mitrovica,,antipsychotic drugs; atypical antipsychotics; typical antipsychotics; utilization,10.3390/ph19071128
42129067,Diagnosis and Medication Treatment of Schizophrenia in Adolescents.,2026,Drugs,Findling Robert L; Shah Dimal; Prajapati Parna; Cordrey Evan; Nichols Manuel; Stepanova Ekaterina,Virginia Commonwealth University; University of Virginia,United States,Antipsychotic Agents; therapeutic use; adverse effects; Schizophrenia; drug therapy; diagnosis,10.1007/s40265-026-02332-y
41017289,Association of Atypical Antipsychotics With Lipid Abnormalities in Adult Patients With Schizophrenia: A Scoping Review.,2025,Neuropsychopharmacology reports,Abavana Virginia; Sadiq Soban,Kent and Medway Medical School,United Kingdom,atypical antipsychotics; dyslipidaemia; pharmacogenetics; Schizophrenia; single nucleotide polymorphism; drug therapy; blood; Antipsychotic Agents; adverse effects; therapeutic use; Dyslipidemias; chemically induced,10.1002/npr2.70042
40830714,Patterns of Serum Prolactin Elevation Associated with Nine Second-Generation Antipsychotics in a Large Cohort of Patients with Schizophrenia.,2025,CNS drugs,Zhang Lei; Zheng Yuzhen; Huang Jingjing; Yu Wenjuan; Zhou Lihong; He Luyao; Li Yange; Hu Hao; Li Guanjun; Shen Yifeng; Zhang Jianping; Li Huafang,Shanghai Mental Health Center; Shanghai Pudong New Area Mental Health Center; First Affiliated Hospital of Zhengzhou University; Shanghai Clinical Research Center for Mental Health; Weill Cornell Medical College,China; United States,"Antipsychotic Agents; adverse effects; administration & dosage; therapeutic use; Schizophrenia; drug therapy; blood; Prolactin; Dose-Response Relationship, Drug",10.1007/s40263-025-01216-1
40699529,Strategies for Switching between Oral Postsynaptic Antidopaminergic Antipsychotics in Patients with Schizophrenia: A Systematic Review.,2025,CNS drugs,Correll Christoph U,German Center for Mental Health (DZPG); Zucker School of Medicine at Hofstra/Northwell; The Zucker Hillside Hospital,Germany; United States,"Antipsychotic Agents; administration & dosage; pharmacokinetics; therapeutic use; pharmacology; Schizophrenia; drug therapy; Administration, Oral; Drug Substitution; methods",10.1007/s40263-025-01206-3
40412293,"Comparative mortality risk of antipsychotics in 41,695 patients with schizophrenia: an 11-year population-based cohort study in Hong Kong.",2025,European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology,Fang Catherine Zhiqian; Chan Joe Kwun-Nam; Solmi Marco; Wong Corine Sau-Man; Lui Simon Sai-Yu; Correll ChristophU; Chang Wing-Chung,University of Hong Kong; University of Ottawa; Donald and Barbara Zucker School of Medicine at Hofstra/Northwell,Germany; United States,Antipsychotics; Clozapine; Electronic health record; Long-acting injectables; Mortality; Schizophrenia; Antipsychotic Agents; adverse effects; therapeutic use; drug therapy; Hong Kong; epidemiology; Perphenazine,10.1016/j.euroneuro.2025.05.003
40304505,Standardization challenges in antipsychotic drug monitoring: insights from a national survey in Chinese TDM practices.,2025,Clinical chemistry and laboratory medicine,Zhou Weiyan; Zeng Jie; Zhang Linhui; Zhang Jiangtao; Deng Yuhang; Zhang Qianwen; Deng Haoyu; Wang Jing; Zhao Haijian; Zhang Chuanbao; Chen Wenxiang; Ma Jie,Beijing Hospital; National Center of Gerontology; Key Laboratory of Digital Technology in Medical Diagnostics of Zhejiang Province,China,"Antipsychotics; external quality assessment (EQA); liquid chromatography-tandem mass spectrometry (LC-MS/MS); standardization; therapeutic drug monitoring (TDM); Antipsychotic Agents; blood; standards; Chromatography, High Pressure Liquid; Chromatography, Liquid; Drug Monitoring; Quality Control; Surveys and Questionnaires; Tandem Mass Spectrometry",10.1515/cclm-2025-0186
39962354,Potential risk analysis of antipsychotics-related constipation from the FDA Adverse Event Reporting System.,2026,Expert opinion on drug safety,He Sidi; Li Chuanwei,Suzhou Guangji Hospital,China,"Antipsychotics; FAERS; Reporting odds ratio (ROR); confidence intervals (CIs); constipation; Antipsychotic Agents; adverse effects; administration & dosage; chemically induced; epidemiology; Adverse Drug Reaction Reporting Systems; statistics & numerical data; United States Food and Drug Administration; Risk Assessment; Databases, Factual",10.1080/14740338.2025.2468857
39077630,Increased antipsychotic drug concentration in hospitalized patients with mental disorders following COVID-19 infection: a call for attention.,2024,Frontiers in psychiatry,Yang Rui; Wan Jin-Ling; Pi Chen-Qi; Wang Tian-Hui; Zhu Xue-Quan; Zhou Shuang-Jiang,Beijing Anding Hospital; Beijing HuiLongGuan Hospital; s Hospital; Zhangjiakou Shalingzi Hospital,China,antipsychotic concentration; Clozapine; coronavirus disease-2019; mental disorder; therapeutic drug monitoring,10.3389/fpsyt.2024.1421370
38897716,Comparative physiological effects of antipsychotic drugs in children and young people: a network meta-analysis.,2024,The Lancet. Child & adolescent health,Rogdaki Maria; McCutcheon Robert A; D'Ambrosio Enrico; Mancini Valentina; Watson Cameron J; Fanshawe Jack B; Carr Richard; Telesia Laurence; Martini Maria Giulia; Philip Aaron; Gilbert Barnabas J; Salazar-de-Pablo Gonzalo; Kyriakopoulos Marinos; Siskind Dan; Correll Christoph U; Cipriani Andrea; Efthimiou Orestis; Howes Oliver D; Pillinger Toby,University of Oxford; Medical Research Council London Institute of Medical Sciences; National Health Service; Institute of Psychiatry; Zucker School of Medicine; University of Queensland,United Kingdom; United States; Australia,Antipsychotic Agents; therapeutic use; Mental Disorders; drug therapy; Heart Rate; drug effects; Blood Pressure,10.1016/S2352-4642(24)00098-1
