source,target,weight,source_freq,target_freq
Antipsychotic Agents,therapeutic use,19,34,19
Antipsychotic Agents,adverse effects,16,34,16
Antipsychotic Agents,drug therapy,14,34,14
Antipsychotic Agents,Drug Monitoring,13,34,13
drug therapy,therapeutic use,13,14,19
Antipsychotic Agents,blood,11,34,11
Antipsychotic Agents,Tandem Mass Spectrometry,11,34,11
Antipsychotic Agents,Schizophrenia,10,34,10
adverse effects,therapeutic use,10,16,19
Schizophrenia,therapeutic use,10,10,19
Schizophrenia,drug therapy,10,10,14
Antipsychotic Agents,Antipsychotics,9,34,10
Antipsychotic Agents,Clozapine,9,34,10
Tandem Mass Spectrometry,blood,8,11,11
adverse effects,drug therapy,8,16,14
Antipsychotic Agents,pharmacokinetics,8,34,8
Antipsychotic Agents,methods,8,34,8
Schizophrenia,adverse effects,7,10,16
Antipsychotic Agents,Risperidone,7,34,7
Antipsychotic Agents,therapeutic drug monitoring,7,34,8
Drug Monitoring,Tandem Mass Spectrometry,7,13,11
Antipsychotic Agents,Aripiprazole,6,34,6
Drug Monitoring,therapeutic use,6,13,19
Clozapine,Risperidone,6,10,7
Clozapine,Olanzapine,6,10,6
Olanzapine,Risperidone,6,6,7
Drug Monitoring,blood,6,13,11
"Chromatography, High Pressure Liquid",blood,6,6,11
Antipsychotic Agents,administration & dosage,6,34,6
blood,therapeutic drug monitoring,6,11,8
Tandem Mass Spectrometry,therapeutic drug monitoring,6,11,8
Antipsychotics,Tandem Mass Spectrometry,6,10,11
pharmacokinetics,therapeutic use,6,8,19
Antipsychotic Agents,"Chromatography, High Pressure Liquid",6,34,6
"Chromatography, High Pressure Liquid",Tandem Mass Spectrometry,6,6,11
Antipsychotic Agents,Olanzapine,6,34,6
Clozapine,adverse effects,5,10,16
"Chromatography, Liquid",Tandem Mass Spectrometry,5,5,11
Tandem Mass Spectrometry,methods,5,11,8
Clozapine,therapeutic use,5,10,19
Drug Monitoring,methods,5,13,8
Antipsychotic Agents,"Chromatography, Liquid",5,34,5
Antipsychotics,blood,5,10,11
Antipsychotic Agents,chemically induced,5,34,5
adverse effects,chemically induced,5,16,5
Clozapine,drug therapy,5,10,14
Aripiprazole,Risperidone,5,6,7
Drug Monitoring,pharmacokinetics,5,13,8
Antipsychotic Agents,drug effects,5,34,5
Drug Monitoring,therapeutic drug monitoring,5,13,8
"Chromatography, High Pressure Liquid",Drug Monitoring,5,6,13
Antipsychotic Agents,"Dose-Response Relationship, Drug",4,34,4
administration & dosage,adverse effects,4,6,16
Amisulpride,Clozapine,4,4,10
Quetiapine Fumarate,Risperidone,4,4,7
Aripiprazole,Tandem Mass Spectrometry,4,6,11
Aripiprazole,Olanzapine,4,6,6
administration & dosage,therapeutic use,4,6,19
Antipsychotics,therapeutic drug monitoring,4,10,8
Antipsychotic Agents,Quetiapine Fumarate,4,34,4
Olanzapine,adverse effects,4,6,16
blood,methods,4,11,8
Risperidone,adverse effects,4,7,16
Aripiprazole,Clozapine,4,6,10
Antipsychotic Agents,epidemiology,4,34,4
Amisulpride,Risperidone,4,4,7
Amisulpride,Olanzapine,4,4,6
Amisulpride,Antipsychotic Agents,4,4,34
Amisulpride,Aripiprazole,4,4,6
"Chromatography, High Pressure Liquid",therapeutic drug monitoring,4,6,8
Antipsychotic Agents,metabolism,4,34,4
Drug Monitoring,adverse effects,4,13,16
adverse effects,drug effects,4,16,5
Antipsychotics,"Chromatography, High Pressure Liquid",4,10,6
"Chromatography, High Pressure Liquid",methods,4,6,8
adverse effects,epidemiology,4,16,4
chemically induced,therapeutic use,3,5,19
administration & dosage,drug therapy,3,6,14
Schizophrenia,administration & dosage,3,10,6
"Dose-Response Relationship, Drug",adverse effects,3,4,16
Antipsychotic Agents,pharmacology,3,34,3
Tandem Mass Spectrometry,chemistry,3,11,3
Reproducibility of Results,methods,3,3,8
Clozapine,Tandem Mass Spectrometry,3,10,11
Antipsychotic Agents,chemistry,3,34,3
Antipsychotic Agents,Reproducibility of Results,3,34,3
Drug Monitoring,administration & dosage,3,13,6
Drug Monitoring,Schizophrenia,3,13,10
"Dose-Response Relationship, Drug",administration & dosage,3,4,6
Weight Gain,adverse effects,3,3,16
Weight Gain,drug effects,3,3,5
Antipsychotic Agents,Weight Gain,3,34,3
epidemiology,therapeutic use,3,4,19
Schizophrenia,pharmacokinetics,3,10,8
administration & dosage,methods,3,6,8
Drug Interactions,therapeutic use,3,3,19
"Dose-Response Relationship, Drug",Drug Monitoring,3,4,13
Drug Interactions,pharmacokinetics,3,3,8
Drug Monitoring,drug therapy,3,13,14
Antipsychotic Agents,Drug Interactions,3,34,3
blood,therapeutic use,3,11,19
adverse effects,pharmacokinetics,3,16,8
Reproducibility of Results,Tandem Mass Spectrometry,3,3,11
metabolism,therapeutic drug monitoring,3,4,8
drug therapy,pharmacokinetics,3,14,8
Antipsychotics,Clozapine,3,10,10
Antipsychotics,therapeutic use,3,10,19
Clozapine,Schizophrenia,3,10,10
"Dose-Response Relationship, Drug",therapeutic use,3,4,19
Antipsychotics,Drug Monitoring,3,10,13
Antipsychotics,"Chromatography, Liquid",3,10,5
Antipsychotic Agents,Benzodiazepines,3,34,3
Antipsychotic Agents,haloperidol,3,34,3
Benzodiazepines,Olanzapine,3,3,6
Benzodiazepines,Quetiapine Fumarate,3,3,4
Benzodiazepines,Risperidone,3,3,7
Amisulpride,haloperidol,3,4,3
Clozapine,Quetiapine Fumarate,3,10,4
Clozapine,haloperidol,3,10,3
Olanzapine,Quetiapine Fumarate,3,6,4
Antipsychotic Agents,"Databases, Factual",3,34,3
Antipsychotic Agents,statistics & numerical data,3,34,3
"Chromatography, Liquid",blood,3,5,11
Olanzapine,haloperidol,3,6,3
Risperidone,haloperidol,3,7,3
Antipsychotics,methods,3,10,8
methods,therapeutic drug monitoring,3,8,8
Aripiprazole,haloperidol,3,6,3
Benzodiazepines,Clozapine,3,3,10
Antipsychotic Agents,Paliperidone Palmitate,3,34,3
Olanzapine,drug therapy,3,6,14
Risperidone,Tandem Mass Spectrometry,3,7,11
Risperidone,drug therapy,3,7,14
Aripiprazole,Paliperidone Palmitate,3,6,3
Aripiprazole,Quetiapine Fumarate,3,6,4
Paliperidone Palmitate,Risperidone,3,3,7
"Databases, Factual",administration & dosage,3,3,6
Risperidone,therapeutic use,3,7,19
Quetiapine Fumarate,therapeutic use,3,4,19
Paliperidone Palmitate,Quetiapine Fumarate,3,3,4
blood,drug therapy,3,11,14
Schizophrenia,atypical antipsychotics,2,10,3
Drug Interactions,adverse effects,2,3,16
Antipsychotic Agents,antipsychotic,2,34,2
Tandem Mass Spectrometry,pharmacokinetics,2,11,8
atypical antipsychotics,drug therapy,2,3,14
Antipsychotic Agents,atypical antipsychotics,2,34,3
atypical antipsychotics,therapeutic use,2,3,19
Schizophrenia,blood,2,10,11
Schizophrenia,chemically induced,2,10,5
Weight Gain,chemically induced,2,3,5
Olanzapine,Piperazines,2,6,2
Piperazines,Quetiapine Fumarate,2,2,4
Piperazines,Risperidone,2,2,7
Antipsychotic Agents,Psychotic Disorders,2,34,2
Psychotic Disorders,therapeutic use,2,2,19
Psychotic Disorders,drug therapy,2,2,14
chemically induced,drug effects,2,5,5
Benzodiazepines,Dibenzothiazepines,2,3,2
Benzodiazepines,Piperazines,2,3,2
Antipsychotic Agents,antipsychotic drugs,2,34,3
Drug Monitoring,Quetiapine Fumarate,2,13,4
Tandem Mass Spectrometry,therapeutic use,2,11,19
Aripiprazole,therapeutic use,2,6,19
Paliperidone Palmitate,therapeutic use,2,3,19
Drug Monitoring,Risperidone,2,13,7
chemically induced,epidemiology,2,5,4
"Databases, Factual",chemically induced,2,3,5
Quetiapine Fumarate,Tandem Mass Spectrometry,2,4,11
Paliperidone Palmitate,Tandem Mass Spectrometry,2,3,11
Clozapine,Dibenzothiazepines,2,10,2
Clozapine,Piperazines,2,10,2
Dibenzothiazepines,Olanzapine,2,2,6
Dibenzothiazepines,Piperazines,2,2,2
Dibenzothiazepines,Quetiapine Fumarate,2,2,4
Dibenzothiazepines,Risperidone,2,2,7
Risperidone,methods,2,7,8
Reproducibility of Results,Risperidone,2,3,7
antipsychotic,drug therapy,2,2,14
Antipsychotic Agents,Dibenzothiazepines,2,34,2
Antipsychotic Agents,Piperazines,2,34,2
Olanzapine,methods,2,6,8
Olanzapine,Reproducibility of Results,2,6,3
Olanzapine,Tandem Mass Spectrometry,2,6,11
Clozapine,Reproducibility of Results,2,10,3
Aripiprazole,methods,2,6,8
Aripiprazole,Reproducibility of Results,2,6,3
Clozapine,methods,2,10,8
Amisulpride,methods,2,4,8
Amisulpride,Reproducibility of Results,2,4,3
Amisulpride,Tandem Mass Spectrometry,2,4,11
Amisulpride,adverse effects,2,4,16
Amisulpride,Benzodiazepines,2,4,3
Risperidone,sertindole,2,7,2
Antipsychotic Agents,sertindole,2,34,2
adverse effects,pharmacology,2,16,3
Olanzapine,quetiapine,2,6,2
Olanzapine,sertindole,2,6,2
paliperidone,quetiapine,2,2,2
