institutions,count
National Health Service,3
Institute of Psychiatry,3
Toxicological Centre,3
The Zucker Hillside Hospital,2
University of Southern California,2
University of Antwerp,2
Laboratory for TDM and Toxicology,2
University of Belgrade,1
National Center for Drug and Medical Information,1
University Clinical Center of Serbia,1
Emergency Center,1
University of Pristina Temporarily Settled in Kosovska Mitrovica,1
Virginia Commonwealth University,1
University of Virginia,1
Kent and Medway Medical School,1
Shanghai Mental Health Center,1
Shanghai Pudong New Area Mental Health Center,1
First Affiliated Hospital of Zhengzhou University,1
Shanghai Clinical Research Center for Mental Health,1
Weill Cornell Medical College,1
