journal,count
CNS drugs,2
Expert opinion on drug safety,2
Therapeutic drug monitoring,2
"Pharmaceuticals (Basel, Switzerland)",1
Drugs,1
Neuropsychopharmacology reports,1
European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology,1
Clinical chemistry and laboratory medicine,1
Frontiers in psychiatry,1
The Lancet. Child & adolescent health,1
Zhurnal nevrologii i psikhiatrii imeni S.S. Korsakova,1
Journal of the Academy of Consultation-Liaison Psychiatry,1
"Journal of psychopharmacology (Oxford, England)",1
The journal of applied laboratory medicine,1
"Drug design, development and therapy",1
"Journal of chromatography. B, Analytical technologies in the biomedical and life sciences",1
Journal of separation science,1
Talanta,1
Clinical pharmacokinetics,1
Psychiatria polska,1
