keywords_merged,count
Antipsychotic Agents,34
therapeutic use,19
adverse effects,16
drug therapy,14
Drug Monitoring,13
blood,11
Tandem Mass Spectrometry,11
Schizophrenia,10
Antipsychotics,10
Clozapine,10
pharmacokinetics,8
methods,8
therapeutic drug monitoring,8
Risperidone,7
administration & dosage,6
"Chromatography, High Pressure Liquid",6
Aripiprazole,6
Olanzapine,6
chemically induced,5
"Chromatography, Liquid",5
drug effects,5
"Dose-Response Relationship, Drug",4
epidemiology,4
Quetiapine Fumarate,4
Amisulpride,4
metabolism,4
antipsychotic drugs,3
atypical antipsychotics,3
pharmacology,3
statistics & numerical data,3
