claimId,referenceNumber,claimType,sourceTitle,artifactPath,supportQuote
CLM-001,3,direct,"Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study",.evimed-sources/PMC11451125/fulltext.md,"Suxiao Jiuxin Pill (SJPs) emerges as a prominent traditional Chinese patent medicine utilized for the treatment of acute ischemic heart disease, which was approved by China Food and Drug Administration (CFDA) in 1982 [ 9 ]. … The pill is composed of Ligusticum striatum DC. (WFO accession number: wfo-0000362231, family Apiaceae, Chuanxiong Rhizoma) and Dryobalanops aromatica C.F.Gaertn. (WFO accession number: wfo-0000657511, family Dipterocarpaceae, Borneolum syntheticum)."
CLM-003,1,direct,Efficacy of Suxiao Jiuxin Pill on coronary heart disease: a meta-analysis of randomized controlled trials,.evimed-sources/PMC5892298/fulltext.md,"Forty-one trials involving 6276 patients were included in our analysis. Administration of suxiao jiuxin pill significantly improved electrocardiogram (ECG) results when compared with other therapies (RR 1.32, 95% CI 1.26 to 1.38, and P < 0.001). … The remaining 41 studies were included in our meta-analysis. … Pooled analysis indicated significant benefits of suxiao jiuxin pill on ECG outcomes (RR 1.32; 95% CI 1.26 to 1.38, P < 0.001). However, there was significant heterogeneity between studies with respect to ECG results ( I 2 = 62.3%)."
CLM-004,1,direct,Efficacy of Suxiao Jiuxin Pill on coronary heart disease: a meta-analysis of randomized controlled trials,.evimed-sources/PMC5892298/fulltext.md,"The subgroup analyses indicated that suxiao jiuxin pill improved ECG results more than salvia tablets (RR 1.54; 95% CI 1.41 to 1.67, P < 0.001), isosorbide dinitrate (RR 1.14; 95% CI 1.05 to 1.22, P = 0.001), nitroglycerin (RR 1.35, 95% CI 1.16 to 1.56, P < 0.001), and other drugs (RR 1.32, 95% CI 1.21 to 1.44, P < 0.001)."
CLM-005,1,direct,Efficacy of Suxiao Jiuxin Pill on coronary heart disease: a meta-analysis of randomized controlled trials,.evimed-sources/PMC5892298/fulltext.md,The majority of the included studies received low Jadad scores due to the lack of a double-blind design
CLM-006,1,direct,Efficacy of Suxiao Jiuxin Pill on coronary heart disease: a meta-analysis of randomized controlled trials,.evimed-sources/PMC5892298/fulltext.md,"The 41 studies consisted of 6276 patients with coronary heart disease. … Fourteen studies reported the incidence of adverse reactions. The most common symptoms were mild headache, dizziness, and facial flushing. Most of these symptoms resolved spontaneously. There was no significant difference in the adverse reaction rates between the treatment and the control groups (RR 1.12, 95% CI 0.50 to 2.51, and P = 0.785)"
CLM-010,2,direct,The comparative effects of oral Chinese patent medicines combined with western medicine in stable angina: a systematic review and network meta-analysis of 179 trials,.evimed-sources/PMC9428755/fulltext.md,"according to Version 2 of the Cochrane risk-of-bias tool for randomized trials…Suxiao Jiuxin pill (SXJX, 6 RCTs)…with the course of treatment ranging from two to 144 weeks."
CLM-012,2,direct,The comparative effects of oral Chinese patent medicines combined with western medicine in stable angina: a systematic review and network meta-analysis of 179 trials,.evimed-sources/PMC9428755/fulltext.md,"A total of 179 randomized controlled trials with 16,789 patients were included. … Based on the ranking probability of each level and SUCRA, QSYQ + WM had the highest effective rate (98.12%), followed by SXJX + WM (71.04%) and TXL + WM (68.40%), whereas WM alone obtained the worst effect (3.09%)."
CLM-014,2,direct,The comparative effects of oral Chinese patent medicines combined with western medicine in stable angina: a systematic review and network meta-analysis of 179 trials,.evimed-sources/PMC9428755/fulltext.md,"Apart from DL + WM, KXQW + WM, and SXJX + WM, an improvement effect of effective rate in ECG was detected for all of the included OCPMs plus WM as compared with WM alone."
CLM-015,2,direct,The comparative effects of oral Chinese patent medicines combined with western medicine in stable angina: a systematic review and network meta-analysis of 179 trials,.evimed-sources/PMC9428755/fulltext.md,"Shexiang Baoxin pill (SXBX, 67 RCTs), Suxiao Jiuxin pill (SXJX, 6 RCTs), Tongxinluo capsule (TXL, 47 RCTs), and Xuefu Zhuyu capsule (XFZY, 2 RCTs)…Of 4,514 patients observed, 250 occurred with ADRs (5.54%), involving 96 with mild abdominal discomfort, 91 with dizziness/headache, 11 with numbness of tongue and lips, 24 with rash, and 28 with mild chest discomfort, whereas had no serious ADRs.…Among 1,951 SXBX + WM-treated patients, the incidences of mild abdominal discomfort, dizziness/headache, numbness of tongue and lips, rash, and mild chest discomfort, were 2.67%, 2.41%, 0.56%, 0.56%, and 0.67%, respectively, with the total adverse reaction rate of 6.87%.…In 81 patients treated with SXJX + WM, the incidences of mild abdominal discomfort, dizziness/headache, rash, and mild chest discomfort, were 2.47%, 17.28%, 7.41%, and 8.64%, separately, with a total adverse reaction rate of 35.80%."
CLM-017,2,direct,The comparative effects of oral Chinese patent medicines combined with western medicine in stable angina: a systematic review and network meta-analysis of 179 trials,.evimed-sources/PMC9428755/fulltext.md,"Notably, the OCPMs must be within the 12 OCPMs recommended by the Chinese guideline ( Mao et al., 2021 ). … Suxiao Jiuxin pill (SXJX, 6 RCTs)"
