claimId,referenceNumber,supportQuote,referenceNumbers,accessLevel
CLM-001,1,"and thus a final total of 3158 cases with a definite time of AMI onset was analyzed (Fig. 1 ).…During the 9-year period of study, 3867 patients were diagnosed with AMI in the Yanbian University Hospital.…The onset of AMI was 00:00–05:59 in 714 (22.6%), between 06:00–11:59 in 967 patients (30.6%), between 12:00–17:59 in patients 783 (24.8%), and 18:00–23:59 in 694 patients (22.0%)…the number of patients whose AMI occurred during the second time period (06:00–11:59) was significantly higher than those of the other 3 periods ( P < 0.01), with the peak from 7 to 9 am",[1],full_text
CLM-002,2,"Among 10 210 cases of SCA, major cases (8736, 85.6%) were non-shockable and 1474 (14.4%) cases were shockable. The circadian rhythm of SCA was as follows: peak time was from 08:00 to 11:59 (30.1%), while deep valley was from 00:00 to 03:59 (7.5%)…but higher from 08:00 to 11:59 (aOR: 1.34, 95% CI: 1.09 to 1.64, p=0.005).",[2],full_text
CLM-003,3,"No significant differences in peak CK levels were observed among the 4 time period groups (P=0.117)…There were no significant differences among the 4 time period groups in secondary endpoints of in-hospital mortality (P=0.788)…Finally, 2,251 patients with STEMI were included in this analysis…These patients were divided into 4 groups according to the time of onset as follows: Period 1, 00:00–06:00 h (435 patients; 19.3%); Period 2, 06:00–12:00 h (704 patients; 31.2%); Period 3, 12:00–18:00 h (573 patients; 25.4%); and Period 4, 18:00–00:00 h (539 patients; 23.9%)",[3],full_text
CLM-004,4,"The highest incidence of CVAs occurs mostly in the morning, between 6:00 and 12:00 …A meta-analysis with 11,816 CVA patients…reported that during ischemic, hemorrhagic, and even transient attacks, the risk of CVA is significantly higher during the morning hours, particularly between 6:00 a.m. and 12:00 noon. Specifically, the risk of ischemic CVA is increased by 89 %, hemorrhagic type by 52 %, and transient ischemic attack by 80 % compared to the remaining 18 h of daytime…Finally, 58 eligible articles were included for data extraction",[4],full_text
CLM-005,1,"and thus a final total of 3158 cases with a definite time of AMI onset was analyzed (Fig. 1 ).…The onset of AMI was 00:00–05:59 in 714 (22.6%), between 06:00–11:59 in 967 patients (30.6%), between 12:00–17:59 in patients 783 (24.8%), and 18:00–23:59 in 694 patients (22.0%)","[1, 2, 3, 4]",full_text
CLM-006,7,"A total of 14,048 patients with AIS were included in the study. Based on the time of stroke onset, patients were categorized into 4 groups: Morning (05:00-10:59; n = 4,657, 33.2%), Afternoon (11:00-16:59; n = 3,938, 28.0%), Evening (17:00-22:59; n = 3,577, 25.5%), and Night (23:00-04:59; n = 1,876, 13.3%)…In the ordinal logistic regression model for admission NIHSS score groups, stroke onset in the Morning group was associated with lower neurological severity (adjusted odds ratio [aOR] = 0.88; 95% CI: 0.82-0.94; P < .001)",[7],full_text
CLM-007,5,"An increase in secretion of epinephrine, testifying an increased sympathoadrenal activity, is found at the awakening, while the noradrenergic branches, determining the release of nor-epinephrine, are activated by the subsequent orthostasis.",[5],full_text
CLM-008,5,"Sleep-trough MBPS, that is, the difference between the mean systolic BP (SBP) over 2 hours following the awakening and the average of three BP values centered on the lowest nocturnal BP",[5],full_text
CLM-009,5,"The first solid evidence on the relationship of MBPS with cardiovascular events became available in 2003 when Kario et al reported an independent association between MBPS and silent cerebral infarcts as well as with incident stroke, with hazard ratios for each 10 mmHg increase in the sleep-trough and preawakening MBPS being 1.22 (95% CI: 1.05–1.40) and 1.14 (95% CI: 0.99–1.31), respectively…The authors were unable to identify a significant association between elevated MBPS (as a categorical variable) and cardiovascular disease. When MBPS was considered as a continuous variable, a significant increase of stroke risk (by 11% per 10 mmHg of MBPS increase) was observed.",[5],full_text
CLM-010,6,"Of the 1048 articles screened at the level of title and abstract independently by 2 authors, 26 studies met the inclusion criteria…Across the diverse populations and experimental models included in the 12 studies, 91.6% ( n = 11) reported evidence that circadian rhythm influences hemostatic function, including platelet activation and coagulation markers",[6],full_text
CLM-011,6,"Human investigations remain largely observational and often ignore behavioral confounders such as sleep–wake timing, diet, and physical activity.",[6],full_text
CLM-012,11,"A total of 174 CCS participants from eight clinical study centers in China were included in the modified intention-to-treat analyses.…Participants with CCS and intolerance to the adverse effects of long-acting nitrates were recruited and randomized to either the SJPs or the placebo group for a duration of 4 weeks…Specifically, 60.9% of patients treated with SJPs achieved a 20-point or greater improvement in SAQ-SS, while only 39.1% (OR = 2.43, 95% confidence interval [CI] = 1.32 to 4.47, P = 0.004) of patients in the placebo group achieved the same level of improvement…After 4 weeks, the SJPs intervention resulted in an improvement of 5.68 (95% CI = 2.37 to 8.99, P < 0.001, SJPs vs. placebo: 15.46 vs. 9.78 ) for the summary score in SAQ (SAQ-SS), compared to the placebo intervention.",[11],full_text
CLM-013,13,"In total, 1341 ED admissions for non-cardiac chest pain (4.2% of all ED admissions) were analyzed. Non-specific chest pain remained the discharge diagnosis in 44.7% (n = 599). Identified underlying diseases included musculoskeletal chest pain (n = 602, 44.9%), pulmonary (n = 30, 2.2%), GI-tract (n = 35, 2.6%), or psychiatric diseases (n = 75, 5.6%).","[13, 14]",full_text
CLM-014,13,"A formal ACS rule out troponin testing was performed in 9.2%…an acute myocardial ischemia can be ruled out for 60% to 90% of patients presenting with chest pain…Overall, in 89% of the patients an ECG, in 91.9% at least one blood analysis, and in 81.4% at least one troponin test was performed.",[13],full_text
CLM-015,14,"this left 714 patients who consented and were fully evaluated…CCP: 383 patients (53.7% of the evaluated sample size)…NCCP: 331 patients (46.3% of the evaluated sample size)…Stabbing chest pain and dizziness were also more frequently reported in the NCCP group (30% and 17%, respectively) than in the CCP group (15% and 8%, respectively, p=0.010 and p=0.023)…Musculoskeletal issues were exclusively diagnosed in the NCCP group (40%, p<0.001)",[14],full_text
