claimId,referenceNumber,supportQuote,sourceTitle,identifier,claimType
CLM-001,2,"Suxiao Jiuxin Pill (SJPs) emerges as a prominent traditional Chinese patent medicine utilized for the treatment of acute ischemic heart disease, which was approved by China Food and Drug Administration (CFDA) in 1982 … The pill is composed of Ligusticum striatum DC. (WFO accession number: wfo-0000362231, family Apiaceae, Chuanxiong Rhizoma) and Dryobalanops aromatica C.F.Gaertn. (WFO accession number: wfo-0000657511, family Dipterocarpaceae, Borneolum syntheticum).","Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study",PMC11451125 (PMID:39367481),direct
CLM-002,4,"SJP is composed of tetramethylpyrazine and borneol approval number Z12020025 of the China State Food and Drug Administration [SFDA]). The SJP and placebo pills are provided by Tianjin Zhongxin Pharmaceutical Group Co., Ltd. (Tianjin, China). … Each pill weighs 40 mg.","Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial",PMC8287819 (PMID:34281600),direct
CLM-003,5,"CDDPs contain three medicinal herbs, Salvia miltiorrhiza , notoginseng, and borneol.",Recommendations on the Clinical Use of Compound Danshen Dripping Pills,PMC5407045 (PMID:28397728; 2017),direct
CLM-004,5,"For treatment of CHD, the recommended dose is 10 pills, three times per day, orally or sublingually. The treatment course is 4 weeks and it can be prolonged according to the patient's condition",Recommendations on the Clinical Use of Compound Danshen Dripping Pills,PMC5407045 (PMID:28397728; 2017),direct
CLM-005,5,"For emergency treatment of angina pectoris in the attack of angina pectoris, the recommended dose is 10 pills, sublingually. Another ten tablets or treatment with nitrates can be administered if the symptoms persist within 5 min",Recommendations on the Clinical Use of Compound Danshen Dripping Pills,PMC5407045 (PMID:28397728; 2017),direct
CLM-006,5,"T max for tanshinol, metabolite 4-hydroxy-3-methoxylphenyllactic acid, protocatechuic acid, notoginsenoside R 1 , and ginsenoside Rg 1 were all <1 h, indicating that CDDP was absorbed very rapidly after its oral administration",Recommendations on the Clinical Use of Compound Danshen Dripping Pills,PMC5407045 (PMID:28397728; 2017),direct
CLM-007,5,"ensures that the drug is completely dissolved within 5–7 min, which is far ahead of the limit requirement of <60 min as defined by Chinese Pharmacopeia … The pharmacodynamic ingredients are likely to be directly absorbed through the mucosa into the blood stream when sublingually administered, avoiding hepatic first-pass effect and degradation by digestive juice in the gastrointestinal tract, and facilitating bioavailability and a rapid relief during emergency condition.",Recommendations on the Clinical Use of Compound Danshen Dripping Pills,PMC5407045 (PMID:28397728; 2017),direct
CLM-008,5,"a total of 125 patients with moderate chronic stable angina pectoris were enrolled at 15 medical centers across the USA. … The treatment course was 8 weeks. There was a clear dose-response relationship with respect to Total Exercise Duration (TED) following the Standard Bruce Protocol. After 4 weeks of treatment, the mean improvement of TED compared to placebo was 20 s (low dose group, P = 0.18) and 43 s (high dose group, P = 0.005).",Recommendations on the Clinical Use of Compound Danshen Dripping Pills,PMC5407045 (PMID:28397728; 2017),direct
CLM-009,5,"Sixteen meta-analysis reports about CDDP used for the prevention and treatment of CHD (involving stable angina pectoris, unstable angina pectoris, myocardial infarction, etc .) have been published, involving 513 original studies with a total of 53,350 patients. All the 16 meta-analysis reports demonstrated positive efficacy and safety profiles of CDDP.",Recommendations on the Clinical Use of Compound Danshen Dripping Pills,PMC5407045 (PMID:28397728; 2017),direct
CLM-010,5,"A total of 1413 adverse reactions/events related to CDDP were received by China FDA (CFDA) Center for ADR. Through the observation from January 1, 2011 to September 30, 2014 (a total of 79,497,137 patients in the required course of medication, with incidence rate of 0.0018%)",Recommendations on the Clinical Use of Compound Danshen Dripping Pills,PMC5407045 (PMID:28397728; 2017),direct
CLM-011,2,"A total of 174 CCS participants from eight clinical study centers in China were included in the modified intention-to-treat analyses. … Compared to the placebo group, the SJPs group showed a significant improvement in the efficacy rate after 4 weeks (OR = 2.43, 95% CI = 1.32 to 4.47, P = 0.004) … A total of 176 patients from 8 clinical study centers in China were included in this study.","Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study",PMC11451125 (PMID:39367481; 2024),direct
CLM-012,2,"all participants were instructed to orally administer the study medication sublingually after meals, three times a day, taking 5 capsules each time (total of 15 capsules per day), continuously for 4 weeks","Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study",PMC11451125 (PMID:39367481),direct
CLM-013,2,"During the 4-week treatment period, all participants were instructed to orally administer the study medication sublingually after meals, three times a day, taking 5 capsules each time (total of 15 capsules per day), continuously for 4 weeks. … Participants in this study were asked about any adverse events during the weekly telephone surveys. No participants reported experiencing adverse effects.","Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study",PMC11451125 (PMID:39367481),direct
CLM-014,2,"Preclinical studies suggest that SJPs can activate the endothelial nitric oxide synthase (eNOS)-NO pathway, inducing coronary artery relaxation … ligustilide exerts calcium ion inhibitory activity by inhibiting Ca 2+ /calmodulin-dependent protein kinase II (CaMKII), thereby improving vascular relaxation","Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study",PMC11451125 (PMID:39367481),direct
CLM-015,3,"Forty-one trials involving 6276 patients were included in our analysis. Administration of suxiao jiuxin pill significantly improved electrocardiogram (ECG) results when compared with other therapies (RR 1.32, 95% CI 1.26 to 1.38, and P < 0.001) … The remaining 41 studies were included in our meta-analysis. … heterogeneity between studies with respect to ECG results ( I 2 = 62.3%)",Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,PMC5892298 (PMID:29770157; 2018),direct
CLM-016,3,"suxiao jiuxin pill improved ECG results more than salvia tablets (RR 1.54; 95% CI 1.41 to 1.67, P < 0.001), isosorbide dinitrate (RR 1.14; 95% CI 1.05 to 1.22, P = 0.001), nitroglycerin (RR 1.35, 95% CI 1.16 to 1.56, P < 0.001), and other drugs (RR 1.32, 95% CI 1.21 to 1.44, P < 0.001)",Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,PMC5892298 (PMID:29770157),direct
CLM-017,3,"The most common symptoms were mild headache, dizziness, and facial flushing. Most of these symptoms resolved spontaneously. There was no significant difference in the adverse reaction rates between the treatment and the control groups (RR 1.12, 95% CI 0.50 to 2.51, and P = 0.785)",Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,PMC5892298 (PMID:29770157),direct
CLM-018,3,The majority of the included studies received low Jadad scores due to the lack of a double-blind design,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,PMC5892298 (PMID:29770157),direct
CLM-019,4,"The trial will enroll 324 participants with chronic stable angina (Qi Stagnation and Blood Stasis syndrome). … Eligible participants will receive either SJP or placebo (five pills administered orally, three times daily) in addition to conventional treatment for 24 weeks.","Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial",PMC8287819 (PMID:34281600; 2021),direct
CLM-020,7,"A total of 4,153 records were retrieved in this study. After removing 2,082 duplicates, the remaining 2,071 records were screened according to the pre-established criteria … Finally, 179 published RCTs with 16,789 patients (9,620 reported male patients; 57.30%) were included in the current analysis, involving 177 two-arm trials and two three-arm trials … Overall, 11 OCPMs were included in our study, involving Fufang Danshen dripping pill (FFDS, 30 RCTs), Danlou tablet (DL, 5 RCTs), Kuanxiong aerosol (KXQW, 1 RCT), Naoxintong capsule (NXT, 10 RCTs), Qiliqiangxin capsule (QLQX, 3 RCTs), Qishen Yiqi dripping pill (QSYQ, 4 RCTs), Shensong Yangxin capsule (SSYX, 15 RCTs), Shexiang Baoxin pill (SXBX, 67 RCTs), Suxiao Jiuxin pill (SXJX, 6 RCTs), Tongxinluo capsule (TXL, 47 RCTs), and Xuefu Zhuyu capsule (XFZY, 2 RCTs) … with the course of treatment ranging from two to 144 weeks",The comparative effects of oral Chinese patent medicines combined with western medicine in stable angina: A systematic review and network meta-analysis of 179 trials,PMC9428755 (PMID:36059992; 2022),direct
CLM-021,7,"QSYQ + WM improved its clinical effectiveness rate compared with SSYX + WM, SXBX + WM, TXL + WM, XFZY + WM, QLQX + WM, NXT + WM, FFDS + WM, and DL + WM. … Based on the ranking probability of each level and SUCRA, QSYQ + WM had the highest effective rate (98.12%), followed by SXJX + WM (71.04%) and TXL + WM (68.40%), whereas WM alone obtained the worst effect (3.09%)",The comparative effects of oral Chinese patent medicines combined with western medicine in stable angina: A systematic review and network meta-analysis of 179 trials,PMC9428755 (PMID:36059992),direct
CLM-022,7,"Based on the ranking probability of each level and SUCRA, QSYQ + WM had the highest effective rate (94.21%), followed by SXJX + WM (73.80%) and KXQW + WM (56.70%), whereas WM alone obtained the worst effect (5.63%)",The comparative effects of oral Chinese patent medicines combined with western medicine in stable angina: A systematic review and network meta-analysis of 179 trials,PMC9428755 (PMID:36059992),direct
CLM-023,7,"In 81 patients treated with SXJX + WM, the incidences of mild abdominal discomfort, dizziness/headache, rash, and mild chest discomfort, were 2.47%, 17.28%, 7.41%, and 8.64%, separately, with a total adverse reaction rate of 35.80%. The incidence of ADRs in FFDS + WM groups (616 patients) was 7.79%",The comparative effects of oral Chinese patent medicines combined with western medicine in stable angina: A systematic review and network meta-analysis of 179 trials,PMC9428755 (PMID:36059992),direct
CLM-024,7,"Four studies reported allocation concealment, which was rated “low risk” in the “randomization process” (2.2%). Seven studies reported blinding … Overall, the trials included in this network meta-analysis were rated as “some concerns”.",The comparative effects of oral Chinese patent medicines combined with western medicine in stable angina: A systematic review and network meta-analysis of 179 trials,PMC9428755 (PMID:36059992),direct
CLM-025,6,"After a rigorous screening process by 2 independent authors, with discrepancies resolved by a third, 10 eligible RCTs were selected for review. … The therapeutic efficacy of CDDP tends to manifest gradually and necessitates prolonged administration for significant outcomes, making them less suitable for acute angina episodes.",Advances of clinical trials on compound Danshen dripping pills for stable angina pectoris: A perspective,PMC12014028 (PMID:40258733; 2025),direct
CLM-026,5,The treatment course is 4 weeks and it can be prolonged according to the patient's condition,Recommendations on the Clinical Use of Compound Danshen Dripping Pills,,synthesized
CLM-027,5,"T max for tanshinol, metabolite 4-hydroxy-3-methoxylphenyllactic acid, protocatechuic acid, notoginsenoside R 1 , and ginsenoside Rg 1 were all <1 h, indicating that CDDP was absorbed very rapidly after its oral administration … ensures that the drug is completely dissolved within 5–7 min, which is far ahead of the limit requirement of <60 min as defined by Chinese Pharmacopeia",Recommendations on the Clinical Use of Compound Danshen Dripping Pills,,synthesized
CLM-028,7,"Overall, the trials included in this network meta-analysis were rated as “some concerns”.",The comparative effects of oral Chinese patent medicines combined with western medicine in stable angina: A systematic review and network meta-analysis of 179 trials,,synthesized
CLM-029,2,"A total of 174 CCS participants from eight clinical study centers in China were included in the modified intention-to-treat analyses. … Compared to the placebo group, the SJPs group showed a significant improvement in the efficacy rate after 4 weeks (OR = 2.43, 95% CI = 1.32 to 4.47, P = 0.004)",Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates,,synthesized
CLM-032,1,"Immediate action required: Call 999 if: … you get sudden pain or discomfort in your chest that does not go away – the pain can feel like squeezing or pressure inside your chest, burning or indigestion … You could be having a heart attack. Call 999 straight away as you need immediate treatment in hospital.",Chest pain - NHS,official-page:e6143b76645a9461,direct
