signal_id,drug,adverse_event,signal_type,metric,value,ci,evidence_access,evidence_id,source,retrieved_at,status,verification_note
RQ13-S01,速效救心丸,效应衰减 (effect attenuation over time),literature_negative,na,na,na,literature_search_zero_hits_satisfying_criteria,满足判据的长期研究零命中;最近者2024年324例24周RCT(PMID:37487965)同一终点4/12/24周重复测量但摘要未报告各时点效应量与后期-早期差值及区间估计且全文不可得;2004年40例/组6个月RCT(ui=2003394432)心电图1/3/6月重复测量但无区间估计;2019年124例24周ACS术后试验随访1年但无时程差值,PubMed+EuropePMC+Crossref+中文库,2026-08-12,no_direct_evidence,"命题B判定=无直接证据:未检索到满足'≥3个月+同一终点重复测量+报告后期-早期差值及区间估计'的研究;2022年系统评价(北京中医药BJZO20211116000)明确仅2周与4周/30d疗程证据充分,其余疗程研究缺失或较少;不得改写为已排除耐药性"
RQ13-S02,速效救心丸,长期用药疗效不衰减 (proposition B),judgment_negative,na,na,na,synthesis,safety-report.md RQ13 命题B,safety-report.md (本报告),2026-08-12,no_evidence,合规表述=未检索到检验长期效应衰减的研究;给出检索范围(PubMed/EuropePMC/Crossref/中文库/注册库)、最长随访时程(RCT 24周、ACS术后随访1年)与最大样本量(真实世界10008例;RCT 324例)
RQ13-S03,速效救心丸,停药反跳/依赖/戒断 (withdrawal rebound/dependence),literature_negative,na,na,na,literature_search_zero_hits,中文库停药反跳依赖戒断零命中;PubMed/Crossref withdrawal dependence rebound零命中,PubMed+EuropePMC+Crossref+中文库,2026-08-12,no_reports_found,"命题C判定=无证据(未检索到相关报告);说明书不良反应项(恶心呕吐口干腹痛头痛头晕皮疹瘙痒潮红乏力过敏等)无停药反跳/戒断/使用障碍记载(NMPA标签索引副本);被动监测对该类信号固有不敏感,零报告不得解释为排除性证据"
RQ13-S04,速效救心丸,停药反跳ADR信号分析 (signal analysis),signal_analysis_unavailable,na,na,na,service_unavailable,evimed_drug_safety_analysis start返回HTTP 422(3组参数);evimed_adr_case_query返回HTTP 400;evimed_adr_signal_analysis返回HTTP 400;openFDA连接器返回NMPA标签记录而非FAERS事件,受管信号管线,2026-08-12,unavailable,"openFDA后端不含本品FAERS数据;按数据源不可用记录为证据缺口,不作阴性解释;停药反跳信号评估在本环境为硬缺口,需人工以CN药物警戒数据库补验"
RQ13-S05,速效救心丸,组方不含硝酸酯→无经典耐药性 (proposition A),judgment_partial,na,na,na,synthesis,"硝酸酯耐受机制(ALDH-2生物转化受损/氧化应激/神经内分泌反调节)为综述与实验层级(PMID:16195486,23352691,26261901,18834868,18574453,19307691);本品经eNOS-NO通路与CaMKII钙拮抗舒血管(PMC11451125全文;PMC8287819全文)与硝酸酯共享下游NO信号",PubMed+EuropePMC,2026-08-12,partially_supported,"命题A判定=不成立(作为全称命题):组方不含硝酸酯仅排除硝酸酯类特有耐受机制;无排除其他衰减机制(受体/通道脱敏、代谢酶诱导、介质耗竭)的实验,无重复给药PK/PD衰减数据;合规改写=不发生硝酸酯类特有的经典耐受机制,不得外推为长期使用疗效不衰减或任何形式效应衰减均不发生"
RQ13-S06,速效救心丸,组方通路脱敏/耐受机制 (component pathway desensitization),literature_negative,na,na,na,literature_search_zero_hits,川芎嗪/四甲基吡嗪/冰片 repeated administration tolerance tachyphylaxis desensitization检索零命中;本品重复给药PK/PD衰减数据零命中,PubMed+Crossref+中文库,2026-08-12,no_evidence_found,未检索到针对eNOS-NO/CaMKII钙拮抗通路重复给药条件下脱敏或耐受的已发表实验;未检索到不等于不存在;机制层面只能表述为未检索到已报告的脱敏或耐受机制
RQ13-S07,速效救心丸,24周试验时点效应 (24-week RCT timepoints),literature_abstract,na,na,na,abstract,PMID:37487965,PubMed/EuropePMC,2026-08-12,abstract_level_only,"摘要层:同一终点(心绞痛疗效率/证候积分等)在4/12/24周重复测量均显著改善;未报告各时点效应量及后期-早期差值+区间估计;全文不可得(J Ethnopharmacol非OA);另据2024年CCS试验讨论转述该24周试验第4周未显示优于安慰剂(二级引用,须全文核验)"
RQ13-S08,速效救心丸,6个月重复测量小样本RCT (6-month repeated ECG),literature_abstract,na,na,na,abstract,ui=2003394432,中医药临床杂志2004(SinoMed),2026-08-12,abstract_level_only,"40例/组对照硝酸甘油;心电图疗效1/3/6个月重复测量,1个月无差异3/6个月显著;摘要层无后期-早期差值及区间估计;小样本不符合命题B判据"
RQ13-S09,速效救心丸,ACS术后24周随访1年RCT (post-revascularization),literature_abstract,na,na,na,abstract,wanfang zyxx201909002(Evimed-LITERATURE:4_466_646ee9ccdaf03b5e94974698),中西医结合心脑血管病杂志2019,2026-08-12,abstract_level_only,124例双盲安慰剂对照;临床终点事件8.62% vs 21.31%(P<0.05);疗程24周随访1年;未报告同一终点时程重复测量差值及区间估计;人群为ACS术后非稳定期长期场景
RQ13-S10,速效救心丸,长期用药个案(22年) (22-year case),literature_abstract,na,na,na,abstract,qikan 22833345,北京中医2006,2026-08-12,reference_only,"1例80岁患者连续服用22年(6-10粒/次,2-3次/日)报告持续有效;无停药评估无定量重复测量;个案层级不构成命题B证据"
RQ13-S11,速效救心丸,不同疗程系统评价(2022) (course duration meta),literature_abstract,na,na,na,abstract,CNKI BJZO20211116000,北京中医药2022,2026-08-12,abstract_level_only,"13项RCT疗程为2周/4周(30d)/8周;结论仅支持2周与4周/30d疗程,其余疗程研究缺失或较少证据尚不充分;长期疗程证据结构性缺失的直接系统评价陈述"
RQ13-S12,速效救心丸,急性发作对照硝酸甘油 (acute attack vs nitroglycerin),literature_abstract,RR,1.00 (心绞痛改善率); ADR RR 0.37,0.94-1.06 (改善率); 0.20-0.69 (ADR),abstract,CNKI cqvip 7103853892,中西医结合心脑血管病杂志2021,2026-08-12,reference_only,"6项RCT 651例急性发作;两组心绞痛改善率RR=1.00(0.94,1.06)无差异,本品ADR更少RR=0.37(0.20,0.69);为急性发作单点疗效,不构成长期耐药性证据"
RQ13-S13,速效救心丸,急性冠脉综合征系统评价 (ACS meta 2021),literature_abstract,RR,1.19 (总有效率); RR 0.43 (终点事件),1.12-1.26 (总有效率); 0.29-0.64 (终点事件),abstract,CNKI TJZY202105018,天津中医药2021,2026-08-12,reference_only,11项RCT 1296例ACS;治疗组终点事件率更低;疗程短无长期衰减分析
RQ13-S14,速效救心丸,真实世界用药剂量 (real-world dosing),literature_abstract,na,na,na,abstract,qikan 7104520819,中西医结合心脑血管病杂志2021,2026-08-12,reference_only,33家三甲医院HIS 10008例;单次剂量≤15粒者96.58%;常联用硝酸异山梨酯阿司匹林美托洛尔等;描述用药特征未随访长期疗效或停药反应
RQ13-S15,速效救心丸,说明书长期使用条款 (label long-term clause),label_negative,na,na,na,regulatory_record,evimed_nmpa_label 2副本,国家药品监督管理局说明书索引,2026-08-12,not_found_in_index,索引字段含功能主治/禁忌/注意事项/不良反应/贮藏/规格;未返回用法用量栏;无'长期使用需医生评估指导'表述;无单次发作最大次数/疗程上限/停药条款;官方现行版本须NMPA官网人工核验
