claimId,referenceNumber,supportQuote,sourceTitle,identifier,accessLevel
CLM-001,1,"Forty-one trials involving 6276 patients were included in our analysis. Administration of suxiao jiuxin pill significantly improved electrocardiogram (ECG) results when compared with other therapies (RR 1.32, 95% CI 1.26 to 1.38, and P < 0.001)…However, there was significant heterogeneity between studies with respect to ECG results ( I 2 = 62.3%).",Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,10.1155/2018/9745804,full_text
CLM-002,1,"7 studies involving nitroglycerin (using various formulations)…nitroglycerin (RR 1.35, 95% CI 1.16 to 1.56, P < 0.001)…The I 2 decreased to 39.1% in the nitroglycerin subgroup.",Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,10.1155/2018/9745804,full_text
CLM-003,1,"The majority of the included studies received low Jadad scores due to the lack of a double-blind design…In this study, we did not analyze cardiovascular death or drug-related complications.",Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,10.1155/2018/9745804,full_text
CLM-004,1,"Fourteen studies reported the incidence of adverse reactions. The most common symptoms were mild headache, dizziness, and facial flushing. Most of these symptoms resolved spontaneously. There was no significant difference in the adverse reaction rates between the treatment and the control groups (RR 1.12, 95% CI 0.50 to 2.51, and P = 0.785)",Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,10.1155/2018/9745804,full_text
CLM-005,9,"The trial will enroll 324 participants with chronic stable angina (Qi Stagnation and Blood Stasis syndrome). All participants will have received the conventional therapy of chronic stable angina…Eligible participants will receive either SJP or placebo (five pills administered orally, three times daily) in addition to conventional treatment for 24 weeks…The primary outcomes are the symptom improvement rate of angina from baseline to 4 weeks after inclusion and major adverse cardiovascular events (MACE).","Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial",10.1186/s13063-021-05448-6,full_text
CLM-006,9,"SJP can increase coronary blood flow, improve myocardial cell hypoxia, and relieve angina pectoris similar to nitroglycerin…However, the evidence remains weak due to the poor methodological quality of included studies","Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial",10.1186/s13063-021-05448-6,full_text
CLM-007,2,"This was a multicenter, randomized, double-blind, placebo-controlled trial. A total of 174 CCS participants from eight clinical study centers in China were included in the modified intention-to-treat analyses. Participants with CCS and intolerance to the adverse effects of long-acting nitrates were recruited and randomized to either the SJPs or the placebo group for a duration of 4 weeks…Specifically, 60.9% of patients treated with SJPs achieved a 20-point or greater improvement in SAQ-SS, while only 39.1% (OR = 2.43, 95% confidence interval [CI] = 1.32 to 4.47, P = 0.004) of patients in the placebo group achieved the same level of improvement","Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study",10.1186/s12906-024-04661-5,full_text
CLM-008,2,"This was a multicenter, randomized, double-blind, placebo-controlled trial. A total of 174 CCS participants from eight clinical study centers in China were included in the modified intention-to-treat analyses…During the 4-week treatment period, all participants were instructed to orally administer the study medication sublingually after meals, three times a day, taking 5 capsules each time (total of 15 capsules per day), continuously for 4 weeks…No participants reported experiencing adverse effects.","Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study",10.1186/s12906-024-04661-5,full_text
CLM-009,3,"Among 203 patients with CHD, 103 were GG cases and 100 were GA/AA cases…Accordingly, 103 cases of GG and 100 cases GA/AA were recorded in the CHD group. The NTG efficacies of the GG and the GA/AA subgroups were 79.4% and 50.6%, respectively. The difference in rapid NTG efficiency was statistically significant ( P < 0.01)",Effect of Aldehyde Dehydrogenase 2 Gene Polymorphism on Hemodynamics After Nitroglycerin Intervention in Northern Chinese Han Population,10.4103/0366-6999.149192,full_text
CLM-010,3,"Of the 356 cases in the NCHD group, 196 (55.1%) were of the GG genotype and 130 (36.5%) were of the GA genotype. Of the 130 cases, 30 (8.4%) accounted for the AA genotype…Of the 203 cases in the CHD group, 103 (50.7%) were of the GG genotype and 86 (42.4%) were of the GA genotypes. Of the 86, 14 cases (6.9%) accounted for the AA genotype",Effect of Aldehyde Dehydrogenase 2 Gene Polymorphism on Hemodynamics After Nitroglycerin Intervention in Northern Chinese Han Population,10.4103/0366-6999.149192,full_text
CLM-011,3,"A noninvasive hemodynamic detector was used to monitor the CO and the SVR at the 0, 5, and 15 minute time points after medication with 0.5 mg sublingual NTG…All CO values in the wild-type case of both NCHD and CHD groups increased, whereas those in the mutant type decreased.",Effect of Aldehyde Dehydrogenase 2 Gene Polymorphism on Hemodynamics After Nitroglycerin Intervention in Northern Chinese Han Population,10.4103/0366-6999.149192,full_text
CLM-012,3,"The GA genotype (i.e., mutant) only has 6% activity, whereas the AA genotype (i.e., mutant) loses all its activities.",Effect of Aldehyde Dehydrogenase 2 Gene Polymorphism on Hemodynamics After Nitroglycerin Intervention in Northern Chinese Han Population,10.4103/0366-6999.149192,full_text
CLM-013,3,"However, data on NTG measurement by pain relief are highly subjective.",Effect of Aldehyde Dehydrogenase 2 Gene Polymorphism on Hemodynamics After Nitroglycerin Intervention in Northern Chinese Han Population,10.4103/0366-6999.149192,full_text
CLM-014,4,"A randomised, open-label, crossover trial with 117 healthy Japanese (20–39 years) whose genotypes were determined (*1/*1, n=47; *1/*2, n=48; *2/*2, n=22) was performed at Kyushu University Hospital, Fukuoka, Japan. Participants were randomly assigned to treatment: sublingual spray of GTN (0.3 mg) or ISDN (1.25 mg)…the time required to attain 90% maximal dilation (T 0.9 )…The maximal artery diameter increase in response to GTN or ISDN did not differ among genotypes. However, GTN T max was significantly longer for *2/*2 (299.7 s, 269.0–330.4) than *1/*1 (254.7 s, 238.6–273.4; p=0.0190)…GTN T 0.9 was significantly longer in the *1/*2 (206.1 s, 191.7–219.3) and *2/*2 (231.4 s, 211.8–251.0) genotypes than *1/*1 (174.9 s, 161.5–188.3; p=0.0068, p<0.0001, respectively)",Differential effects of organic nitrates on arterial diameter among healthy Japanese participants with different mitochondrial aldehyde dehydrogenase 2 genotypes: randomised crossover trial,10.1136/bmjopen-2011-000133,full_text
