claimId,referenceNumber,sourceTitle,identifier,accessLevel,supportQuote
CLM-001,1,Chest pain - NHS,NHS chest pain symptom page (reviewed 2023-08-08),official_page,"you get sudden pain or discomfort in your chest that does not go away – the pain can feel like squeezing or pressure inside your chest, burning or indigestion … You could be having a heart attack. Call 999 straight away as you need immediate treatment in hospital."
CLM-002,4,Role of short-acting nitroglycerin in the management of ischemic heart disease (Drug Des Devel Ther. 2015),PMID:26316714,full_text,"Most patients respond within 5 minutes of taking one to two sublingual dose(s) of 0.3–0.6 mg each … If additional doses are necessary, they should be taken at 5-minute intervals for a maximum dose of ≤1.2 mg within 15 minutes. During this timeframe, if relief does not occur, the patient should seek immediate medical attention."
CLM-003,4,Role of short-acting nitroglycerin in the management of ischemic heart disease (Drug Des Devel Ther. 2015),PMID:26316714,full_text,"Patients with suspected acute coronary syndrome who have been prescribed nitroglycerin previously should initially take no more than one nitroglycerin dose sublingually in response to chest discomfort/pain. If no relief occurs, or if pain worsens 5 minutes after taking one nitroglycerin dose, the patient or family member/friend/caregiver should call 9-1-1 immediately to access emergency medical services before taking additional nitroglycerin. In patients with chronic stable angina, if symptoms are significantly improved by one nitroglycerin dose, it is appropriate to instruct the patient or family member/friend/caregiver to repeat nitroglycerin every 5 minutes for a maximum of three doses, and call 9-1-1 if symptoms have not resolved completely (Level of Evidence: C)."
CLM-004,4,Role of short-acting nitroglycerin in the management of ischemic heart disease (Drug Des Devel Ther. 2015),PMID:26316714,full_text,"Class I = patients with unstable angina or non–ST-elevation myocardial infarction (UA/NSTEMI) with ongoing ischemic discomfort should receive sublingual nitroglycerin (0.4 mg) every 5 minutes for a total of three doses. Thereafter, these patients should be assessed for the need of intravenous nitroglycerin, unless contraindicated (Level of Evidence: C)."
CLM-005,4,Role of short-acting nitroglycerin in the management of ischemic heart disease (Drug Des Devel Ther. 2015),PMID:26316714,full_text,"When angina starts, the patient should rest in the sitting posture (standing promotes syncope and lying down enhances venous return and heart work) and take sublingual nitroglycerin (0.3 to 0.6 mg) every 5 minutes until the pain subsides or a maximum of 1.2 mg has been taken within 15 minutes."
CLM-006,4,Role of short-acting nitroglycerin in the management of ischemic heart disease (Drug Des Devel Ther. 2015),PMID:26316714,full_text,an angina attack that does not respond to short-acting nitroglycerin (generally defined as a lack of improvement in chest discomfort following up to three short-acting nitrates every 5 minutes) should be regarded as consistent with a possible acute MI requiring immediate medical attention and evaluation.
CLM-007,2,Pre-hospital delay and emergency medical services in acute myocardial infarction (Korean J Intern Med. 2020),PMID:31766823,full_text,"A total of 4,874 patients were included in the analysis … Cardiogenic shock (OR, 0.67; 95% CI, 0.51 to 0.88; p = 0.003) and utilisation of EMS (OR, 0.20; 95% CI, 0.17 to 0.23; p < 0.001) were predictive factors for visiting a hospital within 60 minutes."
CLM-008,2,Pre-hospital delay and emergency medical services in acute myocardial infarction (Korean J Intern Med. 2020),PMID:31766823,full_text,"A total of 4,874 patients were included in the analysis, of whom 28.4% arrived at the hospital within 60 minutes of symptom-onset. … The overall frequency of EMS utilisation was low (21.7%)."
CLM-009,2,Pre-hospital delay and emergency medical services in acute myocardial infarction (Korean J Intern Med. 2020),PMID:31766823,full_text,"the most significant correlation was seen between STDT and TIT ( r = 0.989, p < 0.001). … Old age (OR, 1.30; 95% CI, 1.11 to 1.53; p < 0.001), female gender (OR, 1.27; 95% CI, 1.05 to 1.54; p = 0.012), and renewed ischemia (OR, 1.32; 95% CI, 1.12 to 1.57; p = 0.001) were identified as independent risk factors of delayed STDT"
CLM-010,3,In-depth look into urban and rural disparities in prehospital delay in patients with acute ST-elevation myocardial infarction and its impact on prognosis (BMJ Open. 2022),PMID:36396304,full_text,"Our final analysis included 394 patients … S2D time was significantly longer for patients in the rural group than for those in the urban group (190 min vs 75 min, p<0.001). … During the 1-year follow-up, MACEs occurred in 66 patients in the rural group (24.5%, 66/269) and 16 patients (12.8%, 16/125) in the urban group (p=0.008)."
CLM-011,3,In-depth look into urban and rural disparities in prehospital delay in patients with acute ST-elevation myocardial infarction and its impact on prognosis (BMJ Open. 2022),PMID:36396304,full_text,A previous study demonstrated a 7.5% increase in annual mortality for every 30 min delay in successful reperfusion.
CLM-012,5,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials (Evid Based Complement Alternat Med. 2018),PMID:29770157,full_text,"Forty-one trials involving 6276 patients were included in our analysis. Administration of suxiao jiuxin pill significantly improved electrocardiogram (ECG) results when compared with other therapies (RR 1.32, 95% CI 1.26 to 1.38, and P < 0.001). … Most of the clinical studies included in our meta-analysis were of poor quality based on their Jadad scores."
CLM-013,4,Role of short-acting nitroglycerin in the management of ischemic heart disease (Drug Des Devel Ther. 2015),,full_text,"If no relief occurs, or if pain worsens 5 minutes after taking one nitroglycerin dose, the patient or family member/friend/caregiver should call 9-1-1 immediately … repeat nitroglycerin every 5 minutes for a maximum of three doses, and call 9-1-1 if symptoms have not resolved completely (Level of Evidence: C)."
CLM-015,1,Chest pain - NHS,,official_page,"Chest pain has many different causes. In most cases, chest pain is not caused by a heart problem. … Do not self-diagnose – see a GP if you're worried."
CLM-016,4,Role of short-acting nitroglycerin in the management of ischemic heart disease (Drug Des Devel Ther. 2015),PMID:26316714,full_text,"Sublingual nitroglycerin use should be avoided with the concomitant use of phosphodiesterase type 5 inhibitors such as sildenafil, vardenafil, and tadalafil. Combined use of these agents can cause dizziness or systemic hypotension accompanied by paradoxical bradycardia, leading to increased angina pectoris."
