claimId,referenceNumber,supportQuote,sourceUrl,sourceTitle,accessLevel
CLM-001,1,Studies found that the incidence of MI is three times higher in the morning compared to late evening.,https://europepmc.org/articles/PMC12450527,Circadian rhythms in cardiovascular disease,full_text
CLM-002,1,ST segment elevation myocardial infarction (STEMI) was ∼10% more common in the morning than in the afternoon or night.,https://europepmc.org/articles/PMC12450527,Circadian rhythms in cardiovascular disease,full_text
CLM-003,2,"Data between 2018 and 2022 from the remote ECG diagnosis system of Xinhua Hospital affiliated to Shanghai Jiao Tong University School of Medicine were analysed … Among 10 210 cases of SCA, major cases (8736, 85.6%) were non-shockable and 1474 (14.4%) cases were shockable. The circadian rhythm of SCA was as follows: peak time was from 08:00 to 11:59 (30.1%), while deep valley was from 00:00 to 03:59 (7.5%).",https://europepmc.org/articles/PMC11487843,Circadian variation pattern of sudden cardiac arrest occurred in Chinese community,full_text
CLM-004,2,the occurrence of SCA in the primary hospitals did not appear to show an obvious circadian variation,https://europepmc.org/articles/PMC11487843,Circadian variation pattern of sudden cardiac arrest occurred in Chinese community,full_text
CLM-005,1,"Variations in study populations and advances in pharmacological management have highlighted factors that attenuate this pattern, including comorbidities (chronic kidney disease, diabetes mellitus 71 , 72 ), beta-blockers blunting autonomic surges, and advanced HF therapies.",https://europepmc.org/articles/PMC12450527,Circadian rhythms in cardiovascular disease,full_text
CLM-006,1,"Rupture and dissection of aortic aneurysms are more likely to occur in the early morning, 99–101 as well as ischaemic and haemorrhagic stroke.",https://europepmc.org/articles/PMC12450527,Circadian rhythms in cardiovascular disease,full_text
CLM-007,1,"the early morning hours are characterized by a surge in sympathetic activity, involving increase in circulating levels of catecholamines.",https://europepmc.org/articles/PMC12450527,Circadian rhythms in cardiovascular disease,full_text
CLM-008,1,"Disrupted BP rhythmicity, especially high morning surge and the absence of a nocturnal BP dip, are associated with increased risks for cardiovascular events",https://europepmc.org/articles/PMC12450527,Circadian rhythms in cardiovascular disease,full_text
CLM-009,1,"Diurnal coagulation and fibrinolysis fluctuations, resulting in hypercoagulability and hypofibrinolytic conditions during the morning hours, together with increased platelet activity",https://europepmc.org/articles/PMC12450527,Circadian rhythms in cardiovascular disease,full_text
CLM-010,1,The human endogenous circadian system causes greatest platelet activation during the biological morning independent of behaviors,https://europepmc.org/articles/PMC12450527,Circadian rhythms in cardiovascular disease,full_text
CLM-011,3,"Consultation prevalence differs between 1,0 and 15,5%. The most common aetiologies are vestibular/peripheral (5,4-42,1%) … cardiovascular disease (3,8-56,8%) … psychogenic (1,8-21,6%), no clear diagnosis (0,0-80,2%)",https://europepmc.org/articles/PMC5819275,"Prevalence, aetiologies and prognosis of the symptom dizziness in primary care – a systematic review",full_text
CLM-012,4,"we included 417 patients aged 65 to 95 years … Cardiovas- cular disease was considered to be the most common major contributory cause of dizziness (57%), followed by peripheral vestibular disease (14%), and psychiat- ric illness (10%). An adverse drug effect was considered to be the most common minor contributory cause of dizziness (23%).",https://doi.org/10.1370/afm.1116,Causes of persistent dizziness in elderly patients in primary care,full_text
CLM-013,4,Presyncope was the most common dizziness subtype (69%).,https://doi.org/10.1370/afm.1116,Causes of persistent dizziness in elderly patients in primary care,full_text
CLM-014,5,"GPs working diagnoses in most cases were of musculoskeletal origin (26.1%), followed by psychological complaints including hyperventilation syndrome (17.0%), cardiac ischaemic disease (14.5%) and gastro-intestinal origin (11.2%)",https://doi.org/10.1136/heartjnl-2016-310905,"Frequency of chest pain in primary care, diagnostic tests performed and final diagnoses",full_text
CLM-015,5,Potentially life-threatening diseases as final diagnosis (such as myocardial infarction) accounted for 8.4% of all chest pain cases.,https://doi.org/10.1136/heartjnl-2016-310905,"Frequency of chest pain in primary care, diagnostic tests performed and final diagnoses",full_text
CLM-016,6,the largest proportion (60–80%) of the total ischemic time (from AMI symptoms onset to the recanalization of the culprit coronary artery) occurs before hospitalization,https://europepmc.org/articles/PMC8432253,Surviving to Acute Myocardial Infarction: The Role of Psychological Factors and Alexithymia in Delayed Time to Searching Care: A Systematic Review,full_text
CLM-017,7,1-year mortality increase by 7.5% for every additional 30 min of prehospital delay (PHD),https://europepmc.org/articles/PMC7066622,A systematic review of educational interventions aiming to reduce prehospital delay in patients with acute coronary syndrome,full_text
CLM-018,6,"longer PHD was associated with the presumed ability to control symptoms and consequential dysfunctional coping strategies, such as taking medications, resting, trying to relax, praying or wishing symptoms would go away.",https://europepmc.org/articles/PMC8432253,Surviving to Acute Myocardial Infarction: The Role of Psychological Factors and Alexithymia in Delayed Time to Searching Care: A Systematic Review,full_text
CLM-019,6,the risk of delaying hospital presentation in patients who did not attribute their symptoms to a cardiac origin was approximately 6.9 times higher than in those who did,https://europepmc.org/articles/PMC8432253,Surviving to Acute Myocardial Infarction: The Role of Psychological Factors and Alexithymia in Delayed Time to Searching Care: A Systematic Review,full_text
CLM-020,8,Forty-one trials involving 6276 patients were included in our analysis.,https://europepmc.org/articles/PMC5892298,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,full_text
CLM-021,8,"Administration of suxiao jiuxin pill significantly improved electrocardiogram (ECG) results when compared with other therapies (RR 1.32, 95% CI 1.26 to 1.38, and P < 0.001).",https://europepmc.org/articles/PMC5892298,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,full_text
CLM-022,8,The majority of the included studies received low Jadad scores due to the lack of a double-blind design,https://europepmc.org/articles/PMC5892298,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,full_text
CLM-023,8,"In this study, we did not analyze cardiovascular death or drug-related complications.",https://europepmc.org/articles/PMC5892298,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,full_text
CLM-024,8,"The most common symptoms were mild headache, dizziness, and facial flushing. Most of these symptoms resolved spontaneously.",https://europepmc.org/articles/PMC5892298,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,full_text
CLM-025,9,"Suxiao Jiuxin Pill, a compound Chinese traditional medicine with main components of tetramethylpyrazine and borneol, is widely used for antiangina treatment in China but its pharmacological effect on human blood vessels is unknown.",https://europepmc.org/articles/PMC3997901,Suxiao Jiuxin Pill Induces Potent Relaxation and Inhibition on Contraction in Human Artery and the Mechanism,full_text
CLM-026,10,Call 999 if: - you get sudden pain or discomfort in your chest that does not go away,https://www.nhs.uk/symptoms/chest-pain/,Chest pain - NHS,official_page
CLM-027,10,"In most cases, chest pain is not caused by a heart problem.",https://www.nhs.uk/symptoms/chest-pain/,Chest pain - NHS,official_page
CLM-028,10,Do not self-diagnose – see a GP if you're worried.,https://www.nhs.uk/symptoms/chest-pain/,Chest pain - NHS,official_page
CLM-029,5,Potentially life-threatening diseases as final diagnosis (such as myocardial infarction) accounted for 8.4% of all chest pain cases.,https://doi.org/10.1136/heartjnl-2016-310905,"Frequency of chest pain in primary care, diagnostic tests performed and final diagnoses",full_text
CLM-031,5,"In 281 (1.26%), chest pain was a reason for consulting the GP … Musculoskeletal pain was the most frequent working (26.1%) and final diagnoses (33.1%).",https://doi.org/10.1136/heartjnl-2016-310905,"Frequency of chest pain in primary care, diagnostic tests performed and final diagnoses",full_text
