claimId,referenceNumber,supportQuote,sourceTitle,identifier,accessLevel
CLM-001,3,Studies found that the incidence of MI is three times higher in the morning compared to late evening.,Circadian rhythms in cardiovascular disease,DOI:10.1093/eurheartj/ehaf367,full_text
CLM-002,4,"Among 10 210 cases of SCA, major cases (8736, 85.6%) were non-shockable and 1474 (14.4%) cases were shockable. The circadian rhythm of SCA was as follows: peak time was from 08:00 to 11:59 (30.1%), while deep valley was from 00:00 to 03:59 (7.5%).",Circadian variation pattern of sudden cardiac arrest occurred in Chinese community,DOI:10.1136/openhrt-2024-002904,full_text
CLM-003,5,"83 239 patients with constipation were matched to 832 384 individuals without constipation. … Constipation was also associated with arterial events, including myocardial infarction (1.24, 95% CI 1.14 to 1.35)",Constipation and risk of cardiovascular diseases: a Danish population-based matched cohort study,DOI:10.1136/bmjopen-2020-037080,full_text
CLM-004,5,"Constipation was strongly associated with venous thromboembolism (aHR 2.04, 95% CI 1.89 to 2.20) … ischaemic stroke (1.50, 95% CI 1.41 to 1.60), haemorrhagic stroke (1.46, 95% CI 1.26 to 1.69) … heart failure (1.52, 95% CI 1.42 to 1.62)",Constipation and risk of cardiovascular diseases: a Danish population-based matched cohort study,DOI:10.1136/bmjopen-2020-037080,full_text
CLM-005,5,"The excess risk of cardiovascular disease was highest during the first year following the diagnosis of constipation, with a 1.5-fold increased risk of myocardial infarction … For myocardial infarction (aHR 1.24, 95% CI 1.14 to 1.35), the E-value was 1.79",Constipation and risk of cardiovascular diseases: a Danish population-based matched cohort study,DOI:10.1136/bmjopen-2020-037080,full_text
CLM-006,6,"Thirteen studies (14 articles) involving 3,710,453 participants were included. Pooled analyses revealed a significant association between constipation and all-cause mortality across different populations: a HR of 1.10 (95% CI 1.02–1.19) for the general population … Conversely, no significant associations were observed for cardiovascular mortality in either the general population (HR 1.19; 95% CI 0.99–1.45)",Association between constipation and risk of cardiovascular or all-cause mortality: a meta-analysis,DOI:10.1080/07853890.2025.2561803,full_text
CLM-007,7,"This population-level matched cohort study compared the association of constipation with hypertension and incident cardiovascular events in 541,172 hospitalized patients aged ≥ 60 years. … Patients with constipation had a higher multivariate-adjusted risk for hypertension (odds ratio [OR], 1.96; 95% confidence interval [CI] 1.94–1.99; P < 0.001). … myocardial infarction (OR, 1.10; 95% CI 1.09–1.12; P < 0.001",Association of constipation with increased risk of hypertension and cardiovascular events in elderly Australian patients,DOI:10.1038/s41598-023-38068-y,full_text
CLM-008,5,"Constipation leads to straining at stool, which has been associated with transient increases in blood pressure.",Constipation and risk of cardiovascular diseases: a Danish population-based matched cohort study,DOI:10.1136/bmjopen-2020-037080,full_text
CLM-009,13,"A total of 174 CCS participants from eight clinical study centers in China were included in the modified intention-to-treat analyses. … Participants with CCS and intolerance to the adverse effects of long-acting nitrates were recruited and randomized to either the SJPs or the placebo group for a duration of 4 weeks. … Specifically, 60.9% of patients treated with SJPs achieved a 20-point or greater improvement in SAQ-SS, while only 39.1% (OR = 2.43, 95% confidence interval [CI] = 1.32 to 4.47, P = 0.004) of patients in the placebo group achieved the same level of improvement",Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates,DOI:10.1186/s12906-024-04661-5,full_text
CLM-010,13,"Suxiao Jiuxin Pill (SJPs) emerges as a prominent traditional Chinese patent medicine utilized for the treatment of acute ischemic heart disease, which was approved by China Food and Drug Administration (CFDA) in 1982 … The pill is composed of Ligusticum striatum DC. … Chuanxiong Rhizoma) and Dryobalanops aromatica C.F.Gaertn. … Borneolum syntheticum).",Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates,DOI:10.1186/s12906-024-04661-5,full_text
CLM-011,15,"Forty-one trials involving 6276 patients were included in our analysis. Administration of suxiao jiuxin pill significantly improved electrocardiogram (ECG) results when compared with other therapies (RR 1.32, 95% CI 1.26 to 1.38, and P < 0.001). … nitroglycerin (RR 1.35, 95% CI 1.16 to 1.56, and P < 0.001)",Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,DOI:10.1155/2018/9745804,full_text
CLM-012,14,The trial will enroll 324 participants with chronic stable angina (Qi Stagnation and Blood Stasis syndrome). … in addition to conventional treatment for 24 weeks … The primary outcomes are the symptom improvement rate of angina from baseline to 4 weeks after inclusion and major adverse cardiovascular events (MACE).,Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol,DOI:10.1186/s13063-021-05448-6,full_text
CLM-013,16,"Suxiao Jiuxin Pill, a compound Chinese traditional medicine with main components of tetramethylpyrazine and borneol … SJP has a potent inhibitory effect on the vasoconstriction mediated by a variety of vasoconstrictors in human arteries.",Suxiao Jiuxin Pill Induces Potent Relaxation and Inhibition on Contraction in Human Artery and the Mechanism,DOI:10.1155/2014/956924,full_text
CLM-014,17,"A total of 4,874 patients were included in the analysis, of whom 28.4% arrived at the hospital within 60 minutes of symptom-onset. … Utilising EMS was the only factor shown to reduce STDT within 60 minutes … The overall frequency of EMS utilisation was low (21.7%).",Pre-hospital delay and emergency medical services in acute myocardial infarction,DOI:10.3904/kjim.2019.123,full_text
CLM-015,18,"We found 18 educational interventions with a total of 180 914 participants … Ten studies yielded no significant effects on the primary outcome while the remaining interventions reported a significant reduction with a decrease between 17 and 324 min (median reduction: 40 min, n=5). The success was partly driven by an increase in emergency medical services use.",A systematic review of educational interventions aiming to reduce prehospital delay in patients with acute coronary syndrome,DOI:10.1136/openhrt-2019-001175,full_text
CLM-016,19,"Chest Pain Means More Than Pain in the Chest. Pain, pressure, tightness, or discomfort in the chest, shoulders, arms, neck, back, upper abdomen, or jaw, as well as shortness of breath and fatigue should all be considered anginal equivalents. … Structured Risk Assessment Should Be Used. For patients presenting with acute or stable chest pain, risk for coronary artery disease and adverse events should be estimated using evidence-based diagnostic protocols.",2021 Guideline for the Evaluation and Diagnosis of Chest Pain (Professional Heart Daily),official-page:3f9e2ebb850bd07f,official_page
