claimId,referenceNumber,sourceTitle,identifier,accessLevel,supportQuote,claim
CLM-001,13,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,PMID:29770157; DOI:10.1155/2018/9745804,full_text,"The 41 studies consisted of 6276 patients with coronary heart disease. … Pooled analysis indicated significant benefits of suxiao jiuxin pill on ECG outcomes (RR 1.32; 95% CI 1.26 to 1.38, P < 0.001).",纳入 41 项随机对照试验、6276 例冠心病患者的 Meta 分析显示，速效救心丸较对照治疗改善心电图结果（RR 1.32，95%CI 1.26 至 1.38，P<0.001）。
CLM-002,13,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,PMID:29770157; DOI:10.1155/2018/9745804,full_text,"The majority of the included studies received low Jadad scores due to the lack of a double-blind design … In this study, we did not analyze cardiovascular death or drug-related complications.",该 Meta 分析纳入的研究多数因缺乏双盲设计获低 Jadad 评分，且未分析心血管死亡结局。
CLM-003,13,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,PMID:29770157; DOI:10.1155/2018/9745804,full_text,"There was no significant difference in the adverse reaction rates between the treatment and the control groups (RR 1.12, 95% CI 0.50 to 2.51, and P = 0.785)",该 Meta 分析报告不良反应发生率在速效救心丸组与对照组之间无显著差异（RR 1.12，95%CI 0.50 至 2.51，P=0.785），最常见为轻度头痛、头晕与面部潮红。
CLM-004,14,"Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study",PMID:39367481; DOI:10.1186/s12906-024-04661-5,full_text,"A total of 174 CCS participants from eight clinical study centers in China were included in the modified intention-to-treat analyses … for a duration of 4 weeks … 60.9% of patients treated with SJPs achieved a 20-point or greater improvement in SAQ-SS, while only 39.1% (OR = 2.43, 95% confidence interval [CI] = 1.32 to 4.47, P = 0.004) of patients in the placebo group achieved the same level of improvement",纳入 174 例对长效硝酸酯不良反应不耐受的慢性冠脉综合征患者的多中心随机双盲安慰剂对照试验显示，4 周后速效救心丸组 SAQ 总分改善 ≥20 分者占 60.9%，安慰剂组为 39.1%（OR 2.43，95%CI 1.32 至 4.47，P=0.004）。
CLM-005,14,"Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study",PMID:39367481; DOI:10.1186/s12906-024-04661-5,full_text,"participants were prohibited from receiving any other anti-anginal therapy-related concomitant medications, Traditional Chinese Medicine therapies (acupuncture, moxibustion, Tuina, or cupping), as well as revascularization therapies (such as coronary artery bypass graft or percutaneous coronary intervention) … Antianginal therapies were commonly prescribed aspirin (73.6%), statin (71.3%), and β-Blockers (54.0%)",该试验治疗期间禁止患者接受 PCI 或 CABG 血运重建，背景治疗以阿司匹林（73.6%）、他汀（71.3%）、β 受体阻滞剂（54.0%）为主。
CLM-006,14,"Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study",PMID:39367481; DOI:10.1186/s12906-024-04661-5,full_text,No participants reported experiencing adverse effects.,该慢性冠脉综合征试验中无参与者报告不良反应。
CLM-007,15,Suxiao Jiuxin Pill attenuates acute myocardial ischemia via regulation of coronary artery tone,PMID:37234713; DOI:10.3389/fphar.2023.1104243,full_text,SJP induced coronary artery relaxation via activation of the eNOS-NO pathway … borneol induced endothelium-independent vasorelaxation of the coronary artery,药理研究显示速效救心丸通过激活 eNOS-NO 通路诱导冠状动脉舒张，其成分冰片呈内皮非依赖性血管舒张。
CLM-008,16,Suxiao Jiuxin Pill alleviates myocardial ischemia–reperfusion injury through the ALKBH5/GSK3β/mTOR pathway,PMID:36959603; DOI:10.1186/s13020-023-00736-6,full_text,"SJP significantly mitigated MIRI in rats, reducing infarct size and myocardial apoptosis, and improving left ventricular function.",速效救心丸在大鼠心肌缺血再灌注损伤模型中缩小梗死面积、减少心肌凋亡并改善左室功能。
CLM-009,17,"Exploring the Complementary Role of Traditional Chinese Medicine in Enhancing Percutaneous Coronary Intervention Outcomes: Mechanisms, Benefits, and Future Research Directions",PMID:40666694; DOI:10.2147/tcrm.s511630,full_text,"a 6-month treatment with Suxiao Jiuxin Pills (comprising Chuanxiong Rhizoma and borneol) in ACS patients post-PCI was associated with a significant reduction in 1-year MACEs (p < 0.05, odds ratio 1.916), alongside improvements in left ventricular ejection fraction (LVEF) and symptoms.",一项 6 个月速效救心丸治疗与 ACS 患者 PCI 后 1 年主要不良心血管事件（MACE）显著下降相关（p<0.05，OR 1.916），并伴随左室射血分数与症状改善。
CLM-010,17,"Exploring the Complementary Role of Traditional Chinese Medicine in Enhancing Percutaneous Coronary Intervention Outcomes: Mechanisms, Benefits, and Future Research Directions",PMID:40666694; DOI:10.2147/tcrm.s511630,full_text,"A review of 20 RCTs showed that TCM plays multiple roles in CAD treatment during PCI. Specific interventions such as Danhong Injection, Tongxinluo Capsule, and Shenzhu Guanxin Granule were found to alleviate angina symptoms, restore cardiac function, reduce cardiac biomarkers, prevent no-reflow/slow-flow phenomena, inhibit in-stent restenosis, and improve prognosis while reducing complications.",该系统综述纳入 20 项 RCT，报告丹红注射液、通心络胶囊等中成药在 PCI 期间缓解心绞痛、改善心功能、减少无复流/慢血流并抑制支架内再狭窄。
CLM-011,18,Traditional Chinese medicine for cardiovascular disease: efficacy and safety,PMID:39691499; DOI:10.3389/fcvm.2024.1419169,full_text,"we systematically reviewed 55 published RCTs (modified Jadad scores > 4) in the past 20 years, involving a total of 36,261 patients … Qingxin jieyu capsule and Suxiaojiuxin pills demonstrated significant advantages in reducing cardiovascular (CV) events ( p < 0.05).","纳入 55 项 RCT（改良 Jadad 评分 >4）、共 36,261 例患者的系统综述报告，速效救心丸与清心解郁胶囊在降低心血管事件方面具有显著优势（p<0.05）。"
