claimId,referenceNumber,sourceUrl,accessLevel,supportQuote
CLM-001,6,https://europepmc.org/articles/PMC7817287,full_text,"A total of 2674 patients from 97 centers were enrolled and randomized between July 2011 and August 2015 … The incidence of the primary endpoint (MACE) was 1.9% (26/1335) in the MUSKARDIA group compared with 2.6% (34/1327) in the placebo group at 24 months (OR = 0.80; 95% CI: 0.45–1.07; P = 0.2869)."
CLM-002,6,https://europepmc.org/articles/PMC7817287,full_text,"At 18 months, the MUSKARDIA group had significantly higher scores than the placebo group for angina stability ( P = 0.0458) and angina frequency ( P = 0.0362). No significant differences were observed in angina stability ( P = 0.9104) and angina frequency ( P = 0.0742) at 24 months"
CLM-003,6,https://europepmc.org/articles/PMC7817287,full_text,"236 patients (17.7%) in the MUSKARDIA group had at least 1 AE, which could be compared with 231 patients (17.1%) in the placebo group ( P = 0.8785)."
CLM-004,7,https://europepmc.org/articles/PMC5892298,full_text,"Forty-one trials involving 6276 patients were included in our analysis. Administration of suxiao jiuxin pill significantly improved electrocardiogram (ECG) results when compared with other therapies (RR 1.32, 95% CI 1.26 to 1.38, and P < 0.001)."
CLM-005,7,https://europepmc.org/articles/PMC5892298,full_text,"The most common symptoms were mild headache, dizziness, and facial flushing. Most of these symptoms resolved spontaneously. There was no significant difference in the adverse reaction rates between the treatment and the control groups (RR 1.12, 95% CI 0.50 to 2.51, and P = 0.785)"
CLM-006,7,https://europepmc.org/articles/PMC5892298,full_text,"Wang D. P. Comparison between suxiao jiuxin pill and shexiang baoxin pill on angina Shanghai Medicine 1996 12 25 26 … Fei W. Comparison between suxiao jiuxin pill and shexiang baoxin pill on angina Medicine Review 2008 14 19 3022 3024"
CLM-007,8,https://europepmc.org/articles/PMC11451125,full_text,"A total of 174 CCS participants from eight clinical study centers in China were included in the modified intention-to-treat analyses … This study consisted of a 2-week screening period followed by a 4-week treatment period … 60.9% of patients treated with SJPs achieved a 20-point or greater improvement in SAQ-SS, while only 39.1% (OR = 2.43, 95% confidence interval [CI] = 1.32 to 4.47, P = 0.004) of patients in the placebo group achieved the same level of improvement … No participants reported experiencing adverse effects."
CLM-008,8,https://europepmc.org/articles/PMC11451125,full_text,"was approved by China Food and Drug Administration (CFDA) in 1982 … The pill is composed of Ligusticum striatum DC. (WFO accession number: wfo-0000362231, family Apiaceae, Chuanxiong Rhizoma) and Dryobalanops aromatica C.F.Gaertn. (WFO accession number: wfo-0000657511, family Dipterocarpaceae, Borneolum syntheticum)"
CLM-009,9,https://europepmc.org/articles/PMC9701736,full_text,"42 articles, involving 6,694 patients were screened among all the 1,374 records in the analysis … (MACE, RR = 0.50, 95% CI: 0.37 to 0.68, p < 0.00001) … (RR = 1.23, 95% CI: 1.19 to 1.28, p < 0.00001) … (RR = 1.34, 95% CI: 1.26 to 1.43, p < 0.00001) … For MACE, and ECG improvement, we downgraded the evidence by one level for serious risk of bias, and the evidence was judged as moderate certainty."
CLM-010,9,https://europepmc.org/articles/PMC9701736,full_text,"the SBP group did not increase the risk of AEs (RR = 0.75, 95% CI: 0.44 to 1.25, p = 0.27; I 2 = 51% … gastrointestinal discomfort, tongue numbness, headache, and rash constitute the most frequently occurring AEs"
CLM-011,9,https://europepmc.org/articles/PMC9701736,full_text,"the adverse reactions of SBP collected from 2017 to 2021 were 346 cases (about 0.027%), 419 cases (about 0.029%), 479 cases (about 0.035%), 581 cases (about 0.040%), and 775 cases (about 0.048%), belonging to the rare range."
CLM-012,10,https://europepmc.org/articles/PMC8652282,full_text,"Nineteen RCTs [ 23 – 41 ] and five PEs [ 42 – 46 ] were included in this study, involving 1849 patients (observation group: 926, control group: 923) … SBP plus RT showed a better clinical efficacy rate than RT alone (RR = 1.15, 95% CI [1.06, 1.25], p < 0.05) … SBP adjunctive to RT plus PCI did not significantly improve the clinical efficacy rate (RR = 1.09, 95% CI [0.89, 1.35], p > 0.05)"
CLM-013,9,https://europepmc.org/articles/PMC9701736,full_text,"since its marketing in 1981 … SBP is a Chinese medicine compound prescription composed of Moschus (the dried preputial secretion of Moschus berezovskii, M. sifanicus or M. moschiferus ), Radix Ginseng ( Panax ginseng C.A.Mey. ), Bovis Calculus Artifactus (the dried gall-stone of Bos taurus domesticus Gmelin ), Cinnamomi Cortex ( Cinnamomum cassia ), Styrax ( Liquidambar orientalis Mill. ), Bufonis Venenum ( Bufo gargarizans ), and Borneolum Syntheticum ( Dryobalanops aromatica C.F.Gaertn. )"
CLM-014,14,https://www.nhs.uk/symptoms/chest-pain/,official_page,"Immediate action required: Call 999 if: … you get sudden pain or discomfort in your chest that does not go away … you get pain that spreads to your left or right arm, or your neck, jaw, stomach or back … you have chest pain and you feel sweaty, sick, light headed or short of breath"
CLM-015,6,https://europepmc.org/articles/PMC7817287,full_text,"Patients were randomly assigned 1:1 to receive oral MUSKARDIA (Hehuang Pharmaceutical Co., Shanghai, China) or placebo for 24 months."
