claimId,referenceNumber,supportQuote,sourceUrl,sourceTitle,artifactPath,identifier,accessLevel
CLM-002,2,"This was a multicenter, randomized, double-blind, placebo-controlled trial. A total of 174 CCS participants from eight clinical study centers in China were included in the modified intention-to-treat analyses … for a duration of 4 weeks.",https://europepmc.org/articles/PMC11451125,"Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study",.evimed-sources/PMC11451125/fulltext.md,DOI:10.1186/s12906-024-04661-5,full_text
CLM-003,2,"During the 4-week treatment period … Telephone or outpatient follow-up was conducted once a week, and participants were asked whether they had experienced any adverse events … No participants reported experiencing adverse effects.",https://europepmc.org/articles/PMC11451125,"Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study",.evimed-sources/PMC11451125/fulltext.md,DOI:10.1186/s12906-024-04661-5,full_text
CLM-004,2,"During the 4-week treatment period, all participants were instructed to orally administer the study medication sublingually after meals, three times a day, taking 5 capsules each time (total of 15 capsules per day), continuously for 4 weeks.",https://europepmc.org/articles/PMC11451125,"Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study",.evimed-sources/PMC11451125/fulltext.md,DOI:10.1186/s12906-024-04661-5,full_text
CLM-005,2,"each pill of SJPs is required to contain a minimum of 15.0 μg of Ligusticum chuanxiong, expressed in terms of ferulic acid (C 10 H 10 O 4 ), and 2.9 to 4.4 mg of Borneolum syntheticum, expressed in terms of Borneol (C 10 H 18 O)",https://europepmc.org/articles/PMC11451125,"Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study",.evimed-sources/PMC11451125/fulltext.md,DOI:10.1186/s12906-024-04661-5,full_text
CLM-006,3,Forty-one trials involving 6276 patients were included in our analysis … The majority of the included studies received low Jadad scores due to the lack of a double-blind design,https://europepmc.org/articles/PMC5892298,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,.evimed-sources/PMC5892298/fulltext.md,DOI:10.1155/2018/9745804,full_text
CLM-007,3,"Fourteen studies reported the incidence of adverse reactions. The most common symptoms were mild headache, dizziness, and facial flushing … There was no significant difference in the adverse reaction rates between the treatment and the control groups (RR 1.12, 95% CI 0.50 to 2.51, and P = 0.785)",https://europepmc.org/articles/PMC5892298,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,.evimed-sources/PMC5892298/fulltext.md,DOI:10.1155/2018/9745804,full_text
CLM-008,6,"Safety assessment will be based on vital signs, laboratory examinations, and adverse events. Vital signs will include the respiratory rate, blood pressure, and heart rate.",https://europepmc.org/articles/PMC8287819,"Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial",.evimed-sources/PMC8287819/fulltext.md,DOI:10.1186/s13063-021-05448-6,full_text
CLM-011,4,"Human IMA ( n = 78, from 30 patients) segments were obtained from patients undergoing CABG … Suxiao Jiuxin Pill caused full relaxation in KCl- and U46619-precontracted IMA rings (99.4 ± 10.5% for KCl; 99.9 ± 5.6% for U46619; n = 6 in each group).",https://europepmc.org/articles/PMC3997901,Suxiao Jiuxin Pill Induces Potent Relaxation and Inhibition on Contraction in Human Artery and the Mechanism,.evimed-sources/PMC3997901/fulltext.md,DOI:10.1155/2014/956924,full_text
CLM-012,4,widely used for antiangina treatment in China but its pharmacological effect on human blood vessels is unknown,https://europepmc.org/articles/PMC3997901,Suxiao Jiuxin Pill Induces Potent Relaxation and Inhibition on Contraction in Human Artery and the Mechanism,.evimed-sources/PMC3997901/fulltext.md,DOI:10.1155/2014/956924,full_text
CLM-013,5,SJP induced coronary artery relaxation via activation of the eNOS-NO pathway,https://europepmc.org/articles/PMC10206061,Suxiao Jiuxin Pill attenuates acute myocardial ischemia via regulation of coronary artery tone,.evimed-sources/PMC10206061/fulltext.md,DOI:10.3389/fphar.2023.1104243,full_text
CLM-014,2,Previous studies have indicated that 45% of patients with coronary heart disease suffer from nitrate-induced headache,https://europepmc.org/articles/PMC11451125,"Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study",.evimed-sources/PMC11451125/fulltext.md,DOI:10.1186/s12906-024-04661-5,full_text
CLM-018,15,"Call 999 if: … you have chest pain and you feel sweaty, sick, light headed or short of breath … You could be having a heart attack. Call 999 straight away as you need immediate treatment in hospital.",https://www.nhs.uk/symptoms/chest-pain/,Chest pain - NHS,.evimed-sources/official-pages/e6143b76645a9461/page.md,official-page:e6143b76645a9461,official_page
CLM-019,16,"The assessment instruments employed JAMA, mDISCERN, GQS, and PEMAT … to assess informational quality, transparency, understandability, and actionability within a digital health communication framework. They do not evaluate therapeutic validity or clinical efficacy.",https://europepmc.org/articles/PMC13043423,Assessment of quality and reliability of Chinese-language myocardial infarction content on Bilibili and TikTok: a cross-sectional study,.evimed-sources/PMC13043423/fulltext.md,DOI:10.3389/fpubh.2026.1748168,full_text
CLM-020,16,"Common medications, such as nitroglycerin, aspirin, and Suxiao Jiuxin Wan, were rarely discussed, and some content failed to indicate the applicable population and contraindications",https://europepmc.org/articles/PMC13043423,Assessment of quality and reliability of Chinese-language myocardial infarction content on Bilibili and TikTok: a cross-sectional study,.evimed-sources/PMC13043423/fulltext.md,DOI:10.3389/fpubh.2026.1748168,full_text
CLM-021,6,The trial will enroll 324 participants with chronic stable angina (Qi Stagnation and Blood Stasis syndrome) … for 24 weeks,https://europepmc.org/articles/PMC8287819,"Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial",.evimed-sources/PMC8287819/fulltext.md,DOI:10.1186/s13063-021-05448-6,full_text
CLM-022,3,"A total of 174 CCS participants from eight clinical study centers in China were included in the modified intention-to-treat analyses … No participants reported experiencing adverse effects. | Forty-one trials involving 6276 patients were included in our analysis … There was no significant difference in the adverse reaction rates between the treatment and the control groups (RR 1.12, 95% CI 0.50 to 2.51, and P = 0.785)",https://europepmc.org/articles/PMC11451125,"Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study",.evimed-sources/PMC11451125/fulltext.md,"synthesized(2,3)",full_text
