claimId,referenceNumber,supportQuote,sourceTitle,accessLevel
CLM-001,1,"Immediate action required: Call 999 if: … you get sudden pain or discomfort in your chest that does not go away – the pain can feel like squeezing or pressure inside your chest, burning or indigestion … you get pain that spreads to your left or right arm, or your neck, jaw, stomach or back … you have chest pain and you feel sweaty, sick, light headed or short of breath … You could be having a heart attack. Call 999 straight away as you need immediate treatment in hospital.","Chest pain - NHS",official_page
CLM-002,1,"Starts after chest injury or chest exercise, may get worse when you breathe in, feels better when resting the muscle","Chest pain - NHS",official_page
CLM-004,2,"We included 172 studies providing data on the diagnostic value of 42 symptoms and signs. … none of these clinical findings showed in isolation a sufficient diagnostic accuracy for safely ruling in or ruling out myocardial ischemia in patients presenting with chest pain.","Does the patient with chest pain have a coronary heart disease? Diagnostic value of single symptoms and signs – a meta-analysis",full_text
CLM-005,2,"exertional pain (pLR = 2.13) … for diagnosing stable CHD","Does the patient with chest pain have a coronary heart disease? Diagnostic value of single symptoms and signs – a meta-analysis",full_text
CLM-006,2,"pain reproducible by palpation (pLR = 0.13) for predicting MCE","Does the patient with chest pain have a coronary heart disease? Diagnostic value of single symptoms and signs – a meta-analysis",full_text
CLM-007,2,"pain related to breathing might be helpful for ruling out myocardial ischemia, with pLR ranging from 0.20 to 0.36 in primary studies","Does the patient with chest pain have a coronary heart disease? Diagnostic value of single symptoms and signs – a meta-analysis",full_text
CLM-008,3,"Studies of high quality and rigor consistently yield an incidence of 1:50,000 AYs in college athletes and between 1:50,000 and 1:80,000 AYs for high school athletes","Incidence and Etiology of Sudden Cardiac Death: New Updates for Athletic Departments",full_text
CLM-009,3,"men (1:37,790 AYs; incidence rate ratio, 3.2 compared with women), African American athletes (1:21,491 AYs; incidence rate ratio, 3.2 compared with Caucasian athletes), and basketball players (1:8978 AYs)","Incidence and Etiology of Sudden Cardiac Death: New Updates for Athletic Departments",full_text
CLM-010,3,"The most common diagnosis yielded by the cardiac pathologist was a structurally normal heart (45%), followed by cardiomyopathy (29%), and coronary artery anomaly (10%)","Incidence and Etiology of Sudden Cardiac Death: New Updates for Athletic Departments",full_text
CLM-011,3,"These signs and symptoms include those who present with exertional syncope, unexplained seizures, or a family history of early sudden death.","Incidence and Etiology of Sudden Cardiac Death: New Updates for Athletic Departments",full_text
CLM-012,3,"the majority of athletes (60%-80%) are asymptomatic prior to their arrest","Incidence and Etiology of Sudden Cardiac Death: New Updates for Athletic Departments",full_text
CLM-013,4,"Among 24 620 consultations, we observed 672 cases of chest pain and 300 (44.6%) patients had a diagnosis of chest wall syndrome. … thoracic wall pain 51% (CWS 44.6%, traumatic 4%, divers 2.4%), cardiovascular diseases 16% (coronary artery diseases CAD 12.5%, non CAD 3.4%)","Chest wall syndrome among primary care patients: a cohort study",full_text
CLM-014,4,"CWS coexisted with coronary disease in 19 … half of patients with angina pectoris have tender points … half patients with chest wall tenderness suffer from coronary heart disease","Chest wall syndrome among primary care patients: a cohort study",full_text
CLM-015,4,"One patient was newly diagnosed with myocardial infarction and 3 with coronary heart disease … the initial diagnosis of CWS was abandoned in 16 patients for whom oesophagitis (7), anxiety or somatizing (4), coronary heart disease (3), lung cancer (1) and parietal metastases (1) were diagnosed.","Chest wall syndrome among primary care patients: a cohort study",full_text
CLM-016,5,"In 281 (1.26%), chest pain was a reason for consulting the GP … Musculoskeletal pain was the most frequent working (26.1%) and final diagnoses (33.1%). Potentially life-threatening diseases as final diagnosis (such as myocardial infarction) accounted for 8.4% of all chest pain cases.","Frequency of chest pain in primary care, diagnostic tests performed and final diagnoses",full_text
CLM-017,5,"In two cases (0.7% of all chest pain patients), a mild working diagnosis was suspected, whereas the final diagnosis was a life-threatening cardiovascular","Frequency of chest pain in primary care, diagnostic tests performed and final diagnoses",full_text
CLM-018,5,"the pre-consulta- … tion probability of an unstable ischaemic cardiac disease in case of chest pain is no more than 6.5%","Frequency of chest pain in primary care, diagnostic tests performed and final diagnoses",full_text
CLM-019,2,"none of these clinical findings showed in isolation a sufficient diagnostic accuracy for safely ruling in or ruling out myocardial ischemia in patients presenting with chest pain.","Does the patient with chest pain have a coronary heart disease? Diagnostic value of single symptoms and signs – a meta-analysis",full_text
