claimId,claimType,referenceNumber,referenceNumbers,sourceUrl,sourceTitle,artifactPath,identifier,accessLevel,supportQuote
CLM-001,direct,2,2,https://europepmc.org/articles/PMC8287819,"Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial",.evimed-sources/PMC8287819/fulltext.md,DOI:10.1186/s13063-021-05448-6; PMCID:PMC8287819,full_text,"Suxiao Jiuxin Pill (SJP, produced by Tianjin Zhongxin Pharmaceutical Group Co, Ltd.) is a patented drug made of active ingredients from Chuanxiong and Borneol, and it has the effect of regulating Qi and promoting blood circulation. SJP can increase coronary blood flow, improve myocardial cell hypoxia, and relieve angina pectoris similar to nitroglycerin"
CLM-002,direct,2,2,https://europepmc.org/articles/PMC8287819,"Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial",.evimed-sources/PMC8287819/fulltext.md,DOI:10.1186/s13063-021-05448-6; PMCID:PMC8287819,full_text,SJP is composed of tetramethylpyrazine and borneol approval number Z12020025 of the China State Food and Drug Administration [SFDA]). … Each pill weighs 40 mg.
CLM-003,direct,2,2,https://europepmc.org/articles/PMC8287819,"Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial",.evimed-sources/PMC8287819/fulltext.md,DOI:10.1186/s13063-021-05448-6; PMCID:PMC8287819,full_text,Age 18 to 80 years; … Diagnosed with CHD; … TCM diagnosis of Qi stagnation and blood stasis syndrome; and
CLM-004,direct,2,2,https://europepmc.org/articles/PMC8287819,"Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial",.evimed-sources/PMC8287819/fulltext.md,DOI:10.1186/s13063-021-05448-6; PMCID:PMC8287819,full_text,"Chest pain caused by other diseases, such as psychosis, severe neurosis, hyperthyroidism, biliary heart syndrome, gastroesophageal reflux, and aortic dissection;"
CLM-005,direct,2,2,https://europepmc.org/articles/PMC8287819,"Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial",.evimed-sources/PMC8287819/fulltext.md,DOI:10.1186/s13063-021-05448-6; PMCID:PMC8287819,full_text,"The primary outcome is the effect in angina pectoris, a composite endpoint of cardiovascular events (cardiac death, nonfatal myocardial infarction, revascularization with PCI or coronary artery bypass graft, heart failure, and hospitalization for coronary heart disease)."
CLM-006,direct,3,3,https://www.nhs.uk/symptoms/chest-pain/,Chest pain - NHS,.evimed-sources/official-pages/e6143b76645a9461/page.md,"NHS (nhs.uk/symptoms/chest-pain), reviewed 08 August 2023",official_page,Most chest pain is not a sign of anything serious but get medical advice just in case.
CLM-007,direct,3,3,https://www.nhs.uk/symptoms/chest-pain/,Chest pain - NHS,.evimed-sources/official-pages/e6143b76645a9461/page.md,"NHS (nhs.uk/symptoms/chest-pain), reviewed 08 August 2023",official_page,"Immediate action required: Call 999 if: … you get sudden pain or discomfort in your chest that does not go away … you have chest pain and you feel sweaty, sick, light headed or short of breath"
CLM-008,direct,3,3,https://www.nhs.uk/symptoms/chest-pain/,Chest pain - NHS,.evimed-sources/official-pages/e6143b76645a9461/page.md,"NHS (nhs.uk/symptoms/chest-pain), reviewed 08 August 2023",official_page,"In most cases, chest pain is not caused by a heart problem. … Do not self-diagnose – see a GP if you're worried."
CLM-010,direct,4,4,https://europepmc.org/articles/PMC9473420,Symptoms and ECG changes precede sudden cardiac death in hypertrophic cardiomyopathy—A nationwide study among the young in Sweden,.evimed-sources/PMC9473420/fulltext.md,DOI:10.1371/journal.pone.0273567; PMCID:PMC9473420; PMID:36103477,full_text,"Thirty-eight cases (7 female), mean age 22 years, with HCM were identified. Among these, 71% presented with possible cardiac symptoms (chest pain [26%], syncope [22%], palpitations [37%]), before death; 69% received medical care (vs 21% in controls) within 180 days before death. … The SUDDY database (The Swedish study of SUDden cardiac Death in the Young) comprises 903 individuals that died from SCD in Sweden aged 0–35, from January 1, 2000 until December 31, 2010"
CLM-011,direct,4,4,https://europepmc.org/articles/PMC9473420,Symptoms and ECG changes precede sudden cardiac death in hypertrophic cardiomyopathy—A nationwide study among the young in Sweden,.evimed-sources/PMC9473420/fulltext.md,DOI:10.1371/journal.pone.0273567; PMCID:PMC9473420; PMID:36103477,full_text,"Even though, inevitably, all information had to be collected retrospectively, this might cause an over-interpretation of possible cardiac symptoms when reviewing medical records as well as interviewing relatives (recall bias)."
