claimId,referenceNumber,sourceTitle,accessLevel,sourceUrl,supportQuote
CLM-001,2,"Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial",full_text,https://europepmc.org/articles/PMC8287819,"Suxiao Jiuxin Pill (SJP, produced by Tianjin Zhongxin Pharmaceutical Group Co, Ltd.) is a patented drug made of active ingredients from Chuanxiong and Borneol, and it has the effect of regulating Qi and promoting blood circulation. … SJP is composed of tetramethylpyrazine and borneol approval number Z12020025 of the China State Food and Drug Administration"
CLM-002,2,"Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial",full_text,https://europepmc.org/articles/PMC8287819,The trial will enroll 324 participants with chronic stable angina (Qi Stagnation and Blood Stasis syndrome). … Age 18 to 80 years
CLM-003,2,"Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial",full_text,https://europepmc.org/articles/PMC8287819,"This is a prospective, randomized, double-blind, placebo-controlled, and multicenter trial. … Eligible participants will receive either SJP or placebo (five pills administered orally, three times daily) in addition to conventional treatment for 24 weeks."
CLM-004,3,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,full_text,https://europepmc.org/articles/PMC5892298,"Forty-one trials involving 6276 patients were included in our analysis. Administration of suxiao jiuxin pill significantly improved electrocardiogram (ECG) results when compared with other therapies (RR 1.32, 95% CI 1.26 to 1.38, and P < 0.001). … However, there was significant heterogeneity between studies with respect to ECG results ( I 2 = 62.3%)."
CLM-005,3,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,full_text,https://europepmc.org/articles/PMC5892298,The mean age in the treatment group was 57.57 ± 8.15 years and 54.10% of the patients were male.
CLM-006,3,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,full_text,https://europepmc.org/articles/PMC5892298,"The most common symptoms were mild headache, dizziness, and facial flushing. Most of these symptoms resolved spontaneously. There was no significant difference in the adverse reaction rates between the treatment and the control groups (RR 1.12, 95% CI 0.50 to 2.51, and P = 0.785)"
CLM-007,5,Association of Vasomotor and Other Menopausal Symptoms with Risk of Cardiovascular Disease: A Systematic Review and Meta-Analysis,full_text,https://europepmc.org/articles/PMC4912069,Further adjustment for established cardiovascular risk factors and potential mediators attenuated but did not abolish the associations of VMS (RR = 1.28; 95%CI = 1.08; 1.52) and of any menopausal symptoms (RR = 1.18; 95%CI = 1.03; 1.35) with CHD.
CLM-008,5,Association of Vasomotor and Other Menopausal Symptoms with Risk of Cardiovascular Disease: A Systematic Review and Meta-Analysis,full_text,https://europepmc.org/articles/PMC4912069,Only one study examined the association between VMS and the risk of CVD and showed a RR adjusted for age and potential risk factors of 1.54 (1.27–1.86) … Multiple adjustment for established cardiovascular risk factors attenuated the overall RRs: 1.23 (95% CI: 1.00–1.52) for VMS
CLM-009,5,Association of Vasomotor and Other Menopausal Symptoms with Risk of Cardiovascular Disease: A Systematic Review and Meta-Analysis,full_text,https://europepmc.org/articles/PMC4912069,50.3%[ 2 ] to 82.1%[ 3 ] of menopausal women experience VMS
CLM-010,6,A systematic review of heart rate variability and menopausal vasomotor symptoms,full_text,https://europepmc.org/articles/PMC13167700,Three studies were suitable for meta‐analysis. The pooled analysis revealed no difference in low frequency (LF) in women with VMS compared to those without VMS (Difference in means: 2.715 [95% CI: −0.124 to 5.555]; p = 0.06). There were no group differences in high frequency (HF) ( p = 0.11). … a total of 231 study participants were reported … n = 3
