"claimId","referenceNumber","supportQuote","claim","sourceTitle","sourceUrl","accessLevel"
"CLM-001","2","SJP is composed of tetramethylpyrazine and borneol approval number Z12020025 of the China State Food and Drug Administration [SFDA]). … Each pill weighs 40 mg.","速效救心丸由川芎嗪（tetramethylpyrazine）与冰片（borneol）组成，批准文号为国药准字Z12020025，每丸重 40 mg。","Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial","https://europepmc.org/articles/PMC8287819","full_text"
"CLM-002","2","it has the effect of regulating Qi and promoting blood circulation. SJP can increase coronary blood flow, improve myocardial cell hypoxia, and relieve angina pectoris similar to nitroglycerin","本品功能为理气活血，可增加冠脉血流量、改善心肌细胞缺氧、缓解心绞痛，作用与硝酸甘油相似。","Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial","https://europepmc.org/articles/PMC8287819","full_text"
"CLM-003","2","The trial will enroll 324 participants with chronic stable angina (Qi Stagnation and Blood Stasis syndrome).","本品随机对照试验纳入 324 例慢性稳定型心绞痛（气滞血瘀证）患者，纳入标准要求确诊冠心病。","Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial","https://europepmc.org/articles/PMC8287819","full_text"
"CLM-004","2","However, the evidence remains weak due to the poor methodological quality of included studies [ 7 ].","本品治疗心绞痛的既有证据因纳入研究方法学质量差而薄弱。","Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial","https://europepmc.org/articles/PMC8287819","full_text"
"CLM-005","2","A systematic review including 41 trials involving 6276 participants was included in the analysis.","纳入 41 项试验、6276 人的荟萃分析被转述为按 Jadad 评分多数研究质量低。","Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial","https://europepmc.org/articles/PMC8287819","full_text"
"CLM-006","11","Data were collected from November 2014 to December 2019 as part of the Improving Care for Cardiovascular Disease in China-Acute Coronary Syndrome (CCC-ACS) project. A total of 33,386 patients with AMI admitted to the index hospitals were included in this study.","中国急性心肌梗死登记（CCC-ACS）纳入 33,386 例急性心肌梗死患者。","Pre-hospital delay in patients with acute myocardial infarction in China: findings from the Improving Care for Cardiovascular Disease in China-Acute Coronary Syndrome (CCC-ACS) project","https://europepmc.org/articles/PMC9068590","full_text"
"CLM-007","11","The median pre-hospital delay of patients with AMI was 3.3 (1.6–7.0) h. … Overall, 70.7% of patients with AMI arrived at hospital ≥ 2 h after symptom onset … and 30.2% of patients with AMI presented for medical care more than 6 h after symptom onset","该登记院前延迟中位 3.3 小时，70.7% 的患者在症状出现 ≥2 小时后到院，30.2% 超过 6 小时。","Pre-hospital delay in patients with acute myocardial infarction in China: findings from the Improving Care for Cardiovascular Disease in China-Acute Coronary Syndrome (CCC-ACS) project","https://europepmc.org/articles/PMC9068590","full_text"
"CLM-008","11","more than 80% of patients in this analysis avoided calling for an emergency ambulance","该登记中 >80% 的患者未呼叫急救救护车。","Pre-hospital delay in patients with acute myocardial infarction in China: findings from the Improving Care for Cardiovascular Disease in China-Acute Coronary Syndrome (CCC-ACS) project","https://europepmc.org/articles/PMC9068590","full_text"
"CLM-009","11","Many patients initially fail to recognize myocardial infarction symptoms and misattribute their symptoms to other causes, which may lead to a longer decision delay.","许多患者最初未识别心肌梗死症状、将症状错误归因于其他原因，从而延长决策延迟。","Pre-hospital delay in patients with acute myocardial infarction in China: findings from the Improving Care for Cardiovascular Disease in China-Acute Coronary Syndrome (CCC-ACS) project","https://europepmc.org/articles/PMC9068590","full_text"
"CLM-010","11","A pre-hospital delay of ≥ 2 h was associated with an increased risk of mortality [odds ratio (OR) = 1.36, 95% CI: 1.09–1.69, P = 0.006] and major adverse cardiovascular events (OR = 1.22, 95% CI: 1.02–1.47, P = 0.033) in patients with STEMI","STEMI 患者院前延迟 ≥2 小时与院内死亡风险升高相关（OR 1.36，95%CI 1.09–1.69）。","Pre-hospital delay in patients with acute myocardial infarction in China: findings from the Improving Care for Cardiovascular Disease in China-Acute Coronary Syndrome (CCC-ACS) project","https://europepmc.org/articles/PMC9068590","full_text"
