claimId,referenceNumber,sourceTitle,identifier,accessLevel,supportQuote,applicability,uncertainty
CLM-001,4,"Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study","PMID:39367481; PMCID:PMC11451125","full_text","60.9% of patients treated with SJPs achieved a 20-point or greater improvement in SAQ-SS, while only 39.1% (OR = 2.43, 95% confidence interval [CI] = 1.32 to 4.47, P = 0.004) of patients in the placebo group achieved the same level of improvement","对长效硝酸酯不良反应不耐受的慢性冠脉综合征患者，常规治疗基础上加用，疗程4周","单项试验；4周短疗程，不能外推至三个月以上持续用药"
CLM-002,4,"Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study","PMID:39367481; PMCID:PMC11451125","full_text","the SJPs intervention resulted in an improvement of 5.68 (95% CI = 2.37 to 8.99, P < 0.001, SJPs vs. placebo: 15.46 vs. 9.78 ) for the summary score in SAQ (SAQ-SS)","慢性冠脉综合征、硝酸酯不耐受人群，4周疗程","单项试验；SAQ为症状/生活质量量表，非硬终点"
CLM-003,4,"Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study","PMID:39367481; PMCID:PMC11451125","full_text","No participants reported experiencing adverse effects. Next, serum levels of AST, ALT, BUN, CR, and UA were measured to assess the presence of abnormalities associated with SJPs in liver and kidney function. Although the laboratory indicators in the SJPs group were higher than those in the placebo group, the differences did not reach statistical significance","4周短疗程的附带安全记录，非以安全性为终点的长期研究","疗程仅4周，样本量174例，不足以评估长期肝肾功能影响"
CLM-004,4,"Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study","PMID:39367481; PMCID:PMC11451125","full_text","each pill of SJPs is required to contain a minimum of 15.0 μg of Ligusticum chuanxiong, expressed in terms of ferulic acid (C 10 H 10 O 4 ), and 2.9 to 4.4 mg of Borneolum syntheticum, expressed in terms of Borneol","方中冰片为合成冰片（Borneolum syntheticum），与该药说明书及药典标准一致","合成冰片与天然冰片的毒理学差异尚未在人体长期暴露中验证"
CLM-005,5,"Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials","PMID:29770157; PMCID:PMC5892298","full_text","Forty-one trials involving 6276 patients were included in our analysis. Administration of suxiao jiuxin pill significantly improved electrocardiogram (ECG) results when compared with other therapies (RR 1.32, 95% CI 1.26 to 1.38, and P < 0.001).","中国冠心病人群，短疗程；心电图改善为替代终点","纳入试验方法学质量低，异质性高（I2=62.3%），疗程以周计"
CLM-006,5,"Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials","PMID:29770157; PMCID:PMC5892298","full_text","Fourteen studies reported the incidence of adverse reactions. The most common symptoms were mild headache, dizziness, and facial flushing. … There was no significant difference in the adverse reaction rates between the treatment and the control groups (RR 1.12, 95% CI 0.50 to 2.51, and P = 0.785)","短疗程试验的附带安全性记录，多数不良反应自行缓解","非以安全性为目的的长期研究，未提供长期暴露下的发生率"
CLM-007,5,"Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials","PMID:29770157; PMCID:PMC5892298","full_text","Studies with a score less than 3 were considered as low quality studies with high bias risk. … The majority of the included studies received low Jadad scores due to the lack of a double-blind design","对短疗程随机对照证据体方法学质量的评价","Jadad评分低于3分仅反映报告质量，不等于无效"
CLM-008,3,"Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial","PMID:34281600; PMCID:PMC8287819","full_text","The primary outcomes are the symptom improvement rate of angina from baseline to 4 weeks after inclusion and major adverse cardiovascular events (MACE).","气滞血瘀型稳定型心绞痛，常规治疗基础上加用，疗程24周","主要疗效终点设在第4周，第12、24周为次要分析"
CLM-009,10,"Research Advances in Cardio-Cerebrovascular Diseases of Ligusticum chuanxiong Hort.","PMID:35173614; PMCID:PMC8841966","full_text","In the CX gavage experiment, mice's LD 50 is 7.26 g/kg, or 1460 times the maximum clinical dose of CX. … Zhang (2014) measured that the LD50 of mice was 1594.92 mg/kg after a single intragastric administration of CX volatile oil.","动物急性毒性数据，用于提示川芎的安全窗口","急性LD50不能直接回答长期重复给药的安全性"
CLM-010,10,"Research Advances in Cardio-Cerebrovascular Diseases of Ligusticum chuanxiong Hort.","PMID:35173614; PMCID:PMC8841966","full_text","Xia et al. (2018) found that under the 16-fold clinical dose, the decoction of CX may increase mouse fetal stillbirth and absorption fetus, cause sternum and limb bone deformities, and have weak embryotoxicity.","动物胚胎毒性研究，与说明书妊娠禁忌方向一致","为16倍临床剂量的动物研究，非人体妊娠期数据；系该综述对他人研究的转述"
CLM-011,10,"Research Advances in Cardio-Cerebrovascular Diseases of Ligusticum chuanxiong Hort.","PMID:35173614; PMCID:PMC8841966","full_text","CX has few adverse reactions in clinical application, mainly facial flushing and emotional agitation","川芎单味药临床应用的汇总描述","无发生率与分母，属综述转述，非系统不良反应监测"
CLM-012,10,"Research Advances in Cardio-Cerebrovascular Diseases of Ligusticum chuanxiong Hort.","PMID:35173614; PMCID:PMC8841966","full_text","The potential mechanisms of cardio-cerebrovascular protection are related to antiplatelet aggregation, antithrombotic, antioxidant, anti-inflammatory, inhibition of abnormal proliferation of VSMCs, and neuroprotection","川芎成分的药理活性，提示与抗血小板/抗凝药物潜在相加的出血风险方向","为体外/药理机制证据，未检索到人体临床相互作用研究"
CLM-013,3,"Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial","PMID:34281600; PMCID:PMC8287819","full_text","During the treatment period, eligible patients will be given SJP or placebo pills and they will have to take 5 pills of the study medication three times daily. … A total of 324 participants will be included.","气滞血瘀型稳定型心绞痛，常规治疗基础上加用","该试验结果论文仅到摘要层级；检索未发现其他疗程≥3个月的前瞻性研究"
CLM-014,5,"Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials","PMID:29770157; PMCID:PMC5892298","full_text","The majority of the included studies received low Jadad scores due to the lack of a double-blind design","对现有随机对照证据体整体方法学与疗程的评价","疗程长短未在荟萃分析中逐项提取，短疗程为主系由纳入研究特征推断"
CLM-017,5,"Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials","PMID:29770157; PMCID:PMC5892298","full_text","Significant lower total cholesterol levels were reported in the suxiao jiuxin pill group compared with the control group (WMD −0.62 mmol/L, 95% CI −1.06 to –0.18 mmol/L, and P = 0.005). … There were significantly lower LDL levels in the treatment group compared with the control group (WMD −1.12 mmol/L, 95% CI −1.42 to −0.82 mmol/L, and P < 0.001) … significantly higher HDL levels in the treatment group compared with the control group (WMD 0.32 mmol/L, 95% CI 0.07 to 0.58 mmol/L, and P = 0.014)","中国冠心病人群、短疗程；血脂为次要结局","纳入试验异质性高（总胆固醇I2=77.1%），血脂亚组样本量小"

