claimId,referenceNumber,supportQuote,accessLevel,identifier,sourceTitle
CLM-001,1,"The hemodynamic and anti-ischemic effects of organic nitrates are rapidly lost upon long-term (low-dose) administration due to the rapid development of tolerance and endothelial dysfunction, which is in most cases linked to increased intracellular oxidative stress.",full_text,PMID:26261901,"Organic Nitrate Therapy, Nitrate Tolerance, and Nitrate-Induced Endothelial Dysfunction: Emphasis on Redox Biology and Oxidative Stress"
CLM-002,1,"Acute high-dose challenges with organic nitrates cause a similar loss of potency (tachyphylaxis), but with distinct pathomechanism.",full_text,PMID:26261901,"Organic Nitrate Therapy, Nitrate Tolerance, and Nitrate-Induced Endothelial Dysfunction: Emphasis on Redox Biology and Oxidative Stress"
CLM-003,1,"In 2002, Chen et al. identified the mitochondrial isoform of aldehyde dehydrogenase (ALDH-2) as a key enzyme in a clinically relevant (high affinity) bioactivation process of GTN",full_text,PMID:26261901,"Organic Nitrate Therapy, Nitrate Tolerance, and Nitrate-Induced Endothelial Dysfunction: Emphasis on Redox Biology and Oxidative Stress"
CLM-004,1,"Enzymatic sources of reactive oxygen species under nitrate therapy include mitochondria, NADPH oxidases, and an uncoupled … synthase.",full_text,PMID:26261901,"Organic Nitrate Therapy, Nitrate Tolerance, and Nitrate-Induced Endothelial Dysfunction: Emphasis on Redox Biology and Oxidative Stress"
CLM-005,1,Tolerance toward the hemodynamic effects of GTN can be avoided by treatment regimens with nitrate-free intervals of at least 12 h that allow regeneration of the GTN bioactivating enzymes as well as antioxidant defense systems,full_text,PMID:26261901,"Organic Nitrate Therapy, Nitrate Tolerance, and Nitrate-Induced Endothelial Dysfunction: Emphasis on Redox Biology and Oxidative Stress"
CLM-006,1,"withdrawal of nitrate therapy results in the development of rebound ischemia, likely associated with the unrestrained effect of endothelial dysfunction and hypersensitivity to vasoconstrictors",full_text,PMID:26261901,"Organic Nitrate Therapy, Nitrate Tolerance, and Nitrate-Induced Endothelial Dysfunction: Emphasis on Redox Biology and Oxidative Stress"
CLM-007,1,"After 6 and 12 weeks of treatment, patients underwent treadmill exercising tests as a functional readout of exercise capacity",full_text,PMID:26261901,"Organic Nitrate Therapy, Nitrate Tolerance, and Nitrate-Induced Endothelial Dysfunction: Emphasis on Redox Biology and Oxidative Stress"
CLM-008,3,"TMP undergoes phase I metabolism by the action of CYP1A2, 2C9, and 3A4 (CYP isoforms) in mice and human liver microsomes",full_text,PMID:27314011,Cardiovascular Actions and Therapeutic Potential of Tetramethylpyrazine (Active Component Isolated from Rhizoma Chuanxiong): Roles and Mechanisms
CLM-009,3,Treatment of LS174 T cells with TMP results in an increase in CYP3A4 mRNA owing to pregnane X receptor activation,full_text,PMID:27314011,Cardiovascular Actions and Therapeutic Potential of Tetramethylpyrazine (Active Component Isolated from Rhizoma Chuanxiong): Roles and Mechanisms
CLM-010,3,TMP is rapidly metabolized and has a short half-life and low bioavailability,full_text,PMID:27314011,Cardiovascular Actions and Therapeutic Potential of Tetramethylpyrazine (Active Component Isolated from Rhizoma Chuanxiong): Roles and Mechanisms
CLM-011,3,TMP opens potassium channels lowering calcium influx into the cultured aortic smooth muscle cells … TMP inhibits I Ca-L in a concentration-dependent manner in both rat,full_text,PMID:27314011,Cardiovascular Actions and Therapeutic Potential of Tetramethylpyrazine (Active Component Isolated from Rhizoma Chuanxiong): Roles and Mechanisms
CLM-012,3,"at a lower centration (0.5 mM), TMP inhibits phosphoinositide breakdown and thromboxane A 2 formation, and at a higher concentration (1.0 mM), it inhibits platelet aggregation by binding to the glycoprotein IIb/IIIa complex",full_text,PMID:27314011,Cardiovascular Actions and Therapeutic Potential of Tetramethylpyrazine (Active Component Isolated from Rhizoma Chuanxiong): Roles and Mechanisms
CLM-013,4,Fifteen studies investigated the effects of borneol in experimental ischemic stroke involving 308 animals were ultimately identified.,full_text,PMID:30863478,Borneol for Regulating the Permeability of the Blood-Brain Barrier in Experimental Ischemic Stroke: Preclinical Evidence and Possible Mechanism
CLM-014,4,the administration of borneol exerted a significant decrease of BBB permeability during cerebral ischemic injury according to brain Evans blue content and brain water content compared with controls ( P < 0.01).,full_text,PMID:30863478,Borneol for Regulating the Permeability of the Blood-Brain Barrier in Experimental Ischemic Stroke: Preclinical Evidence and Possible Mechanism
CLM-015,4,"The quality scores varied from 2/10 to 5/10 with the average of 3.13. … None of the included studies reported the masked conduct of experiments, the blinded assessments of outcome, and the application of animal or model with relevant comorbidities or a sample size calculation.",full_text,PMID:30863478,Borneol for Regulating the Permeability of the Blood-Brain Barrier in Experimental Ischemic Stroke: Preclinical Evidence and Possible Mechanism
CLM-016,2,Forty-one trials involving 6276 patients were included in our analysis. … All of the included studies were conducted in China.,full_text,PMID:29770157,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials
