claimId,referenceNumber,supportQuote,sourceTitle,accessLevel
CLM-001,3,"Forty-one trials involving 6276 patients were included in our analysis. Administration of suxiao jiuxin pill significantly improved electrocardiogram (ECG) results when compared with other therapies (RR 1.32, 95% CI 1.26 to 1.38, and P < 0.001).",Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,full_text
CLM-002,3,"The majority of the included studies received low Jadad scores due to the lack of a double-blind design",Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,full_text
CLM-003,3,"In this study, we did not analyze cardiovascular death or drug-related complications.",Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,full_text
CLM-004,4,"Suxiao Jiuxin Pill, a compound Chinese traditional medicine with main components of tetramethylpyrazine and borneol, is widely used for antiangina treatment in China … SJP caused full relaxation in KCl- (99.4 ± 10.5%, n = 6) and U46619- (99.9 ± 5.6%, n = 6) contracted IMA.",Suxiao Jiuxin Pill Induces Potent Relaxation and Inhibition on Contraction in Human Artery and the Mechanism,full_text
CLM-005,5,"many patients experience high levels of periprocedural anxiety, with reported prevalence rates varying from 24% to 72%.",Premedication to reduce anxiety in patients undergoing coronary angiography and percutaneous coronary intervention,full_text
CLM-006,5,"Anxiety reduction was larger in patients premedicated with lorazepam (ΔVAS=−2.0, SE=1.6, P=0.007) or diazepam (ΔVAS=−2.0, SE=1.5, p=0.003) compared with patients without any premedication (ΔVAS=−1.4, SE=1.2).",Premedication to reduce anxiety in patients undergoing coronary angiography and percutaneous coronary intervention,full_text
CLM-007,5,"In contrast, a substantial amount of the participants premedicated with midazolam (n=39, 19.8%) experienced one or more side effects.",Premedication to reduce anxiety in patients undergoing coronary angiography and percutaneous coronary intervention,full_text
CLM-008,5,"there are no guidelines providing aid in selecting pharmacological strategies to reduce procedural anxiety.",Premedication to reduce anxiety in patients undergoing coronary angiography and percutaneous coronary intervention,full_text
CLM-009,6,"major complications from cardiac catheterization occur in less than 2% of the population, with mortality of less than 0.08%",Risks and Complications of Coronary Angiography: A Comprehensive Review,full_text
CLM-010,7,"Seventeen studies were included, encompassing 2,576,446 CT-enhanced examinations. Of these, 11,621 acute adverse reactions were reported, with a mean incidence of 0.45%",Predictors of acute adverse reactions to non-ionic iodinated contrast media in CT imaging: a systematic review and meta-analysis,full_text
CLM-011,7,"history of adverse ICM reactions (OR = 11.03, 95% CI = 2.25, 53.97)",Predictors of acute adverse reactions to non-ionic iodinated contrast media in CT imaging: a systematic review and meta-analysis,full_text
CLM-012,8,"Up to one in three patients undergoing ICA experiences anxiety, with peak levels occurring prior to the procedure.",Virtual reality to reduce periprocedural anxiety during invasive coronary angiography: rationale and design of the VR InCard trial,full_text
CLM-013,8,"benzodiazepines can influence the diagnostic outcome in patients who undergo coronary vasomotor function testing.",Virtual reality to reduce periprocedural anxiety during invasive coronary angiography: rationale and design of the VR InCard trial,full_text
CLM-014,13,"Article 29, Paragraph 2, of this law explicitly permits off-label drug use under defined conditions, establishing four core preconditions for lawful practice: (1) necessity, indicating no effective or better treatment alternatives are available; (2) suitability, requiring sufficient support from evidence-based medicine; (3) informed consent from the patient; and (4) internal review and approval by the medical institution.",Off-label drug use in China after the Physician Law (2021): legal challenges and solutions,full_text
CLM-015,13,"three main forms of non-compliant off-label drug use: first, insufficient evidence-based justification; second, deficiencies in the informed consent process; and third, the lack of an internal review system.",Off-label drug use in China after the Physician Law (2021): legal challenges and solutions,full_text
CLM-016,14,"Prior data from a large registry of 85,997 patients undergoing stress echocardiography found that life-threatening events only occurred in 86 (∼0.1%) of all tests.",Complications of exercise and pharmacologic stress echocardiography,full_text
CLM-017,14,"One study surveyed 71 centers from 17 countries, finding that of a total of 26,295 patients undergoing exercise echocardiography, a life-threatening event occurred in only 1 in every 6,574 patients (0.015%).",Complications of exercise and pharmacologic stress echocardiography,full_text
CLM-018,3,"Administration of suxiao jiuxin pill significantly improved electrocardiogram (ECG) results when compared with other therapies (RR 1.32, 95% CI 1.26 to 1.38, and P < 0.001).",Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,full_text
CLM-019,15,"Call 999 if: … you have chest pain and you feel sweaty, sick, light headed or short of breath … Call 999 straight away as you need immediate treatment in hospital.",Chest pain - NHS,official_page
