claimId,referenceNumber,supportQuote,sourceTitle,accessLevel
CLM-001,1,"Call 999 if: … you get sudden pain or discomfort in your chest that does not go away",Chest pain - NHS,official_page
CLM-003,2,"In SIHD patients, sublingual nitroglycerin tablets or spray are recommended for immediate relief of angina (Class I, Level of Evidence, B).",Role of short-acting nitroglycerin in the management of ischemic heart disease,full_text
CLM-004,2,"If additional doses are necessary, they should be taken at 5-minute intervals for a maximum dose of ≤1.2 mg within 15 minutes. During this timeframe, if relief does not occur, the patient should seek immediate medical attention.",Role of short-acting nitroglycerin in the management of ischemic heart disease,full_text
CLM-005,2,"an angina attack that does not respond to short-acting nitroglycerin (generally defined as a lack of improvement in chest discomfort following up to three short-acting nitrates every 5 minutes) should be regarded as consistent with a possible acute MI requiring immediate medical attention and evaluation.",Role of short-acting nitroglycerin in the management of ischemic heart disease,full_text
CLM-006,2,"take sublingual nitroglycerin (0.3 to 0.6 mg) every 5 minutes until the pain subsides or a maximum of 1.2 mg has been taken within 15 minutes.",Role of short-acting nitroglycerin in the management of ischemic heart disease,full_text
CLM-007,3,"each 30 min reperfusion delay increases one-year mortality risk by 7.5%",The Irreversible March of Time: Ischemic Delay and Impact on Outcomes in ST-Segment Elevation Myocardial Infarction,full_text
CLM-008,3,"adjusted in-hospital mortality rises progressively: from 3.0% at 30 min to 3.5% at 60 min, 4.3% at 90 min, and 7.0% at 150 min",The Irreversible March of Time: Ischemic Delay and Impact on Outcomes in ST-Segment Elevation Myocardial Infarction,full_text
CLM-010,3,"Each minute of delay correlates with increased mortality, larger infarcts, and a higher risk of heart failure development.",The Irreversible March of Time: Ischemic Delay and Impact on Outcomes in ST-Segment Elevation Myocardial Infarction,full_text
CLM-012,3,"Median patient decision delay approximates 100 min, constituting nearly 60% of pre-hospital delay",The Irreversible March of Time: Ischemic Delay and Impact on Outcomes in ST-Segment Elevation Myocardial Infarction,full_text
CLM-013,2,"Most patients respond within 5 minutes of taking one to two sublingual dose(s) of 0.3–0.6 mg each.",Role of short-acting nitroglycerin in the management of ischemic heart disease,full_text
