citation,ref_type,title,identifier,url,verification_status
1,regulatory label,速效救心丸说明书（津药达仁堂集团第六中药厂）,,NMPA index (official-current verification required),indexed only
2,randomized controlled trial,Evaluation of the efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina,PMID 37487965; DOI 10.1016/j.jep.2023.116959,https://europepmc.org/article/MED/37487965,abstract verified (full text not open access)
3,randomized controlled trial,Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates,PMCID PMC11451125; DOI 10.1186/s12906-024-04661-5,https://europepmc.org/articles/PMC11451125,full text verified
4,meta-analysis,不同疗程速效救心丸对冠心病心绞痛临床疗效及安全性的Meta分析,CNKI BZJO202201018,https://chkdx.cnki.net/kcms/detail/detail.aspx?FileName=BJZO202201018&DbName=DKFXTEMP,abstract verified (metadata)
5,meta-analysis,不同剂量速效救心丸治疗冠心病心绞痛临床疗效及安全性的Meta分析,,https://qikan.cqvip.com/Qikan/Article/Detail?id=7104224078,abstract verified (metadata)
6,meta-analysis,持续使用速效救心丸不同疗程对冠心病心绞痛临床疗效及安全性的系统评价及Meta分析,CNKI BZJO20211116000,https://chkdx.cnki.net/kcms/detail/detail.aspx?FileName=BJZO20211116000&DbName=CHKJ2017,abstract verified (metadata)
7,retrospective cohort,急性ST段抬高型心肌梗死PCI术病人出院后服用速效救心丸的疗效及安全性,,https://qikan.cqvip.com/Qikan/Article/Detail?id=7113506260,abstract verified (metadata)
8,prospective cohort,速效救心丸治疗慢性稳定型心绞痛多中心前瞻性队列研究,,https://link.cnki.net/urlid/11.2787.R.20251208.1055.006,abstract verified (metadata)
9,pharmacoeconomic cohort,速效救心丸治疗稳定型心绞痛的药物经济学评价,,https://www.sinomed.ac.cn/zh/detail.do?ui=2021407668,abstract verified (metadata)
10,real-world HIS,真实世界研究中16856例应用速效救心丸的老年患者临床特征及联合用药规律,PMID 32495590,https://www.sinomed.ac.cn/zh/detail.do?ui=2020536159,abstract verified (metadata)
11,real-world HIS,基于23575例HIS数据的真实世界速效救心丸临床应用特征及联合用药分析,,https://qikan.cqvip.com/Qikan/Article/Detail?id=7100843847,abstract verified (metadata)
12,systematic review,Chinese herbal medicine suxiao jiuxin wan for angina pectoris (Cochrane),PMID 18254051,https://pubmed.ncbi.nlm.nih.gov/18254051/,abstract verified
13,systematic review,Effectiveness and safety of Suxiao Jiuxin pill in treating acute coronary syndrome,PMID 32744020,https://pubmed.ncbi.nlm.nih.gov/32744020/,metadata (title-level)
14,animal experiment,天然冰片、合成冰片对大鼠胃黏膜屏障影响的比较,,https://qikan.cqvip.com/Qikan/Article/Detail?id=20058083,abstract verified (metadata)
15,animal experiment,川芎地上部分主要药效学及安全性评价研究,,https://chkdx.cnki.net/kcms/detail/detail.aspx?FileName=CDZY200904023&DbName=CHKJ2009,abstract verified (metadata)
16,in vitro study,Evaluation of potential herb-drug interactions based on the effect of Suxiao Jiuxin Pill on CYP450 enzymes and transporters,PMID 34252529; DOI 10.1016/j.jep.2021.114408,https://europepmc.org/article/MED/34252529,abstract verified
17,animal experiment,局部应用天然与合成冰片的眼刺激性与长期毒性,,https://chkdx.cnki.net/kcms/detail/detail.aspx?FileName=GJYK200811022&DbName=CHKJ2008,abstract verified (metadata)
18,animal experiment,天然冰片小鼠急性毒性的时间毒理学研究,,https://chkdx.cnki.net/kcms/detail/detail.aspx?FileName=SZGY201108002&DbName=CHKJ2011,abstract verified (metadata)
19,expert opinion,速效救心丸能否长期服用,,https://chkdx.cnki.net/kcms/detail/detail.aspx?FileName=JTYI201409025&DbName=CHKJ2014,abstract verified (metadata)
20,randomized controlled trial (low quality),速效救心丸治疗急性冠脉综合征疗效及安全性分析,,https://chkdx.cnki.net/kcms/detail/detail.aspx?FileName=YJZY201308105&DbName=CHKJ2013,abstract verified (metadata)
21,other (label citation),速效救心丸临床应用解析（用法用量引述）,,https://chkdx.cnki.net/kcms/detail/detail.aspx?FileName=XCYS201132015&DbName=CHKJ2011,abstract verified (metadata)
22,case report,速效救心丸致一过性失明,,https://chkdx.cnki.net/kcms/detail/detail.aspx?FileName=WNYX601.066&DbName=CHKJ1996,abstract verified (metadata)
23,case report,口服速效救心丸致急性荨麻疹一例,,https://chkdx.cnki.net/kcms/detail/detail.aspx?FileName=NMYZ904.021&DbName=CHKJ1999,abstract verified (metadata)
24,trial registry,NCT06531161 / NCT05466968,,https://www.clinicaltrials.gov/,registry record verified
25,randomized controlled trial,Effects on Suxiao Jiuxin Pills in the Treatment of Patients with Acute Coronary Syndrome Undergoing Early PCI,PMID 32716206,https://pubmed.ncbi.nlm.nih.gov/32716206/,metadata (title-level)
