reaction,source,a,b,c,d,N,ROR,ROR_lo,ROR_hi,PRR,PRR_lo,PRR_hi,chi2,IC,IC025,EBGM,EB05,is_signal
myalgia,user-specified,"9,448","325,311","155,862","19,837,954","20,328,575",3.697,3.620,3.775,3.620,3.547,3.695,17034.021,1.795,1.765,3.471,3.412,yes
rhabdomyolysis,user-specified,"4,215","330,544","36,251","19,957,565","20,328,575",7.020,6.799,7.249,6.945,6.728,7.168,19252.290,2.661,2.615,6.325,6.165,yes
myopathy,user-specified,"1,980","332,779","8,003","19,985,813","20,328,575",14.859,14.144,15.610,14.777,14.069,15.520,20397.705,3.590,3.521,12.038,11.597,yes
fatigue,top-pt,"19,833","314,926","738,998","19,254,818","20,328,575",1.641,1.617,1.665,1.603,1.581,1.625,4549.900,0.666,0.646,1.587,1.568,yes
dyspnoea,top-pt,"17,799","316,960","560,250","19,433,566","20,328,575",1.948,1.918,1.978,1.897,1.870,1.925,7537.257,0.903,0.881,1.870,1.847,yes
diarrhoea,top-pt,"17,796","316,963","612,798","19,381,018","20,328,575",1.776,1.749,1.803,1.734,1.709,1.760,5550.892,0.777,0.755,1.713,1.692,yes
nausea,top-pt,"16,424","318,335","748,202","19,245,614","20,328,575",1.327,1.306,1.348,1.311,1.291,1.331,1232.457,0.383,0.361,1.304,1.287,yes
drug ineffective,top-pt,"15,858","318,901","1,315,678","18,678,138","20,328,575",0.706,0.695,0.717,0.720,0.709,0.731,1827.600,-0.467,-0.490,0.723,0.714,no
dizziness,top-pt,"13,986","320,773","477,378","19,516,438","20,328,575",1.783,1.752,1.813,1.750,1.721,1.779,4474.082,0.790,0.765,1.728,1.704,yes
off label use,top-pt,"13,157","321,602","823,541","19,170,275","20,328,575",0.952,0.936,0.969,0.954,0.938,0.970,29.703,-0.067,-0.092,0.955,0.941,no
headache,top-pt,"12,324","322,435","606,818","19,386,998","20,328,575",1.221,1.199,1.244,1.213,1.192,1.234,465.917,0.274,0.247,1.209,1.191,yes
fall,top-pt,"11,131","323,628","311,798","19,682,018","20,328,575",2.171,2.130,2.213,2.132,2.093,2.172,6565.428,1.066,1.038,2.093,2.060,yes
asthenia,top-pt,"11,090","323,669","354,295","19,639,521","20,328,575",1.899,1.863,1.936,1.870,1.835,1.905,4428.446,0.882,0.855,1.843,1.814,yes
