reaction,source,a,b,c,d,N,ROR,ROR_lo,ROR_hi,PRR,PRR_lo,PRR_hi,chi2,IC,IC025,EBGM,EB05,is_signal
pneumonia,user-specified,"16,885","156,473","384,356","19,770,861","20,328,575",5.551,5.462,5.641,5.108,5.033,5.183,54505.185,2.303,2.280,4.935,4.872,yes
off label use,top-pt,"35,141","138,217","801,557","19,353,660","20,328,575",6.139,6.066,6.212,5.097,5.049,5.146,115628.064,2.300,2.283,4.925,4.882,yes
drug ineffective,top-pt,"29,570","143,788","1,301,966","18,853,251","20,328,575",2.978,2.941,3.016,2.641,2.613,2.668,31535.925,1.381,1.363,2.604,2.579,yes
pain,top-pt,"24,737","148,621","2,152,654","18,002,563","20,328,575",1.392,1.373,1.411,1.336,1.321,1.352,2314.877,0.414,0.395,1.332,1.318,yes
rheumatoid arthritis,top-pt,"16,340","157,018","93,483","20,061,734","20,328,575",22.333,21.949,22.723,20.322,20.001,20.648,256908.153,4.125,4.100,17.445,17.222,yes
fatigue,top-pt,"13,797","159,561","745,034","19,410,183","20,328,575",2.253,2.214,2.293,2.153,2.119,2.188,8689.090,1.092,1.067,2.132,2.102,yes
rash,top-pt,"12,494","160,864","625,026","19,530,191","20,328,575",2.427,2.383,2.472,2.324,2.285,2.364,9539.177,1.200,1.174,2.298,2.264,yes
arthralgia,top-pt,"10,950","162,408","389,903","19,765,314","20,328,575",3.418,3.351,3.486,3.265,3.206,3.326,17073.472,1.680,1.651,3.203,3.153,yes
drug intolerance,top-pt,"10,439","162,919","82,760","20,072,457","20,328,575",15.541,15.219,15.869,14.665,14.377,14.958,118577.126,3.715,3.685,13.133,12.922,yes
infusion related reaction,top-pt,"10,424","162,934","53,554","20,101,663","20,328,575",24.014,23.502,24.537,22.630,22.172,23.097,180965.077,4.256,4.225,19.103,18.796,yes
pyrexia,top-pt,"10,236","163,122","326,757","19,828,460","20,328,575",3.808,3.731,3.886,3.642,3.573,3.712,19343.525,1.833,1.804,3.562,3.504,yes
